code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,ティック数,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
5016.T,,5016,ＪＸ金属,0,東Ｐ,貸借,▼,"2,083.50",73.5,3.66%,"23,637,000","37,339","2,014.00","2,108.00","2,001.50",11:30,〇,-,-,"516,300"
8136.T,,8136,サンリオ,0,東Ｐ,貸借,▲,"7,721.00",286,3.85%,"10,007,700","34,027","7,520.00","7,849.00","7,493.00",11:30,〇,-,-,"17,100"
7013.T,,7013,ＩＨＩ,0,東Ｐ,貸借,▼,"2,878.50",134.5,4.90%,"18,349,300","33,097","2,767.50","2,879.50","2,755.50",11:30,〇,-,-,"787,500"
9501.T,,9501,東京電力ＨＤ,0,東Ｐ,貸借,▲,773.5,24.1,3.22%,"37,525,400","30,258",757.7,775.9,748.5,11:30,〇,-,-,"625,600"
9984.T,,9984,ソフトバンクグループ,0,東Ｐ,貸借,▲,"21,680.00",800,3.83%,"9,503,900","28,292","21,000.00","21,680.00","20,620.00",11:30,〇,-,-,"346,400"
8267.T,,8267,イオン,0,東Ｐ,貸借,▲,"2,039.00",160.5,8.54%,"14,932,100","26,375","1,918.50","2,084.00","1,880.00",11:30,〇,-,0.1,"727,700"
215A.T,,215A,タイミー,0,東Ｇ,貸借,▲,"1,412.00",123,9.54%,"16,030,400","24,812","1,499.00","1,500.00","1,378.00",11:30,〇,1.8,-,0
7011.T,,7011,三菱重工業,0,東Ｐ,貸借,▼,"4,079.00",98,2.46%,"14,638,500","20,754","4,020.00","4,099.00","4,003.00",11:30,〇,-,-,"649,400"
6857.T,,6857,アドバンテスト,0,東Ｐ,貸借,▼,"17,285.00",285,1.68%,"6,452,000","18,769","16,875.00","17,310.00","16,805.00",11:30,✕,-,0.3,"621,600"
5801.T,,5801,古河電工,0,東Ｐ,貸借,▲,"9,147.00",318,3.60%,"3,803,000","17,933","8,915.00","9,153.00","8,788.00",11:30,〇,-,-,"54,100"
7453.T,,7453,良品計画,0,東Ｐ,貸借,▲,"3,061.00",-101,-3.19%,"7,547,300","17,678","3,092.00","3,140.00","3,011.00",11:30,〇,-,-,"186,400"
3697.T,,3697,ＳＨＩＦＴ,0,東Ｐ,貸借,▲,"1,260.00",30,2.44%,"8,274,100","16,800","1,148.00","1,260.00","1,121.50",11:30,〇,-,-,0
4385.T,,4385,メルカリ,0,東Ｐ,貸借,▲,"2,329.00",244.5,11.73%,"7,379,900","15,793","2,201.00","2,343.00","2,200.00",11:30,〇,-,-,"65,900"
6501.T,,6501,日立,0,東Ｐ,貸借,▲,"4,480.00",218,5.11%,"10,124,600","15,558","4,310.00","4,497.00","4,283.00",11:30,〇,-,-,"258,600"
6920.T,,6920,レーザーテック,0,東Ｐ,貸借,▼,"20,280.00",480,2.42%,"4,313,500","15,477","19,785.00","20,290.00","19,585.00",11:30,〇,-,-,"15,600"
5803.T,,5803,フジクラ,0,東Ｐ,貸借,▲,"16,240.00",495,3.14%,"4,307,300","14,531","15,750.00","16,255.00","15,665.00",11:30,〇,-,-,"117,900"
1570.T,,1570,ＮＦ日経レバ,0,東Ｐ,貸借,▲,"38,820.00","1,000.00",2.64%,"2,016,295","13,663","38,120.00","38,840.00","37,940.00",11:30,〇,-,5,"6,709"
6526.T,,6526,ソシオネクスト,0,東Ｐ,貸借,▼,"2,718.00",14.5,0.54%,"4,495,700","12,819","2,693.00","2,732.00","2,667.00",11:30,〇,-,-,"64,700"
6506.T,,6506,安川電機,0,東Ｐ,貸借,▲,"4,294.00",232,5.71%,"4,002,800","11,896","4,114.00","4,308.00","4,095.00",11:30,〇,-,-,"51,900"
7012.T,,7012,川崎重工業,0,東Ｐ,貸借,▼,"9,851.00",384,4.06%,"2,670,300","11,413","9,592.00","9,854.00","9,552.00",11:30,〇,-,-,"46,500"
6323.T,,6323,ローツェ,0,東Ｐ,貸借,▼,"2,294.00",-115,-4.77%,"2,608,600","11,276","2,395.00","2,411.50","2,254.00",11:30,〇,-,-,"13,300"
