code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
2334.T,,2334,イオレ,0,東Ｇ,信用,▲,"3,325.00",-675,-16.88%,"531,300","3,970.00","4,215.00","3,300.00",11:30,〇,7.1,-,0
7036.T,,7036,イーエムネットジャパン,0,東Ｇ,信用,▲,"1,003.00",-145,-12.63%,"122,900","1,145.00","1,270.00",965,11:30,〇,0.6,-,800
3370.T,,3370,フジタコーポレーション,0,東Ｓ,信用,▼,480,-51,-9.60%,"1,027,900",540,569,449,11:30,〇,0.4,-,0
5246.T,,5246,ＥＬＥＭＥＮＴＳ,0,東Ｇ,信用,▼,838,-102,-10.85%,"1,608,900",940,959,818,11:30,〇,2.2,-,0
4888.T,,4888,ステラファーマ,0,東Ｇ,信用,▲,313,-45,-12.57%,"986,100",350,350,299,11:30,〇,0.2,-,0
5578.T,,5578,ＡＲアドバンストテクノロジ,0,東Ｇ,信用,▼,"3,315.00",-145,-4.19%,"86,400","3,670.00","3,720.00","3,265.00",11:30,〇,1.4,-,800
138A.T,,138A,光フードサービス,0,東Ｇ,信用,▼,"2,993.00",93,3.21%,"55,200","3,300.00","3,315.00","2,960.00",11:30,〇,2.5,-,300
8105.T,,8105,堀田丸正,0,東Ｓ,信用,▼,440,-29,-6.18%,"1,414,200",477,482,440,11:30,〇,1.3,-,0
4415.T,,4415,ブロードエンタープライズ,0,東Ｇ,信用,▼,"1,258.00",-56,-4.26%,"64,200","1,344.00","1,344.00","1,248.00",11:29,〇,1,-,"4,300"
75505.T,,75505,ゼンショーＨＤ一優,0,東Ｐ,信用,▼,"5,000.00",-50,-0.99%,"1,200","5,340.00","5,340.00","5,000.00",10:02,✕,-,-,0
215A.T,,215A,タイミー,0,東Ｇ,貸借,▲,"1,412.00",123,9.54%,"16,030,400","1,499.00","1,500.00","1,378.00",11:30,〇,1.8,-,0
3647.T,,3647,ジー・スリーホールディング,0,東Ｓ,信用,▼,149,6,4.20%,"5,000,600",158,177,148,11:30,〇,0.3,-,"38,700"
1407.T,,1407,ウエストホールディングス,0,東Ｓ,貸借,▲,"1,769.00",-101,-5.40%,"669,700","1,872.00","1,924.00","1,742.00",11:30,〇,-,-,"5,300"
2962.T,,2962,テクニスコ,0,東Ｓ,信用,▼,411,-37,-8.26%,"252,800",434,473,405,11:30,〇,0.7,-,"4,800"
205A.T,,205A,ロゴスホールディングス,0,東Ｇ,信用,▲,"1,516.00",-70,-4.41%,"20,000","1,600.00","1,600.00","1,510.00",11:26,〇,0.8,-,0
