シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,相対ボリューム (対時間比),セクター,ボラティリティ 1日,価格 * 出来高 (売買代金) 1分,価格 * 出来高 (売買代金) 1分 - 通貨,価格 * 出来高 (売買代金) 5分,価格 * 出来高 (売買代金) 5分 - 通貨,価格 * 出来高 (売買代金) 15分,価格 * 出来高 (売買代金) 15分 - 通貨,価格 * 出来高 (売買代金) 1日,価格 * 出来高 (売買代金) 1日 - 通貨,価格変動 % 1分,価格変動 % 5分,価格変動 % 15分,価格変動 % 1日,始値からの変動 % 1分,始値からの変動 % 5分,始値からの変動 % 15分,始値からの変動 % 1日,ADR (日中平均レンジ) %,ADX (平均方向性指数) (14) 1日,ATR (アベレージ・トゥルー・レンジ) % (14) 1分,ATR (アベレージ・トゥルー・レンジ) % (14) 5分,ATR (アベレージ・トゥルー・レンジ) % (14) 15分,ATR (アベレージ・トゥルー・レンジ) % (14) 1日
8918,ランド,10,JPY,0,95015600,0.6712063376906311,15378829346,JPY,1.187596429496352,金融,11.11111111111111,30000,JPY,32000,JPY,950156000,JPY,950156000,JPY,11.11111111111111,0,0,0,0,0,11.11111111111111,11.11111111111111,9.99999999999961,55.61768428138096,6.72154768415578,6.99630108546666,8.376403767640547,10.06887057556081
4564,オンコセラピー・サイエンス,28,JPY,0,54206100,1.8277267997542626,8726022949,JPY,5.204823833729282,ヘルステクノロジー,7.407407407407407,918000,JPY,1012500,JPY,1463508000,JPY,1517770800,JPY,0,-3.571428571428571,-3.571428571428571,0,0,0,-3.571428571428571,0,7.142857142858235,16.719825132097437,2.353788533268367,3.3304350183983376,3.9148362695595704,6.915701409041384
9432,ＮＴＴ,158.1,JPY,-0.06321112515802423,39917800,0.24120006303451236,13484226177382,JPY,1.5887088550620354,通信,0.5066497783407111,3383340,JPY,329274870,JPY,6311004180,JPY,6311004180,JPY,-0.06321112515802423,-0.18939393939394655,-0.06321112515802423,-0.06321112515802423,0,-0.12634238787114152,-0.06321112515802423,-0.06321112515802423,1.1068943706517202,14.47279461213197,0.13191850780267717,0.15629353882190203,0.206721215233843,1.2479934594667441
6740,ジャパンディスプレイ,24,JPY,-4,15325500,0.06634677812157684,97009838867,JPY,0.1370854658774774,電子テクノロジー,13.043478260869565,240000,JPY,1034400,JPY,367812000,JPY,367812000,JPY,0,0,-4,-4,0,0,-4,-4,13.392857142857148,47.158050029366144,2.1086714426087774,4.10842615980302,5.421545341516691,12.004253946152241
4597,Ｇ−ソレイジア,37,JPY,-2.631578947368421,13185500,0.5781430320292686,9791422241,JPY,1.4501298836738434,ヘルステクノロジー,2.7027027027027026,7400,JPY,7400,JPY,487863500,JPY,487863500,JPY,0,0,-2.631578947368421,-2.631578947368421,0,0,0,0,4.826254826254823,10.597447740998819,1.294957043166625,1.5542348946788047,2.8308138700695333,5.497218986546761
9501,東京電力ホールディングス,649.1,JPY,-1.6366116078193598,10356000,0.10763860991532866,1057279542656,JPY,1.0610803114878888,公益事業,2.948517940717625,94083570,JPY,798119560,JPY,6720319930,JPY,6722079600,JPY,0.061642780089378534,0.030811893390838358,-1.6063039854523447,-1.6366116078193598,0.07706535141800247,0.015403573629067937,-0.8702290076335948,-0.9007633587786226,5.455905979708219,27.11165972346368,0.4079995883310636,0.5811068446951554,0.890332404288092,5.378492521462129
9434,ソフトバンク,226.1,JPY,0.08853474988932654,9982800,0.16265111476004937,10743567220661,JPY,1.3073069884296122,通信,0.31000885739592055,14606060,JPY,77665350,JPY,2257111080,JPY,2257111080,JPY,-0.08837825894830624,-0.08837825894830624,0.08853474988932654,0.08853474988932654,0,-0.1325088339222665,0.04424778761061696,0.04424778761061696,1.1910027168762651,12.947602151756143,0.10157584097687247,0.11716884713655368,0.18984065130653152,1.358363907507164
8306,三菱ＵＦＪフィナンシャル・グループ,2352,JPY,-0.7176023638666104,9423900,0.24022813757999192,26801406196289,JPY,1.3667609018278994,金融,1.1066184294530752,1711315200,JPY,3330667200,JPY,22126204800,JPY,22165012800,JPY,-0.10617965597791462,-0.2967359050445104,-0.7176023638666104,-0.7176023638666104,-0.08496176720475786,-0.2755988976044096,-0.570703868103995,-0.570703868103995,1.6369047619048005,27.099121279309852,0.18441986288756368,0.22987778463850997,0.3699377530004908,1.836560991745401
3350,メタプラネット,551,JPY,-6.451612903225806,8550300,0.08444518889676578,672018730347,JPY,0.6949950983011256,消費者サービス,7.090909090909091,164859200,JPY,545269600,JPY,4689395700,JPY,4711215300,JPY,-0.3616636528028933,-0.18115942028985507,-6.451612903225806,-6.451612903225806,-0.3616636528028933,-0.18115942028985507,-3.163444639718805,-3.163444639718805,13.015296862846846,36.69143463993093,0.8088721796010602,1.2225518486057643,1.8834799332595242,13.369292312632439
7527,システムソフト,82,JPY,-8.88888888888889,8016300,0.4544508838954326,7632204895,JPY,5.003909273923765,テクノロジーサービス,12.345679012345679,3673600,JPY,19015800,JPY,657336600,JPY,657336600,JPY,-1.2048192771084338,0,-8.88888888888889,-8.88888888888889,0,0,-6.8181818181818175,-6.8181818181818175,6.96864111498258,29.38739897651091,2.0304064219953637,3.369838792532324,5.3406393442303965,7.573087816957023
