[2025-10-17 07:14:17] Run started
[2025-10-17 07:14:17] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:15:55] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:15:55] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:15:55] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:15:55] Parameter grid size: 96 (mode=coarse)
[2025-10-17 07:15:56] [1/262] 1321.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=15/4
[2025-10-17 07:15:57] [2/262] 1357.T: best train_pf_eff=999.000, forward_pf_eff=0.599, trades=5/2
[2025-10-17 07:15:58] [3/262] 1360.T: best train_pf_eff=0.599, forward_pf_eff=0.187, trades=9/5
[2025-10-17 07:16:00] [4/262] 1458.T: best train_pf_eff=0.300, forward_pf_eff=0.499, trades=6/4
[2025-10-17 07:16:01] [5/262] 1540.T: best train_pf_eff=0.666, forward_pf_eff=5.992, trades=13/5
[2025-10-17 07:16:01] [6/262] 1541.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:16:02] [7/262] 1542.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/2
[2025-10-17 07:16:04] [8/262] 1570.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=14/4
[2025-10-17 07:16:05] [9/262] 1579.T: best train_pf_eff=0.461, forward_pf_eff=0.300, trades=17/6
[2025-10-17 07:16:06] [10/262] 1605.T: best train_pf_eff=0.000, forward_pf_eff=0.300, trades=16/5
[2025-10-17 07:16:07] [11/262] 1802.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/1
[2025-10-17 07:16:07] [12/262] 1803.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 07:16:08] [13/262] 1812.T: best train_pf_eff=0.499, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:16:10] [14/262] 186A.T: best train_pf_eff=0.375, forward_pf_eff=0.500, trades=9/5
[2025-10-17 07:16:10] [15/262] 1911.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=7/0
[2025-10-17 07:16:11] [16/262] 1925.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=3/4
[2025-10-17 07:16:12] [17/262] 1928.T: best train_pf_eff=0.150, forward_pf_eff=0.000, trades=6/2
[2025-10-17 07:16:14] [18/262] 1942.T: best train_pf_eff=0.171, forward_pf_eff=0.000, trades=8/7
[2025-10-17 07:16:15] [19/262] 2036.T: best train_pf_eff=0.200, forward_pf_eff=2.996, trades=17/3
[2025-10-17 07:16:16] [20/262] 215A.T: best train_pf_eff=1.124, forward_pf_eff=4.494, trades=14/8
[2025-10-17 07:16:17] [21/262] 2160.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=8/2
[2025-10-17 07:16:18] [22/262] 218A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=8/1
[2025-10-17 07:16:19] [23/262] 219A.T: best train_pf_eff=0.187, forward_pf_eff=0.000, trades=18/6
[2025-10-17 07:16:20] [24/262] 2267.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=12/0
[2025-10-17 07:16:21] [25/262] 2269.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/2
[2025-10-17 07:16:21] [26/262] 2334.T: best train_pf_eff=2.996, forward_pf_eff=0.000, trades=3/3
[2025-10-17 07:16:23] [27/262] 2413.T: best train_pf_eff=0.999, forward_pf_eff=0.599, trades=10/7
[2025-10-17 07:16:24] [28/262] 2432.T: best train_pf_eff=0.399, forward_pf_eff=0.240, trades=12/6
[2025-10-17 07:16:25] [29/262] 247A.T: best train_pf_eff=11.982, forward_pf_eff=0.799, trades=11/5
[2025-10-17 07:16:27] [30/262] 2502.T: best train_pf_eff=0.300, forward_pf_eff=0.499, trades=12/8
