[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 07:53:44] [1/262] 1321.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=15/5
[2025-10-17 07:53:53] [2/262] 1357.T: best train_pf_eff=1.665, forward_pf_eff=0.999, trades=16/4
[2025-10-17 07:54:02] [3/262] 1360.T: best train_pf_eff=0.375, forward_pf_eff=0.150, trades=15/6
[2025-10-17 07:54:10] [4/262] 1458.T: best train_pf_eff=0.642, forward_pf_eff=0.499, trades=10/4
[2025-10-17 07:54:19] [5/262] 1540.T: best train_pf_eff=0.922, forward_pf_eff=7.490, trades=21/6
[2025-10-17 07:54:24] [6/262] 1541.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:54:29] [7/262] 1542.T: best train_pf_eff=1.998, forward_pf_eff=0.000, trades=3/3
[2025-10-17 07:54:39] [8/262] 1570.T: best train_pf_eff=0.214, forward_pf_eff=0.250, trades=24/7
[2025-10-17 07:54:48] [9/262] 1579.T: best train_pf_eff=0.856, forward_pf_eff=1.498, trades=11/6
[2025-10-17 07:54:59] [10/262] 1605.T: best train_pf_eff=0.176, forward_pf_eff=0.250, trades=19/7
[2025-10-17 07:55:05] [11/262] 1802.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/1
[2025-10-17 07:55:09] [12/262] 1803.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/1
[2025-10-17 07:55:16] [13/262] 1812.T: best train_pf_eff=0.499, forward_pf_eff=0.000, trades=4/0
[2025-10-17 07:55:25] [14/262] 186A.T: best train_pf_eff=0.749, forward_pf_eff=2.247, trades=9/5
[2025-10-17 07:55:30] [15/262] 1911.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=9/0
[2025-10-17 07:55:38] [16/262] 1925.T: best train_pf_eff=1.248, forward_pf_eff=0.375, trades=11/5
[2025-10-17 07:55:45] [17/262] 1928.T: best train_pf_eff=0.599, forward_pf_eff=0.000, trades=7/2
[2025-10-17 07:55:53] [18/262] 1942.T: best train_pf_eff=0.171, forward_pf_eff=0.000, trades=8/10
[2025-10-17 07:56:02] [19/262] 2036.T: best train_pf_eff=0.200, forward_pf_eff=1.498, trades=17/4
[2025-10-17 07:56:11] [20/262] 215A.T: best train_pf_eff=0.999, forward_pf_eff=999.000, trades=16/11
[2025-10-17 07:56:17] [21/262] 2160.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=16/2
[2025-10-17 07:56:23] [22/262] 218A.T: best train_pf_eff=0.125, forward_pf_eff=0.000, trades=7/2
[2025-10-17 07:56:32] [23/262] 219A.T: best train_pf_eff=0.187, forward_pf_eff=0.000, trades=18/6
[2025-10-17 07:56:37] [24/262] 2267.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=12/0
[2025-10-17 07:56:44] [25/262] 2269.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/4
[2025-10-17 07:56:50] [26/262] 2334.T: best train_pf_eff=2.996, forward_pf_eff=0.000, trades=3/3
[2025-10-17 07:56:58] [27/262] 2413.T: best train_pf_eff=1.249, forward_pf_eff=1.124, trades=8/5
[2025-10-17 07:57:07] [28/262] 2432.T: best train_pf_eff=0.399, forward_pf_eff=0.240, trades=12/6
[2025-10-17 07:57:16] [29/262] 247A.T: best train_pf_eff=0.749, forward_pf_eff=2.247, trades=15/5
[2025-10-17 07:57:26] [30/262] 2502.T: best train_pf_eff=0.068, forward_pf_eff=0.375, trades=23/10
[2025-10-17 07:57:31] [31/262] 2503.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=5/4
[2025-10-17 07:57:35] [32/262] 2670.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:57:41] [33/262] 2726.T: best train_pf_eff=999.000, forward_pf_eff=2.396, trades=2/3
[2025-10-17 07:57:46] [34/262] 2768.T: best train_pf_eff=0.599, forward_pf_eff=2.996, trades=7/3
[2025-10-17 07:57:52] [35/262] 2801.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=3/2
[2025-10-17 07:58:03] [36/262] 2802.T: best train_pf_eff=0.666, forward_pf_eff=2.247, trades=13/5
[2025-10-17 07:58:13] [37/262] 285A.T: best train_pf_eff=0.250, forward_pf_eff=0.250, trades=14/7
[2025-10-17 07:58:19] [38/262] 2897.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=18/0
[2025-10-17 07:58:25] [39/262] 290A.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=3/2
[2025-10-17 07:58:35] [40/262] 2914.T: best train_pf_eff=0.240, forward_pf_eff=0.375, trades=29/10
[2025-10-17 07:58:44] [41/262] 3038.T: best train_pf_eff=3.495, forward_pf_eff=0.749, trades=10/3
[2025-10-17 07:58:52] [42/262] 3064.T: best train_pf_eff=0.300, forward_pf_eff=0.000, trades=12/6
[2025-10-17 07:58:58] [43/262] 3086.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/1
[2025-10-17 07:59:04] [44/262] 3088.T: best train_pf_eff=0.000, forward_pf_eff=0.399, trades=6/4
[2025-10-17 07:59:07] [45/262] 3092.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/4
[2025-10-17 07:59:13] [46/262] 3099.T: best train_pf_eff=2.247, forward_pf_eff=4.494, trades=5/4
[2025-10-17 07:59:19] [47/262] 314A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=3/6
[2025-10-17 07:59:21] [48/262] 3231.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 07:59:28] [49/262] 3289.T: best train_pf_eff=0.375, forward_pf_eff=0.000, trades=5/4
[2025-10-17 07:59:32] [50/262] 3349.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 07:59:41] [51/262] 3350.T: best train_pf_eff=0.666, forward_pf_eff=0.000, trades=15/7
[2025-10-17 07:59:51] [52/262] 3382.T: best train_pf_eff=0.107, forward_pf_eff=0.000, trades=30/11
