[2025-11-01 06:46:09] Run started
[2025-11-01 06:46:09] Run type resolved to weekend
[2025-11-01 06:46:10] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 06:48:26] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 06:50:04] Entry window marks set: 251314 rows flagged out of 2955449
[2025-11-01 06:50:07] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 06:50:07] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 06:50:07] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-01 06:51:25] [1/222] 1306.T: best train_pf_eff=0.491, forward_pf_eff=0.240, trades=81/75
[2025-11-01 06:51:31] [2/222] 1459.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=27/15
[2025-11-01 06:51:33] [3/222] 1568.T: best train_pf_eff=0.584, forward_pf_eff=0.584, trades=13/13
[2025-11-01 06:51:47] [4/222] 1357.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=27/29
[2025-11-01 06:51:51] [5/222] 1360.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=31/33
[2025-11-01 06:51:53] [6/222] 1579.T: best train_pf_eff=1.685, forward_pf_eff=1.789, trades=44/41
[2025-11-01 06:51:59] [7/222] 1570.T: best train_pf_eff=999.000, forward_pf_eff=1.475, trades=20/38
[2025-11-01 06:52:24] [8/222] 1662.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:52:43] [9/222] 1802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:53:00] [10/222] 1893.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:53:05] [11/222] 186A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:53:12] [12/222] 1803.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=67/7
[2025-11-01 06:53:26] [13/222] 2127.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:53:48] [14/222] 1928.T: best train_pf_eff=999.000, forward_pf_eff=111.507, trades=12/11
[2025-11-01 06:53:54] [15/222] 1605.T: best train_pf_eff=0.822, forward_pf_eff=0.693, trades=352/95
[2025-11-01 06:54:06] [16/222] 1911.T: best train_pf_eff=0.761, forward_pf_eff=999.000, trades=33/9
[2025-11-01 06:54:24] [17/222] 218A.T: best train_pf_eff=0.000, forward_pf_eff=1.895, trades=0/16
[2025-11-01 06:54:29] [18/222] 215A.T: best train_pf_eff=1.642, forward_pf_eff=1.642, trades=12/12
[2025-11-01 06:54:38] [19/222] 2269.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/8
[2025-11-01 06:54:48] [20/222] 2267.T: best train_pf_eff=0.108, forward_pf_eff=0.105, trades=59/36
[2025-11-01 06:55:18] [21/222] 2413.T: best train_pf_eff=0.000, forward_pf_eff=0.280, trades=0/25
[2025-11-01 06:55:20] [22/222] 2432.T: best train_pf_eff=2.130, forward_pf_eff=1.395, trades=16/29
[2025-11-01 06:55:33] [23/222] 247A.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=10/5
[2025-11-01 06:55:41] [24/222] 2586.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:55:46] [25/222] 2503.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/10
[2025-11-01 06:55:59] [26/222] 2726.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:56:00] [27/222] 2644.T: best train_pf_eff=0.002, forward_pf_eff=0.002, trades=18/18
[2025-11-01 06:56:24] [28/222] 2502.T: best train_pf_eff=0.849, forward_pf_eff=3571.404, trades=89/56
[2025-11-01 06:56:26] [29/222] 2801.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:56:59] [30/222] 290A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:57:38] [31/222] 285A.T: best train_pf_eff=0.000, forward_pf_eff=2.435, trades=0/8
[2025-11-01 06:57:38] [32/222] 3003.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:57:42] [33/222] 2897.T: best train_pf_eff=0.431, forward_pf_eff=0.218, trades=64/64
[2025-11-01 06:58:21] [34/222] 3064.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=12/12
[2025-11-01 06:58:51] [35/222] 2802.T: best train_pf_eff=0.696, forward_pf_eff=1.458, trades=129/107
[2025-11-01 06:58:51] [36/222] 3086.T: best train_pf_eff=0.000, forward_pf_eff=1071.921, trades=0/7
[2025-11-01 06:59:26] [37/222] 314A.T: best train_pf_eff=0.000, forward_pf_eff=3.339, trades=0/22
[2025-11-01 06:59:30] [38/222] 3092.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 06:59:47] [39/222] 3038.T: best train_pf_eff=9.898, forward_pf_eff=0.347, trades=114/69
[2025-11-01 06:59:52] [40/222] 2914.T: best train_pf_eff=0.452, forward_pf_eff=0.439, trades=506/137
[2025-11-01 06:59:58] [41/222] 318A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:00:22] [42/222] 3323.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=16/8
[2025-11-01 07:00:23] [43/222] 3231.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:00:29] [44/222] 3099.T: best train_pf_eff=999.000, forward_pf_eff=3.691, trades=10/9
[2025-11-01 07:00:57] [45/222] 3405.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:01:05] [46/222] 3407.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:01:07] [47/222] 3350.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=26/18
[2025-11-01 07:01:09] [48/222] 3402.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=7/7
[2025-11-01 07:03:56] [49/222] 3659.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:04:39] [50/222] 3656.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-11-01 07:05:12] [51/222] 3905.T: best train_pf_eff=999.000, forward_pf_eff=1.481, trades=2/11
[2025-11-01 07:05:39] [52/222] 3697.T: best train_pf_eff=1.094, forward_pf_eff=999.000, trades=56/13
[2025-11-01 07:05:52] [53/222] 4005.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=27/9
[2025-11-01 07:05:53] [54/222] 402A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:06:18] [55/222] 3382.T: best train_pf_eff=0.437, forward_pf_eff=0.352, trades=541/191
[2025-11-01 07:06:21] [56/222] 3436.T: best train_pf_eff=0.264, forward_pf_eff=0.263, trades=197/94
[2025-11-01 07:06:31] [57/222] 4004.T: best train_pf_eff=0.171, forward_pf_eff=0.315, trades=120/39
[2025-11-01 07:07:29] [58/222] 4088.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:08:04] [59/222] 4188.T: best train_pf_eff=0.428, forward_pf_eff=0.428, trades=18/9
[2025-11-01 07:08:56] [60/222] 4446.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:12:02] [61/222] 4062.T: best train_pf_eff=0.157, forward_pf_eff=3.211, trades=64/9
[2025-11-01 07:12:10] [62/222] 4385.T: best train_pf_eff=1.154, forward_pf_eff=0.494, trades=308/95
[2025-11-01 07:12:11] [63/222] 4063.T: best train_pf_eff=0.255, forward_pf_eff=0.294, trades=343/94
[2025-11-01 07:12:36] [64/222] 4452.T: best train_pf_eff=0.472, forward_pf_eff=0.409, trades=281/135
[2025-11-01 07:12:50] [65/222] 4507.T: best train_pf_eff=0.117, forward_pf_eff=0.116, trades=42/29
