[2025-11-01 09:55:27] Run started
[2025-11-01 09:55:27] Run type resolved to weekend
[2025-11-01 09:55:28] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 09:58:05] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 09:59:39] Entry window marks set: 251314 rows flagged out of 2955447
[2025-11-01 09:59:42] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 09:59:42] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 09:59:42] Parameter grid size: 240 (mode=coarse, signal=j-cross)
[2025-11-01 10:00:51] [1/222] 1568.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=2/2
[2025-11-01 10:00:53] [2/222] 1459.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=9/5
[2025-11-01 10:01:00] [3/222] 1357.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=14/13
[2025-11-01 10:01:06] [4/222] 1306.T: best train_pf_eff=0.555, forward_pf_eff=0.296, trades=30/25
[2025-11-01 10:01:10] [5/222] 1360.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=16/13
[2025-11-01 10:01:13] [6/222] 1570.T: best train_pf_eff=999.000, forward_pf_eff=7.245, trades=14/13
[2025-11-01 10:01:15] [7/222] 1579.T: best train_pf_eff=6.556, forward_pf_eff=5.580, trades=12/10
[2025-11-01 10:01:50] [8/222] 1662.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:01:53] [9/222] 1802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:02:09] [10/222] 1893.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:02:10] [11/222] 1803.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=12/3
[2025-11-01 10:02:11] [12/222] 186A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
