[2025-11-02 16:51:24] Run started
[2025-11-02 16:51:24] Run type resolved to weekend
[2025-11-02 16:51:24] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-02 16:52:05] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-02 16:52:32] Entry window marks set: 219761 rows flagged out of 1714299
[2025-11-02 16:52:34] Liquidity filter q=0.50 kept 133 tickers and 861466 rows
[2025-11-02 16:52:34] Using 1 rolling slices (train=12, forward=20)
[2025-11-02 16:52:34] Parameter grid size: 24 (mode=coarse, signal=j-only)
[2025-11-02 16:52:46] [1/133] 2432.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:52:46] [2/133] 1306.T: best train_pf_eff=0.000, forward_pf_eff=1.803, trades=0/24
[2025-11-02 16:52:50] [3/133] 1911.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=25/0
[2025-11-02 16:52:50] [4/133] 1360.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/37
[2025-11-02 16:52:51] [5/133] 1579.T: best train_pf_eff=0.000, forward_pf_eff=0.184, trades=0/35
[2025-11-02 16:52:51] [6/133] 1357.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/35
[2025-11-02 16:52:52] [7/133] 1570.T: best train_pf_eff=0.000, forward_pf_eff=0.684, trades=0/74
[2025-11-02 16:53:00] [8/133] 1605.T: best train_pf_eff=1.039, forward_pf_eff=999.000, trades=39/28
[2025-11-02 16:53:00] [9/133] 247A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/11
[2025-11-02 16:53:06] [10/133] 3064.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:53:07] [11/133] 2802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:53:08] [12/133] 2502.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/33
[2025-11-02 16:53:13] [13/133] 3350.T: best train_pf_eff=0.000, forward_pf_eff=3.753, trades=0/6
[2025-11-02 16:53:15] [14/133] 285A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/28
[2025-11-02 16:53:20] [15/133] 2914.T: best train_pf_eff=0.325, forward_pf_eff=0.963, trades=33/85
