[2025-11-03 09:08:58] Run started
[2025-11-03 09:08:58] Run type resolved to weekend
[2025-11-03 09:08:59] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-03 09:09:42] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-03 09:10:07] Entry window marks set: 472569 rows flagged out of 1760681
[2025-11-03 09:10:08] Liquidity filter q=0.50 kept 135 tickers and 884678 rows
[2025-11-03 09:10:08] Using 1 rolling slices (train=12, forward=20)
[2025-11-03 09:10:08] Parameter grid size: 24 (mode=coarse, signal=j-cross)
[2025-11-03 09:10:13] [1/135] 1306.T: best train_pf_eff=0.000, forward_pf_eff=0.851, trades=0/6
[2025-11-03 09:10:16] [2/135] 1579.T: best train_pf_eff=0.000, forward_pf_eff=4.025, trades=0/8
[2025-11-03 09:10:17] [3/135] 1357.T: best train_pf_eff=0.000, forward_pf_eff=2.276, trades=0/17
[2025-11-03 09:10:17] [4/135] 1360.T: best train_pf_eff=0.000, forward_pf_eff=1.705, trades=0/30
[2025-11-03 09:10:17] [5/135] 1570.T: best train_pf_eff=0.000, forward_pf_eff=1.424, trades=0/32
[2025-11-03 09:10:18] [6/135] 1911.T: best train_pf_eff=0.173, forward_pf_eff=0.000, trades=5/0
[2025-11-03 09:10:19] [7/135] 1605.T: best train_pf_eff=1.872, forward_pf_eff=5.703, trades=21/9
[2025-11-03 09:10:20] [8/135] 2432.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:10:22] [9/135] 247A.T: best train_pf_eff=0.000, forward_pf_eff=1.762, trades=0/5
[2025-11-03 09:10:23] [10/135] 2802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-11-03 09:10:26] [11/135] 3064.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:10:27] [12/135] 2502.T: best train_pf_eff=0.000, forward_pf_eff=0.424, trades=4/19
[2025-11-03 09:10:27] [13/135] 285A.T: best train_pf_eff=0.000, forward_pf_eff=12.735, trades=0/20
[2025-11-03 09:10:30] [14/135] 2914.T: best train_pf_eff=1.088, forward_pf_eff=0.497, trades=13/43
[2025-11-03 09:10:30] [15/135] 3350.T: best train_pf_eff=0.000, forward_pf_eff=1.293, trades=0/8
[2025-11-03 09:10:34] [16/135] 3905.T: best train_pf_eff=0.000, forward_pf_eff=0.260, trades=0/7
[2025-11-03 09:10:34] [17/135] 3382.T: best train_pf_eff=0.434, forward_pf_eff=0.222, trades=38/36
[2025-11-03 09:10:35] [18/135] 4005.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:10:35] [19/135] 3697.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/8
[2025-11-03 09:10:37] [20/135] 3436.T: best train_pf_eff=0.000, forward_pf_eff=1.163, trades=0/21
[2025-11-03 09:10:40] [21/135] 4188.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:10:41] [22/135] 4004.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/7
[2025-11-03 09:10:46] [23/135] 4503.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-03 09:10:48] [24/135] 4062.T: best train_pf_eff=0.409, forward_pf_eff=1.284, trades=19/30
[2025-11-03 09:10:50] [25/135] 4502.T: best train_pf_eff=0.064, forward_pf_eff=0.202, trades=39/34
[2025-11-03 09:10:50] [26/135] 4063.T: best train_pf_eff=0.573, forward_pf_eff=0.138, trades=26/26
[2025-11-03 09:10:51] [27/135] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:10:54] [28/135] 4506.T: best train_pf_eff=1.599, forward_pf_eff=2.693, trades=25/7
[2025-11-03 09:10:56] [29/135] 4519.T: best train_pf_eff=0.504, forward_pf_eff=0.078, trades=35/16
[2025-11-03 09:10:56] [30/135] 4543.T: best train_pf_eff=0.000, forward_pf_eff=5.633, trades=0/7
[2025-11-03 09:10:57] [31/135] 4689.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:11:04] [32/135] 4568.T: best train_pf_eff=0.384, forward_pf_eff=1.978, trades=15/13
[2025-11-03 09:11:04] [33/135] 4661.T: best train_pf_eff=0.731, forward_pf_eff=0.479, trades=20/8
[2025-11-03 09:11:06] [34/135] 4901.T: best train_pf_eff=0.000, forward_pf_eff=0.155, trades=0/12
[2025-11-03 09:11:09] [35/135] 4755.T: best train_pf_eff=0.190, forward_pf_eff=0.329, trades=30/38
[2025-11-03 09:11:10] [36/135] 5411.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:11:11] [37/135] 5108.T: best train_pf_eff=1.052, forward_pf_eff=0.210, trades=10/24
[2025-11-03 09:11:11] [38/135] 5016.T: best train_pf_eff=0.361, forward_pf_eff=6.431, trades=9/25
[2025-11-03 09:11:18] [39/135] 5401.T: best train_pf_eff=0.667, forward_pf_eff=0.270, trades=15/26
[2025-11-03 09:11:21] [40/135] 5706.T: best train_pf_eff=0.201, forward_pf_eff=4.618, trades=15/11
[2025-11-03 09:11:21] [41/135] 5713.T: best train_pf_eff=1.540, forward_pf_eff=0.000, trades=8/9
[2025-11-03 09:11:25] [42/135] 5802.T: best train_pf_eff=1.297, forward_pf_eff=0.523, trades=21/13
[2025-11-03 09:11:26] [43/135] 5801.T: best train_pf_eff=3.937, forward_pf_eff=2.310, trades=11/12
[2025-11-03 09:11:26] [44/135] 6178.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:11:27] [45/135] 5803.T: best train_pf_eff=999.000, forward_pf_eff=0.477, trades=12/31
[2025-11-03 09:11:30] [46/135] 6098.T: best train_pf_eff=0.576, forward_pf_eff=0.179, trades=23/15
[2025-11-03 09:11:31] [47/135] 6326.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:11:32] [48/135] 6323.T: best train_pf_eff=0.000, forward_pf_eff=1.425, trades=0/5
[2025-11-03 09:11:33] [49/135] 6146.T: best train_pf_eff=0.414, forward_pf_eff=5.555, trades=3/25
[2025-11-03 09:11:34] [50/135] 6301.T: best train_pf_eff=0.294, forward_pf_eff=2.033, trades=6/18
[2025-11-03 09:11:34] [51/135] 6315.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/5
[2025-11-03 09:11:35] [52/135] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:11:38] [53/135] 6361.T: best train_pf_eff=0.000, forward_pf_eff=0.930, trades=0/3
[2025-11-03 09:11:43] [54/135] 6506.T: best train_pf_eff=0.000, forward_pf_eff=0.174, trades=0/8
[2025-11-03 09:11:46] [55/135] 6501.T: best train_pf_eff=1.381, forward_pf_eff=2.455, trades=22/15
[2025-11-03 09:11:47] [56/135] 6503.T: best train_pf_eff=0.696, forward_pf_eff=0.396, trades=33/17
[2025-11-03 09:11:48] [57/135] 6525.T: best train_pf_eff=999.000, forward_pf_eff=2.011, trades=3/10
[2025-11-03 09:11:50] [58/135] 6526.T: best train_pf_eff=0.892, forward_pf_eff=3.020, trades=27/15
[2025-11-03 09:11:53] [59/135] 6594.T: best train_pf_eff=2.155, forward_pf_eff=0.469, trades=23/46
[2025-11-03 09:12:00] [60/135] 6752.T: best train_pf_eff=0.000, forward_pf_eff=0.467, trades=0/23
[2025-11-03 09:12:00] [61/135] 6701.T: best train_pf_eff=0.906, forward_pf_eff=1.154, trades=25/41
[2025-11-03 09:12:02] [62/135] 6702.T: best train_pf_eff=0.223, forward_pf_eff=8.967, trades=18/9
[2025-11-03 09:12:03] [63/135] 6723.T: best train_pf_eff=0.478, forward_pf_eff=1.062, trades=5/41
[2025-11-03 09:12:06] [64/135] 6758.T: best train_pf_eff=0.570, forward_pf_eff=0.565, trades=26/26
[2025-11-03 09:12:07] [65/135] 6762.T: best train_pf_eff=0.370, forward_pf_eff=1.659, trades=21/18
[2025-11-03 09:12:07] [66/135] 6814.T: best train_pf_eff=0.000, forward_pf_eff=0.207, trades=0/4
[2025-11-03 09:12:11] [67/135] 6902.T: best train_pf_eff=0.269, forward_pf_eff=0.000, trades=10/0
[2025-11-03 09:12:11] [68/135] 6971.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:13] [69/135] 6857.T: best train_pf_eff=1.450, forward_pf_eff=1.432, trades=10/21
[2025-11-03 09:12:13] [70/135] 6963.T: best train_pf_eff=3.543, forward_pf_eff=0.000, trades=8/0
[2025-11-03 09:12:15] [71/135] 6976.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:16] [72/135] 6920.T: best train_pf_eff=0.369, forward_pf_eff=1.319, trades=27/28
[2025-11-03 09:12:17] [73/135] 6954.T: best train_pf_eff=3.282, forward_pf_eff=2.535, trades=9/11
[2025-11-03 09:12:18] [74/135] 6988.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:25] [75/135] 6981.T: best train_pf_eff=0.106, forward_pf_eff=0.907, trades=3/13
[2025-11-03 09:12:27] [76/135] 7014.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/5
[2025-11-03 09:12:27] [77/135] 7003.T: best train_pf_eff=0.974, forward_pf_eff=0.463, trades=45/21
[2025-11-03 09:12:31] [78/135] 7011.T: best train_pf_eff=0.399, forward_pf_eff=1.640, trades=35/20
[2025-11-03 09:12:31] [79/135] 7012.T: best train_pf_eff=0.352, forward_pf_eff=999.000, trades=18/6
[2025-11-03 09:12:32] [80/135] 7013.T: best train_pf_eff=0.422, forward_pf_eff=3.419, trades=10/23
[2025-11-03 09:12:35] [81/135] 7259.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:35] [82/135] 7182.T: best train_pf_eff=0.299, forward_pf_eff=999.000, trades=12/1
[2025-11-03 09:12:38] [83/135] 7201.T: best train_pf_eff=0.320, forward_pf_eff=0.073, trades=13/8
[2025-11-03 09:12:38] [84/135] 7261.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:40] [85/135] 7203.T: best train_pf_eff=0.495, forward_pf_eff=0.987, trades=33/18
[2025-11-03 09:12:42] [86/135] 7270.T: best train_pf_eff=8.459, forward_pf_eff=0.000, trades=11/0
[2025-11-03 09:12:44] [87/135] 7267.T: best train_pf_eff=2.152, forward_pf_eff=0.122, trades=25/21
[2025-11-03 09:12:45] [88/135] 7269.T: best train_pf_eff=0.281, forward_pf_eff=4.385, trades=2/7
[2025-11-03 09:12:46] [89/135] 7532.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:47] [90/135] 7746.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:12:52] [91/135] 7453.T: best train_pf_eff=0.326, forward_pf_eff=0.194, trades=27/37
[2025-11-03 09:12:53] [92/135] 7832.T: best train_pf_eff=5.573, forward_pf_eff=0.000, trades=11/0
[2025-11-03 09:12:53] [93/135] 7735.T: best train_pf_eff=1.445, forward_pf_eff=1.319, trades=10/23
[2025-11-03 09:12:58] [94/135] 7751.T: best train_pf_eff=0.766, forward_pf_eff=0.263, trades=19/19
[2025-11-03 09:13:01] [95/135] 7936.T: best train_pf_eff=0.480, forward_pf_eff=1.661, trades=18/12
[2025-11-03 09:13:05] [96/135] 7974.T: best train_pf_eff=0.773, forward_pf_eff=1.005, trades=21/30
[2025-11-03 09:13:10] [97/135] 8001.T: best train_pf_eff=0.743, forward_pf_eff=1.210, trades=25/38
[2025-11-03 09:13:10] [98/135] 8002.T: best train_pf_eff=21.217, forward_pf_eff=0.497, trades=8/48
[2025-11-03 09:13:12] [99/135] 8031.T: best train_pf_eff=0.772, forward_pf_eff=1.470, trades=33/50
[2025-11-03 09:13:14] [100/135] 8053.T: best train_pf_eff=0.616, forward_pf_eff=999.000, trades=13/8
[2025-11-03 09:13:16] [101/135] 8035.T: best train_pf_eff=1.803, forward_pf_eff=1.143, trades=16/21
[2025-11-03 09:13:21] [102/135] 8267.T: best train_pf_eff=1.406, forward_pf_eff=0.000, trades=12/7
