[2025-11-03 12:56:07] Run started
[2025-11-03 12:56:07] Run type resolved to weekend
[2025-11-03 12:56:07] Codes limited via C:\AI\asagake\output\bt30\TIMEPLAN_TEST_20251102\D_FULLDAY_WINDOWS\RUN_coarse_MID_1030_1100_j-cross\_TOP50_codes.csv: 50 tickers (was 20)
[2025-11-03 12:56:21] Entry window marks set: 56372 rows flagged out of 582353
[2025-11-03 12:56:21] Liquidity filter q=0.50 kept 50 tickers and 291878 rows
[2025-11-03 12:56:21] Using 1 rolling slices (train=12, forward=20)
[2025-11-03 12:56:21] Parameter grid size: 24 (mode=refine, signal=j-cross)
[2025-11-03 12:56:24] [1/50] 2432.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:26] [2/50] 1911.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-11-03 12:56:26] [3/50] 247A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-11-03 12:56:26] [4/50] 1579.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/5
[2025-11-03 12:56:27] [5/50] 1570.T: best train_pf_eff=0.000, forward_pf_eff=1.616, trades=0/4
[2025-11-03 12:56:28] [6/50] 3064.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:30] [7/50] 2802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-11-03 12:56:32] [8/50] 4004.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:32] [9/50] 3905.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:32] [10/50] 3350.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-03 12:56:35] [11/50] 4005.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:36] [12/50] 4188.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:38] [13/50] 4062.T: best train_pf_eff=0.154, forward_pf_eff=999.000, trades=12/2
[2025-11-03 12:56:41] [14/50] 4063.T: best train_pf_eff=0.212, forward_pf_eff=999.000, trades=8/1
[2025-11-03 12:56:41] [15/50] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:44] [16/50] 4506.T: best train_pf_eff=0.320, forward_pf_eff=0.000, trades=8/2
[2025-11-03 12:56:45] [17/50] 4519.T: best train_pf_eff=0.263, forward_pf_eff=0.067, trades=7/4
[2025-11-03 12:56:46] [18/50] 4543.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:48] [19/50] 4568.T: best train_pf_eff=0.968, forward_pf_eff=999.000, trades=4/2
[2025-11-03 12:56:50] [20/50] 4689.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:53] [21/50] 4661.T: best train_pf_eff=1.669, forward_pf_eff=1.387, trades=11/4
[2025-11-03 12:56:53] [22/50] 4901.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:56:53] [23/50] 5108.T: best train_pf_eff=0.173, forward_pf_eff=0.099, trades=3/6
[2025-11-03 12:56:58] [24/50] 5411.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:00] [25/50] 5401.T: best train_pf_eff=0.065, forward_pf_eff=0.287, trades=3/5
[2025-11-03 12:57:00] [26/50] 6098.T: best train_pf_eff=0.035, forward_pf_eff=0.097, trades=7/5
[2025-11-03 12:57:02] [27/50] 5706.T: best train_pf_eff=0.242, forward_pf_eff=999.000, trades=7/3
[2025-11-03 12:57:02] [28/50] 6178.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:03] [29/50] 6326.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:05] [30/50] 6323.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:07] [31/50] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:08] [32/50] 6752.T: best train_pf_eff=0.305, forward_pf_eff=0.000, trades=3/1
[2025-11-03 12:57:11] [33/50] 6526.T: best train_pf_eff=0.193, forward_pf_eff=1.854, trades=6/4
[2025-11-03 12:57:13] [34/50] 6814.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 12:57:14] [35/50] 6902.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/3
[2025-11-03 12:57:14] [36/50] 6762.T: best train_pf_eff=0.247, forward_pf_eff=0.900, trades=9/3
