[2025-11-04 17:38:49] Run started
[2025-11-04 17:38:49] Run type resolved to weekday
[2025-11-04 17:38:50] Codes limited via C:\AI\asagake\output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-04 17:41:02] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-04 17:41:31] Entry window marks set: 246483 rows flagged out of 2894552
[2025-11-04 17:41:33] Liquidity filter q=0.50 kept 222 tickers and 1564022 rows
[2025-11-04 17:41:33] Using 5 rolling slices (train=12, forward=4)
[2025-11-04 17:41:33] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-04 17:41:33] Ineffective-band mask removed 96 combos for J_th values [0.3, 0.4, 0.6, 0.7, 0.8, 1.0]
[2025-11-04 17:41:50] [1/222] 1570.T: best train_pf_eff=999.000, forward_pf_eff=0.385, trades=14/23
[2025-11-04 17:41:51] [2/222] 1306.T: best train_pf_eff=0.223, forward_pf_eff=0.167, trades=98/47
[2025-11-04 17:41:51] [3/222] 1357.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=16/8
[2025-11-04 17:41:51] [4/222] 1568.T: best train_pf_eff=1.233, forward_pf_eff=1.233, trades=12/6
[2025-11-04 17:41:52] [5/222] 1360.T: best train_pf_eff=1615.641, forward_pf_eff=1227.807, trades=8/6
[2025-11-04 17:41:53] [6/222] 1459.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=11/4
[2025-11-04 17:41:53] [7/222] 1579.T: best train_pf_eff=0.924, forward_pf_eff=1.066, trades=50/25
[2025-11-04 17:42:09] [8/222] 1662.T: best train_pf_eff=0.000, forward_pf_eff=1.265, trades=0/16
[2025-11-04 17:42:10] [9/222] 1605.T: best train_pf_eff=0.498, forward_pf_eff=4.639, trades=64/17
[2025-11-04 17:42:10] [10/222] 1802.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-04 17:42:11] [11/222] 186A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:11] [12/222] 1803.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=32/2
[2025-11-04 17:42:13] [13/222] 1893.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:13] [14/222] 1928.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=61/29
[2025-11-04 17:42:19] [15/222] 1911.T: best train_pf_eff=0.363, forward_pf_eff=999.000, trades=19/4
[2025-11-04 17:42:23] [16/222] 2127.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:24] [17/222] 218A.T: best train_pf_eff=0.000, forward_pf_eff=1.564, trades=0/8
[2025-11-04 17:42:25] [18/222] 215A.T: best train_pf_eff=2.036, forward_pf_eff=2.035, trades=12/12
[2025-11-04 17:42:25] [19/222] 2269.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/11
[2025-11-04 17:42:27] [20/222] 2267.T: best train_pf_eff=0.158, forward_pf_eff=0.158, trades=60/30
[2025-11-04 17:42:31] [21/222] 2432.T: best train_pf_eff=1.881, forward_pf_eff=1.746, trades=31/29
[2025-11-04 17:42:31] [22/222] 2413.T: best train_pf_eff=0.000, forward_pf_eff=1.137, trades=2/11
[2025-11-04 17:42:36] [23/222] 247A.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=15/5
[2025-11-04 17:42:43] [24/222] 2503.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=3/5
[2025-11-04 17:42:43] [25/222] 2644.T: best train_pf_eff=0.001, forward_pf_eff=0.112, trades=30/29
[2025-11-04 17:42:44] [26/222] 2586.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:46] [27/222] 2726.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:48] [28/222] 2502.T: best train_pf_eff=1.933, forward_pf_eff=999.000, trades=55/15
[2025-11-04 17:42:52] [29/222] 2801.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:42:59] [30/222] 285A.T: best train_pf_eff=2.633, forward_pf_eff=2.633, trades=8/8
[2025-11-04 17:43:04] [31/222] 2802.T: best train_pf_eff=0.742, forward_pf_eff=9.463, trades=42/39
[2025-11-04 17:43:04] [32/222] 2897.T: best train_pf_eff=1.093, forward_pf_eff=0.373, trades=78/56
[2025-11-04 17:43:06] [33/222] 290A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:09] [34/222] 3003.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:17] [35/222] 3064.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=14/7
[2025-11-04 17:43:18] [36/222] 3038.T: best train_pf_eff=4.299, forward_pf_eff=0.186, trades=104/88
[2025-11-04 17:43:21] [37/222] 3086.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/6
[2025-11-04 17:43:25] [38/222] 2914.T: best train_pf_eff=0.479, forward_pf_eff=0.925, trades=302/77
[2025-11-04 17:43:25] [39/222] 314A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/21
[2025-11-04 17:43:25] [40/222] 3092.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:28] [41/222] 318A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:30] [42/222] 3099.T: best train_pf_eff=999.000, forward_pf_eff=3.818, trades=18/9
[2025-11-04 17:43:37] [43/222] 3323.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/2
[2025-11-04 17:43:39] [44/222] 3231.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:43] [45/222] 3350.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=15/9
[2025-11-04 17:43:48] [46/222] 3402.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-04 17:43:49] [47/222] 3405.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:43:52] [48/222] 3407.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:44:09] [49/222] 3659.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
