ticker,rows
8729.T,"ERROR:Already tz-aware, use tz_convert to convert."
6740.T,"ERROR:Already tz-aware, use tz_convert to convert."
9432.T,"ERROR:Already tz-aware, use tz_convert to convert."
9501.T,"ERROR:Already tz-aware, use tz_convert to convert."
9434.T,"ERROR:Already tz-aware, use tz_convert to convert."
5016.T,"ERROR:Already tz-aware, use tz_convert to convert."
8306.T,"ERROR:Already tz-aware, use tz_convert to convert."
8136.T,"ERROR:Already tz-aware, use tz_convert to convert."
7013.T,"ERROR:Already tz-aware, use tz_convert to convert."
7201.T,"ERROR:Already tz-aware, use tz_convert to convert."
7011.T,"ERROR:Already tz-aware, use tz_convert to convert."
7203.T,"ERROR:Already tz-aware, use tz_convert to convert."
5401.T,"ERROR:Already tz-aware, use tz_convert to convert."
4689.T,"ERROR:Already tz-aware, use tz_convert to convert."
7267.T,"ERROR:Already tz-aware, use tz_convert to convert."
0285.T,0
4568.T,"ERROR:Already tz-aware, use tz_convert to convert."
6758.T,"ERROR:Already tz-aware, use tz_convert to convert."
4005.T,"ERROR:Already tz-aware, use tz_convert to convert."
6526.T,"ERROR:Already tz-aware, use tz_convert to convert."
9984.T,"ERROR:Already tz-aware, use tz_convert to convert."
4755.T,"ERROR:Already tz-aware, use tz_convert to convert."
3436.T,"ERROR:Already tz-aware, use tz_convert to convert."
6525.T,"ERROR:Already tz-aware, use tz_convert to convert."
8316.T,"ERROR:Already tz-aware, use tz_convert to convert."
6723.T,"ERROR:Already tz-aware, use tz_convert to convert."
6315.T,"ERROR:Already tz-aware, use tz_convert to convert."
6501.T,"ERROR:Already tz-aware, use tz_convert to convert."
8750.T,"ERROR:Already tz-aware, use tz_convert to convert."
6857.T,"ERROR:Already tz-aware, use tz_convert to convert."
2181.T,"ERROR:Already tz-aware, use tz_convert to convert."
7532.T,"ERROR:Already tz-aware, use tz_convert to convert."
9433.T,"ERROR:Already tz-aware, use tz_convert to convert."
6920.T,"ERROR:Already tz-aware, use tz_convert to convert."
7261.T,"ERROR:Already tz-aware, use tz_convert to convert."
4506.T,"ERROR:Already tz-aware, use tz_convert to convert."
5020.T,"ERROR:Already tz-aware, use tz_convert to convert."
2502.T,"ERROR:Already tz-aware, use tz_convert to convert."
6762.T,"ERROR:Already tz-aware, use tz_convert to convert."
8035.T,"ERROR:Already tz-aware, use tz_convert to convert."
3382.T,"ERROR:Already tz-aware, use tz_convert to convert."
8801.T,"ERROR:Already tz-aware, use tz_convert to convert."
8058.T,"ERROR:Already tz-aware, use tz_convert to convert."
8604.T,"ERROR:Already tz-aware, use tz_convert to convert."
8411.T,"ERROR:Already tz-aware, use tz_convert to convert."
4503.T,"ERROR:Already tz-aware, use tz_convert to convert."
6981.T,"ERROR:Already tz-aware, use tz_convert to convert."
8308.T,"ERROR:Already tz-aware, use tz_convert to convert."
7269.T,"ERROR:Already tz-aware, use tz_convert to convert."
6752.T,"ERROR:Already tz-aware, use tz_convert to convert."
7211.T,"ERROR:Already tz-aware, use tz_convert to convert."
4063.T,"ERROR:Already tz-aware, use tz_convert to convert."
5803.T,"ERROR:Already tz-aware, use tz_convert to convert."
7205.T,"ERROR:Already tz-aware, use tz_convert to convert."
8410.T,"ERROR:Already tz-aware, use tz_convert to convert."
3697.T,"ERROR:Already tz-aware, use tz_convert to convert."
6146.T,"ERROR:Already tz-aware, use tz_convert to convert."
3656.T,"ERROR:Already tz-aware, use tz_convert to convert."
7182.T,"ERROR:Already tz-aware, use tz_convert to convert."
8267.T,"ERROR:Already tz-aware, use tz_convert to convert."
6702.T,"ERROR:Already tz-aware, use tz_convert to convert."
4612.T,"ERROR:Already tz-aware, use tz_convert to convert."
7453.T,"ERROR:Already tz-aware, use tz_convert to convert."
4543.T,"ERROR:Already tz-aware, use tz_convert to convert."
6902.T,"ERROR:Already tz-aware, use tz_convert to convert."
7272.T,"ERROR:Already tz-aware, use tz_convert to convert."
8031.T,"ERROR:Already tz-aware, use tz_convert to convert."
6178.T,"ERROR:Already tz-aware, use tz_convert to convert."
7974.T,"ERROR:Already tz-aware, use tz_convert to convert."
6594.T,"ERROR:Already tz-aware, use tz_convert to convert."
8766.T,"ERROR:Already tz-aware, use tz_convert to convert."
3402.T,"ERROR:Already tz-aware, use tz_convert to convert."
9503.T,"ERROR:Already tz-aware, use tz_convert to convert."
5801.T,"ERROR:Already tz-aware, use tz_convert to convert."
6326.T,"ERROR:Already tz-aware, use tz_convert to convert."
8113.T,"ERROR:Already tz-aware, use tz_convert to convert."
4188.T,"ERROR:Already tz-aware, use tz_convert to convert."
9509.T,"ERROR:Already tz-aware, use tz_convert to convert."
6971.T,"ERROR:Already tz-aware, use tz_convert to convert."
6503.T,"ERROR:Already tz-aware, use tz_convert to convert."
2413.T,"ERROR:Already tz-aware, use tz_convert to convert."
8601.T,"ERROR:Already tz-aware, use tz_convert to convert."
8002.T,"ERROR:Already tz-aware, use tz_convert to convert."
8233.T,"ERROR:Already tz-aware, use tz_convert to convert."
4519.T,"ERROR:Already tz-aware, use tz_convert to convert."
7733.T,"ERROR:Already tz-aware, use tz_convert to convert."
9504.T,"ERROR:Already tz-aware, use tz_convert to convert."
6361.T,"ERROR:Already tz-aware, use tz_convert to convert."
4502.T,"ERROR:Already tz-aware, use tz_convert to convert."
2801.T,"ERROR:Already tz-aware, use tz_convert to convert."
1605.T,"ERROR:Already tz-aware, use tz_convert to convert."
6098.T,"ERROR:Already tz-aware, use tz_convert to convert."
7270.T,"ERROR:Already tz-aware, use tz_convert to convert."
6701.T,"ERROR:Already tz-aware, use tz_convert to convert."
3231.T,"ERROR:Already tz-aware, use tz_convert to convert."
8697.T,"ERROR:Already tz-aware, use tz_convert to convert."
6963.T,"ERROR:Already tz-aware, use tz_convert to convert."
3315.T,"ERROR:Already tz-aware, use tz_convert to convert."
3861.T,"ERROR:Already tz-aware, use tz_convert to convert."
5713.T,"ERROR:Already tz-aware, use tz_convert to convert."
8802.T,"ERROR:Already tz-aware, use tz_convert to convert."
7012.T,"ERROR:Already tz-aware, use tz_convert to convert."
7751.T,"ERROR:Already tz-aware, use tz_convert to convert."
8725.T,"ERROR:Already tz-aware, use tz_convert to convert."
9107.T,"ERROR:Already tz-aware, use tz_convert to convert."
2914.T,"ERROR:Already tz-aware, use tz_convert to convert."
4901.T,"ERROR:Already tz-aware, use tz_convert to convert."
9843.T,"ERROR:Already tz-aware, use tz_convert to convert."
6869.T,"ERROR:Already tz-aware, use tz_convert to convert."
4446.T,"ERROR:Already tz-aware, use tz_convert to convert."
3092.T,"ERROR:Already tz-aware, use tz_convert to convert."
9101.T,"ERROR:Already tz-aware, use tz_convert to convert."
4661.T,"ERROR:Already tz-aware, use tz_convert to convert."
6954.T,"ERROR:Already tz-aware, use tz_convert to convert."
7936.T,"ERROR:Already tz-aware, use tz_convert to convert."
5076.T,"ERROR:Already tz-aware, use tz_convert to convert."
8593.T,"ERROR:Already tz-aware, use tz_convert to convert."
3064.T,"ERROR:Already tz-aware, use tz_convert to convert."
8473.T,"ERROR:Already tz-aware, use tz_convert to convert."
3407.T,"ERROR:Already tz-aware, use tz_convert to convert."
8331.T,"ERROR:Already tz-aware, use tz_convert to convert."
4751.T,"ERROR:Already tz-aware, use tz_convert to convert."
8591.T,"ERROR:Already tz-aware, use tz_convert to convert."
5802.T,"ERROR:Already tz-aware, use tz_convert to convert."
4004.T,"ERROR:Already tz-aware, use tz_convert to convert."
5411.T,"ERROR:Already tz-aware, use tz_convert to convert."
6323.T,"ERROR:Already tz-aware, use tz_convert to convert."
