ticker,rows,status
8729.T,3150,OK
6740.T,4093,OK
9432.T,5696,OK
9501.T,5684,OK
9434.T,5698,OK
5016.T,5696,OK
8306.T,5646,OK
8136.T,5687,OK
7013.T,5678,OK
7201.T,5683,OK
7011.T,5671,OK
7203.T,5694,OK
5401.T,5689,OK
4689.T,5700,OK
7267.T,5688,OK
4568.T,5695,OK
6758.T,5688,OK
4005.T,5703,OK
6526.T,5689,OK
9984.T,5684,OK
4755.T,5701,OK
3436.T,5677,OK
6525.T,5694,OK
8316.T,5694,OK
6723.T,5701,OK
6315.T,5696,OK
6501.T,5687,OK
8750.T,5703,OK
6857.T,5693,OK
2181.T,5592,OK
7532.T,5686,OK
9433.T,0,SKIP_INVALID_OR_NO_1M
6920.T,5697,OK
7261.T,5680,OK
4506.T,5691,OK
5020.T,5640,OK
2502.T,5688,OK
6762.T,5694,OK
8035.T,5694,OK
3382.T,5605,OK
8801.T,5675,OK
8058.T,5689,OK
8604.T,5675,OK
8411.T,5697,OK
4503.T,5692,OK
6981.T,5687,OK
8308.T,5693,OK
7269.T,5670,OK
6752.T,5698,OK
7211.T,5691,OK
4063.T,5787,OK
5803.T,5792,OK
7205.T,5718,OK
8410.T,5716,OK
3697.T,5785,OK
6146.T,5784,OK
3656.T,4829,OK
7182.T,5677,OK
8267.T,5698,OK
6702.T,5676,OK
4612.T,5532,OK
7453.T,5695,OK
4543.T,5686,OK
6902.T,5686,OK
7272.T,5645,OK
8031.T,5681,OK
6178.T,5675,OK
7974.T,5682,OK
6594.T,5693,OK
8766.T,5698,OK
3402.T,5693,OK
9503.T,5688,OK
5801.T,5698,OK
6326.T,5689,OK
8113.T,5699,OK
4188.T,5695,OK
9509.T,5703,OK
6971.T,5672,OK
6503.T,5689,OK
2413.T,5673,OK
8601.T,5627,OK
8002.T,5603,OK
8233.T,5683,OK
4519.T,5694,OK
7733.T,5654,OK
9504.T,5673,OK
6361.T,5681,OK
4502.T,5601,OK
2801.T,5626,OK
1605.T,5691,OK
6098.T,5612,OK
7270.T,5567,OK
6701.T,5675,OK
3231.T,5687,OK
8697.T,5661,OK
6963.T,5690,OK
3315.T,2626,OK
3861.T,5704,OK
5713.T,5685,OK
8802.T,5666,OK
7012.T,5682,OK
7751.T,5668,OK
8725.T,5681,OK
9107.T,5688,OK
2914.T,5578,OK
4901.T,5670,OK
9843.T,5558,OK
6869.T,5599,OK
4446.T,2319,OK
3092.T,5579,OK
9101.T,5675,OK
4661.T,5701,OK
6954.T,5684,OK
7936.T,5615,OK
5076.T,5523,OK
8593.T,5610,OK
3064.T,5656,OK
8473.T,5635,OK
3407.T,5596,OK
8331.T,5634,OK
4751.T,5671,OK
8591.T,5585,OK
5802.T,5692,OK
4004.T,5674,OK
5411.T,5661,OK
6323.T,5636,OK
7762.T,5140,OK
3853.T,5660,OK
9506.T,5546,OK
3099.T,5688,OK
7731.T,5603,OK
7186.T,5637,OK
6472.T,5626,OK
5019.T,5643,OK
4507.T,5665,OK
7202.T,5667,OK
8524.T,4541,OK
8309.T,5663,OK
8848.T,4488,OK
4385.T,5686,OK
2897.T,5665,OK
2802.T,5649,OK
9020.T,5618,OK
7259.T,5651,OK
5726.T,5613,OK
9104.T,5684,OK
2503.T,5654,OK
6506.T,5580,OK
9022.T,5627,OK
9831.T,5608,OK
7003.T,5593,OK
7832.T,5656,OK
8515.T,3536,OK
8001.T,5684,OK
3289.T,5578,OK
2267.T,5642,OK
4528.T,5640,OK
1802.T,5669,OK
1803.T,5678,OK
6871.T,5342,OK
8053.T,5669,OK
7167.T,5687,OK
5991.T,5512,OK
8630.T,5658,OK
8015.T,5647,OK
9697.T,5669,OK
9502.T,5628,OK
6976.T,5663,OK
6988.T,5635,OK
6965.T,5653,OK
7752.T,5572,OK
6301.T,5669,OK
3110.T,5243,OK
9202.T,5639,OK
3003.T,5525,OK
5706.T,5672,OK
5535.T,4317,OK
9424.T,3173,OK
1911.T,5679,OK
4911.T,5678,OK
7735.T,5674,OK
9508.T,5582,OK
9023.T,5626,OK
4902.T,5676,OK
8795.T,5586,OK
8698.T,4739,OK
9201.T,5583,OK
4704.T,5473,OK
1861.T,4168,OK
4452.T,5641,OK
2127.T,5648,OK
9021.T,5534,OK
5406.T,5590,OK
9009.T,5397,OK
4062.T,5678,OK
3038.T,5610,OK
5108.T,5592,OK
7951.T,5410,OK
