code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1803.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1407.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
168A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1802.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1541.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1812.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1542.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1893.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1911.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1605.T,coarse,j-only,2,1.0,999.0,999.0,17.095960187285755,0,1
1357.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1321.T,coarse,j-only,3,0.3333333333333333,0.10631578156337405,0.10631578156337403,-11.30909654518433,0,1
1360.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1570.T,coarse,j-only,3,0.3333333333333333,0.19706392460121086,0.19706392460121083,-17.684697215994166,0,1
1579.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1540.T,coarse,j-only,1,0.0,0.0,0.0,-19.790820010315525,0,1
1925.T,coarse,j-only,8,0.5,0.3574340798387156,0.3574340798387156,-7.39243320717671,0,1
1458.T,coarse,j-only,3,0.3333333333333333,0.061355490487562114,0.06135549048756211,-36.7137200531754,0,1
1928.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1942.T,coarse,j-only,10,0.1,0.07367483172770596,0.07367483172770597,-46.649156328207916,0,1
186A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2127.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2181.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2160.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2334.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
218A.T,coarse,j-only,3,0.6666666666666666,3.8379907984635504,3.83799079846355,69.77538297547021,0,1
2433.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2267.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2503.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2036.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
219A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2269.T,coarse,j-only,2,1.0,999.0,999.0,2.0133912954351496,0,1
2670.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2413.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
247A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
276A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
215A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2801.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2432.T,coarse,j-only,5,0.6,0.2850058983540307,0.2850058983540306,-8.028870610378274,0,1
2768.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2502.T,coarse,j-only,2,0.0,0.0,0.0,-27.322982823801347,0,1
3003.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
290A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3092.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3088.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3086.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3141.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
