code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1803.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1407.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
168A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1802.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,1,0.0,0.0,0.0,-32.43991853360489,0,1
1541.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1812.T,coarse,j-only,3,1.5,1.0,1.0,0.0,0.0,0,2,0.5,0.7921021778346046,0.7921021778346046,-4.236650331243062,0,1
1542.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1893.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1911.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1605.T,coarse,j-only,3,1.5,2.0,0.4,0.0,0.0,0,14,0.7142857142857143,1.2476266213027096,1.2476266213027096,3.777947394423079,0,1
1357.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,20,0.35,0.5138206631799358,0.5138206631799358,-9.95071439127841,0,1
1321.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,32,0.4375,0.32760894027507714,0.32760894027507714,-6.863247707948016,0,1
1360.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,18,0.6111111111111112,0.6698106702128624,0.6698106702128626,-6.412587953734393,0,1
1570.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,21,0.38095238095238093,0.3942659231406746,0.3942659231406746,-12.223787850791863,0,1
1579.T,coarse,j-only,1,1.5,1.0,0.8,0.0,0.0,0,14,0.42857142857142855,0.5334083185734289,0.5334083185734289,-8.07739642201936,0,1
1540.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,14,0.5714285714285714,1.7863089492935578,1.7863089492935573,7.454071302616909,0,1
1925.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,5,1.0,999.0,999.0,10.423141702957281,0,1
1458.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,18,0.6666666666666666,0.7862874240496465,0.7862874240496464,-3.6015361266094126,0,1
1928.T,coarse,j-only,3,1.2,1.5,0.4,0.0,0.0,0,4,1.0,999.0,999.0,16.58333590650631,0,1
1942.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
186A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2127.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2181.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2160.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2334.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
218A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2433.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2267.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,4,0.0,0.0,0.0,-13.735793443993206,0,1
2503.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,4,1.0,999.0,999.0,12.092136361051852,0,1
2036.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
219A.T,coarse,j-only,1,1.5,1.0,0.6,0.0,0.0,0,7,0.14285714285714285,0.13945048494303816,0.13945048494303816,-81.57731815220816,0,1
2269.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2670.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2413.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,5,1.0,999.0,999.0,19.56636735599405,0,1
247A.T,coarse,j-only,1,1.2,1.0,0.8,0.0,0.0,0,3,1.0,999.0,999.0,272.9297736201636,0,1
276A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
215A.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,18,0.3888888888888889,0.5302600787534024,0.5302600787534023,-16.59480562066029,0,1
2801.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2432.T,coarse,j-only,3,1.2,2.0,0.4,0.0,0.0,0,13,1.0,999.0,999.0,18.656856638897732,0,1
2768.T,coarse,j-only,5,1.2,2.0,0.4,0.0,0.0,0,8,1.0,999.0,999.0,11.48100902717772,0,1
2502.T,coarse,j-only,5,1.5,1.0,0.6,0.0,0.0,0,3,0.6666666666666666,2.5795289104842327,2.5795289104842323,11.784537230508903,0,1
3003.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
290A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3092.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3088.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3086.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3141.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3231.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
314A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3289.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2897.T,coarse,j-only,3,1.2,1.0,0.4,0.0,0.0,0,7,0.14285714285714285,0.06059755294256541,0.0605975529425654,-22.901878474120164,0,1
3349.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3064.T,coarse,j-only,1,1.2,1.5,0.6,0.0,0.0,0,2,1.0,999.0,999.0,30.676476321871352,0,1
3038.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,1,1.0,999.0,999.0,19.583694081372972,0,1
2802.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,18,0.8333333333333334,3.635620063698841,3.6356200636988416,15.635367907813098,0,1
285A.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,8,1.0,999.0,999.0,109.46424844169246,0,1
3099.T,coarse,j-only,3,1.2,1.0,1.0,0.0,0.0,0,6,1.0,999.0,999.0,15.248145518993182,0,1
2914.T,coarse,j-only,5,1.2,1.0,1.0,0.0,0.0,0,4,1.0,999.0,999.0,5.602493213180416,0,1
3370.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3391.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3405.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3407.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3635.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3647.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3687.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3402.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,2,1.0,999.0,999.0,10.018948877578026,0,1
3774.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3861.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3923.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3935.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3350.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3382.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,24,0.4166666666666667,0.22924142462876293,0.22924142462876296,-16.15954084721317,0,1
4042.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4043.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
402A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3692.T,coarse,j-only,3,1.5,1.0,0.4,0.0,0.0,0,7,0.5714285714285714,0.6275048148634886,0.6275048148634885,-39.838853234691946,0,1
3697.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,22,0.7272727272727273,1.171332831966975,1.171332831966975,3.4084651437269256,0,1
3563.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,16,0.5,0.25808562227412885,0.25808562227412885,-28.6210232785451,0,1
3436.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,9,0.0,0.0,0.0,-57.35544756094818,0,1
4005.T,coarse,j-only,5,1.2,1.0,0.8,0.0,0.0,0,1,1.0,999.0,999.0,18.01277465249464,0,1
4176.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4182.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4088.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4004.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,13,0.07692307692307693,0.07173928687790349,0.0717392868779035,-40.87521979372568,0,1
3905.T,coarse,j-only,3,1.2,1.5,0.4,0.0,0.0,0,8,0.375,0.47516520698636744,0.47516520698636744,-42.48335113678979,0,1
423A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4443.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4188.T,coarse,j-only,5,1.5,1.0,0.6,0.0,0.0,0,2,0.5,0.5746606925932671,0.5746606925932671,-4.747172218223255,0,1
4204.T,coarse,j-only,5,1.2,2.0,0.4,0.0,0.0,0,4,1.0,999.0,999.0,13.69208950077913,0,1
4446.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4062.T,coarse,j-only,3,1.2,2.0,0.4,0.0,0.0,0,23,0.5652173913043478,0.6353956048399786,0.6353956048399785,-14.572804348196534,0,1
4307.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,2,0.0,0.0,0.0,-32.20217199582479,0,1
4507.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4063.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,14,0.2857142857142857,0.3079842833088649,0.30798428330886485,-12.681739368685024,0,1
4385.T,coarse,j-only,3,1.2,2.0,0.8,0.0,0.0,0,4,1.0,999.0,999.0,32.06969411189655,0,1
4528.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4452.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,26,0.5,0.3834249672447975,0.3834249672447975,-8.813113928666024,0,1
4571.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4587.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4503.T,coarse,j-only,5,1.5,2.0,0.4,0.0,0.0,0,7,0.7142857142857143,0.6821066752377102,0.6821066752377102,-4.423048877193475,0,1
4502.T,coarse,j-only,3,1.2,2.0,0.4,0.0,0.0,0,7,0.8571428571428571,0.7024472406771927,0.7024472406771924,-1.3782708222235251,0,1
4506.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,9,0.4444444444444444,0.5439566778893947,0.5439566778893946,-8.921002741230218,0,1
