code,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1321.T,4,0.0,0.0,0.0,-1.0008,0,2
1357.T,2,0.5,0.6,0.599360255897641,-0.40079999999999993,0,2
1360.T,5,0.2,0.25,0.18732506997201123,-1.3008,0,2
1458.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
1540.T,5,0.8,6.0,5.992006394884095,0.9992000000000003,0,2
1541.T,0,0.0,0.0,0.0,0.0,0,2
1542.T,2,0.0,0.0,0.0,-1.0008,0,2
1570.T,4,0.0,0.0,0.0,-2.0008,0,2
1579.T,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
1605.T,5,0.2,0.3,0.2995603517186251,-0.5608,0,2
1802.T,1,0.0,0.0,0.0,-1.0008,0,2
1803.T,0,0.0,0.0,0.0,0.0,0,2
1812.T,0,0.0,0.0,0.0,0.0,0,2
186A.T,5,0.4,0.75,0.49953351992536327,-0.6007999999999999,0,2
1911.T,0,0.0,0.0,0.0,0.0,0,2
1925.T,4,0.0,0.0,0.0,-1.0008,0,2
1928.T,2,0.0,0.0,0.0,-2.0008,0,2
1942.T,7,0.0,0.0,0.0,-1.0008,0,2
2036.T,3,0.6666666666666666,999.0,2.9960031974420467,0.6658666666666667,0,2
215A.T,8,0.75,4.5,4.49400479616307,0.8742000000000001,0,2
2160.T,2,0.0,0.0,0.0,-1.0008,0,2
218A.T,1,0.0,0.0,0.0,-1.0008,0,2
219A.T,6,0.0,0.0,0.0,-1.0008,0,2
2267.T,0,0.0,0.0,0.0,0.0,0,2
2269.T,2,0.0,0.0,0.0,-1.0008,0,2
2334.T,3,0.0,0.0,0.0,-1.0008,0,2
2413.T,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
2432.T,6,0.16666666666666666,0.3,0.2396482813749001,-0.6341333333333333,0,2
247A.T,5,0.4,1.2,0.7988276045830005,-0.12079999999999985,0,2
2502.T,8,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
2503.T,1,0.0,0.0,0.0,-1.0008,0,2
2670.T,0,0.0,0.0,0.0,0.0,0,2
2726.T,3,0.6666666666666666,2.4,2.396482813749001,0.46586666666666665,0,2
2768.T,0,0.0,0.0,0.0,0.0,0,2
2801.T,2,0.0,0.0,0.0,-1.0008,0,2
2802.T,6,0.3333333333333333,3.0,0.7490007993605117,-0.16746666666666665,0,2
285A.T,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
2897.T,0,0.0,0.0,0.0,0.0,0,2
290A.T,1,0.0,0.0,0.0,-1.0008,0,2
2914.T,10,0.4,0.5,0.49953351992536327,-0.6007999999999999,0,2
3038.T,1,0.0,0.0,0.0,-1.0008,0,2
3064.T,6,0.0,0.0,0.0,-1.0008,0,2
3086.T,0,0.0,0.0,0.0,0.0,0,2
3088.T,3,0.3333333333333333,999.0,0.3746501399440224,-0.8341333333333334,0,2
