code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1321.T,1,1.5,1.0,0.6,0.02,0.02,60,15,0.3333333333333333,0.8333333333333334,0.7490007993605117,-0.16746666666666665,0,2
1357.T,5,1.2,2.0,1.0,0.05,0.05,60,5,1.0,999.0,999.0,1.1992,0,2
1360.T,1,1.5,2.0,1.0,0.02,0.02,60,9,0.4444444444444444,0.6,0.5994402239104357,-0.44524444444444455,0,2
1458.T,1,1.5,1.0,0.6,0.05,0.02,60,6,0.16666666666666666,0.375,0.29960031974420465,-0.5841333333333333,0,2
1540.T,3,1.5,1.0,0.6,0.05,0.05,60,13,0.3076923076923077,0.6666666666666666,0.6657784883204548,-0.2315692307692307,0,2
1541.T,3,1.5,1.0,0.6,0.02,0.02,60,4,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
1542.T,1,1.2,1.0,0.6,0.02,0.02,60,1,1.0,999.0,999.0,1.1992,0,2
1570.T,1,1.5,2.0,0.6,0.02,0.02,60,14,0.2857142857142857,0.3,0.2997201119552179,-1.0008,0,2
1579.T,1,1.5,1.0,0.6,0.02,0.05,60,17,0.23529411764705882,0.5,0.46092356883723795,-0.41256470588235283,0,2
1605.T,1,1.2,1.0,0.6,0.02,0.02,60,16,0.0,0.0,0.0,-1.0008,0,2
1802.T,5,1.2,1.0,0.6,0.02,0.02,60,1,1.0,999.0,999.0,1.1992,0,2
1803.T,1,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
1812.T,1,1.5,1.0,0.6,0.02,0.05,60,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
186A.T,5,1.5,2.0,0.6,0.02,0.02,60,9,0.3333333333333333,0.45,0.3746501399440224,-0.8341333333333334,0,2
1911.T,1,1.2,1.0,0.6,0.02,0.02,60,7,0.0,0.0,0.0,-1.0008,0,2
1925.T,5,1.2,1.0,0.6,0.02,0.02,60,3,0.0,0.0,0.0,-1.0008,0,2
1928.T,3,1.5,2.0,0.6,0.02,0.02,60,6,0.16666666666666666,0.375,0.14986005597760896,-1.4174666666666667,0,2
1942.T,5,1.2,1.0,0.6,0.02,0.02,60,8,0.125,0.39999999999999997,0.17117734383921437,-0.7257999999999999,0,2
2036.T,1,1.5,1.0,0.6,0.02,0.05,60,17,0.11764705882352941,0.21428571428571427,0.19973354649613645,-0.7066823529411763,0,2
215A.T,5,1.5,1.0,0.6,0.02,0.02,60,14,0.42857142857142855,1.125,1.1235011990407675,0.07062857142857148,0,2
2160.T,5,1.2,1.0,0.6,0.02,0.02,60,8,0.0,0.0,0.0,-1.0008,0,2
218A.T,3,1.2,1.0,0.6,0.02,0.02,60,8,0.0,0.0,0.0,-1.0008,0,2
219A.T,1,1.5,1.0,0.6,0.02,0.02,60,18,0.1111111111111111,0.21428571428571427,0.18725019984012792,-0.723022222222222,0,2
2267.T,1,1.2,1.0,0.6,0.02,0.02,60,12,0.0,0.0,0.0,-1.0008,0,2
2269.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
2334.T,3,1.5,1.0,0.6,0.05,0.02,60,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
2413.T,1,1.5,1.0,0.6,0.02,0.02,60,10,0.4,1.0,0.9986677324806824,-0.0007999999999998009,0,2
2432.T,3,1.2,1.0,0.6,0.02,0.05,60,12,0.25,0.6,0.3994138022915002,-0.4507999999999999,0,2
247A.T,3,1.2,1.0,0.6,0.02,0.02,60,11,0.9090909090909091,12.0,11.982414068745001,0.9992,0,2
2502.T,5,1.5,1.0,0.6,0.02,0.02,60,12,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
2503.T,1,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
2670.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
2726.T,1,1.2,1.0,0.6,0.02,0.02,60,2,1.0,999.0,999.0,1.1992,0,2
2768.T,3,1.5,1.0,1.0,0.02,0.02,60,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
2801.T,5,1.2,1.0,0.6,0.02,0.02,60,3,0.0,0.0,0.0,-1.0008,0,2
2802.T,3,1.5,1.0,0.6,0.02,0.02,60,10,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
285A.T,3,1.5,1.0,0.6,0.02,0.02,60,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
2897.T,1,1.2,1.0,0.6,0.02,0.02,60,14,0.0,0.0,0.0,-1.0008,0,2
290A.T,1,1.5,1.0,0.6,0.02,0.02,60,2,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
2914.T,1,1.5,2.0,0.6,0.02,0.02,60,31,0.1935483870967742,0.1956521739130435,0.1798320671731308,-1.32338064516129,0,2
3038.T,5,1.5,1.0,0.6,0.02,0.02,60,7,0.7142857142857143,3.75,3.745003996802559,0.7849142857142859,0,2
3064.T,1,1.5,1.0,1.0,0.02,0.02,60,9,0.1111111111111111,0.375,0.18725019984012792,-0.723022222222222,0,2
3086.T,1,1.5,1.0,0.6,0.05,0.02,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
3088.T,1,1.5,2.0,0.6,0.02,0.02,60,4,0.5,1.5,0.7493002798880448,-0.2507999999999999,0,2
3092.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
3099.T,1,1.5,1.0,0.6,0.02,0.05,60,5,0.6,4.5,2.2470023980815346,0.4992,0,2
314A.T,3,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
3231.T,1,1.2,1.0,0.6,0.02,0.02,60,1,1.0,999.0,999.0,1.1992,0,2
3289.T,3,1.5,1.0,0.6,0.02,0.02,60,6,0.16666666666666666,1.5,0.29960031974420465,-0.5841333333333333,0,2
3349.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
3350.T,1,1.5,1.0,0.6,0.02,0.05,60,15,0.26666666666666666,0.6666666666666666,0.544727854080372,-0.33413333333333334,0,2
3382.T,3,1.5,1.0,0.6,0.02,0.02,60,21,0.047619047619047616,0.08333333333333333,0.07490007993605116,-0.8817523809523807,0,2
3402.T,3,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
3405.T,1,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
3407.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
3436.T,5,1.5,1.0,0.6,0.02,0.02,60,17,0.11764705882352941,0.2,0.19973354649613645,-0.7066823529411763,0,2
3563.T,5,1.5,1.0,0.6,0.05,0.02,60,20,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
3635.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
3647.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
3687.T,1,1.5,1.0,0.6,0.02,0.02,60,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
3692.T,1,1.2,2.0,0.6,0.05,0.02,60,12,0.4166666666666667,0.42857142857142855,0.4281144684983151,-0.6674666666666664,0,2
3697.T,5,1.2,1.0,0.6,0.02,0.02,60,6,0.0,0.0,0.0,-1.0008,0,2
3861.T,3,1.2,1.0,0.6,0.02,0.02,60,7,0.0,0.0,0.0,-1.0008,0,2
3905.T,1,1.5,2.0,0.6,0.02,0.05,60,13,0.3076923076923077,0.375,0.3330223466169088,-0.923876923076923,0,2
4004.T,1,1.5,1.0,0.6,0.05,0.02,60,15,0.26666666666666666,0.75,0.544727854080372,-0.33413333333333334,0,2
4005.T,1,1.5,2.0,0.6,0.02,0.02,60,8,0.25,0.25,0.2497667599626816,-1.1258,0,2
402A.T,1,1.5,1.0,0.6,0.02,0.02,60,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
4042.T,5,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4043.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
4062.T,1,1.5,1.0,0.6,0.02,0.02,60,16,0.125,0.21428571428571427,0.21400022838871763,-0.6882999999999999,0,2
4063.T,1,1.5,2.0,0.6,0.02,0.02,60,24,0.3333333333333333,0.4,0.3746501399440224,-0.8341333333333334,0,2
4088.T,3,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4182.T,3,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
4188.T,5,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
4204.T,1,1.5,2.0,0.6,0.02,0.02,60,4,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
423A.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
