code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1321.T,coarse,j-only,13,0.8461538461538461,4.625014369020166,4.625014369020165,6.725824261058181,1,1
1357.T,coarse,j-only,9,0.6666666666666666,1.805584384106747,1.8055843841067465,11.242671759893177,1,1
1360.T,coarse,j-only,12,0.8333333333333334,1.8940561310734174,1.894056131073418,10.440631374966465,1,1
1458.T,coarse,j-only,6,0.6666666666666666,1.186916575159221,1.1869165751592208,1.9739565836749258,1,1
1540.T,coarse,j-only,7,0.0,0.0,0.0,-23.52328770024796,0,1
1541.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1542.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1570.T,coarse,j-only,12,0.5833333333333334,1.1893932103192262,1.1893932103192268,2.9893377612393177,1,1
1579.T,coarse,j-only,10,1.0,999.0,999.0,23.160445937680997,1,1
1605.T,coarse,j-only,10,0.1,0.03604335343270526,0.03604335343270526,-51.983964506449944,0,1
1802.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1812.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
186A.T,coarse,j-only,5,0.4,1.455558032266486,1.4555580322664863,21.272728156333585,1,1
1911.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1925.T,coarse,j-only,8,0.5,0.3574340798387156,0.3574340798387156,-7.39243320717671,0,1
1928.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
1942.T,coarse,j-only,13,0.15384615384615385,0.1113431240576695,0.1113431240576695,-38.84158494457757,0,1
2036.T,coarse,j-only,5,0.6,1.5536648918281069,1.5536648918281069,4.409902170184631,1,1
215A.T,coarse,j-only,6,1.0,999.0,999.0,71.47023268100759,1,1
2160.T,coarse,j-only,4,0.75,2.626327310557609,2.626327310557609,11.709015428923085,0,1
218A.T,coarse,j-only,3,0.6666666666666666,3.8379907984635504,3.83799079846355,69.77538297547021,0,1
219A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2267.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2269.T,coarse,j-only,5,0.6,0.09411986626489038,0.09411986626489037,-7.756489639538768,0,1
2413.T,coarse,j-only,6,1.0,999.0,999.0,34.49059249657091,1,1
2432.T,coarse,j-only,5,0.8,1.9990027136531352,1.9990027136531356,5.213584506958812,1,1
247A.T,coarse,j-only,2,0.5,1.3360256914774562,1.3360256914774562,15.639960082974397,0,1
2502.T,coarse,j-only,11,0.2727272727272727,0.16170489928497184,0.16170489928497184,-16.46342206047611,0,1
2503.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2670.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-only,4,0.25,0.5540629890589821,0.5540629890589821,-17.670384819320198,0,1
2768.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2802.T,coarse,j-only,5,0.8,3.1281691351271164,3.1281691351271173,12.582608812726649,1,1
285A.T,coarse,j-only,9,0.7777777777777778,1.7051338775937306,1.7051338775937308,22.948046558838964,1,1
2897.T,coarse,j-only,4,0.5,0.7805913715155289,0.7805913715155289,-2.3519996587782677,0,1
290A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
2914.T,coarse,j-only,13,0.3076923076923077,0.11539068953259833,0.11539068953259835,-18.527538949916778,0,1
3038.T,coarse,j-only,6,0.8333333333333334,16.54130529702911,16.541305297029112,34.75325474871948,1,1
3064.T,coarse,j-only,6,0.16666666666666666,0.019258277373521822,0.01925827737352182,-61.747008466295426,0,1
3086.T,coarse,j-only,2,1.0,999.0,999.0,56.82640206435455,0,1
3099.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
314A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3349.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3350.T,coarse,j-only,6,0.8333333333333334,2.300827549472401,2.3008275494724018,40.10596622825894,1,1
3382.T,coarse,j-only,12,0.08333333333333333,0.07143251576474681,0.07143251576474681,-34.756467990540045,0,1
3402.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3436.T,coarse,j-only,14,0.07142857142857142,0.07571258160254489,0.07571258160254489,-79.77607358869099,0,1
3563.T,coarse,j-only,6,0.6666666666666666,1.1832146337220648,1.1832146337220644,3.2304846742693996,1,1
3635.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
3692.T,coarse,j-only,10,0.5,2.3344474212517485,2.334447421251748,42.09193991582798,1,1
3697.T,coarse,j-only,7,0.5714285714285714,1.4383190581675567,1.4383190581675565,11.385799921658274,1,1
3905.T,coarse,j-only,4,0.75,3.6487354892373447,3.6487354892373447,86.84750776096988,0,1
4004.T,coarse,j-only,5,1.0,999.0,999.0,78.51877981255318,1,1
4005.T,coarse,j-only,3,1.0,999.0,999.0,65.14194769370192,0,1
402A.T,coarse,j-only,1,0.0,0.0,0.0,-57.20049200492005,0,1
4062.T,coarse,j-only,7,0.5714285714285714,1.5682336180042575,1.5682336180042573,11.858618560942615,1,1
4063.T,coarse,j-only,8,0.375,0.15332222641935,0.15332222641935,-34.59244015117433,0,1
4088.T,coarse,j-only,4,0.5,3.0072846858169853,3.0072846858169853,36.702288153540366,0,1
4188.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4204.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
423A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4307.T,coarse,j-only,3,1.0,999.0,999.0,15.114274387017048,0,1
4385.T,coarse,j-only,7,0.7142857142857143,3.9115876748769733,3.9115876748769733,22.495264585292393,1,1
4446.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4452.T,coarse,j-only,5,0.8,4.245490875006745,4.245490875006746,17.562109877785225,1,1
4502.T,coarse,j-only,13,0.15384615384615385,0.12343633219606913,0.12343633219606914,-16.295181008640146,0,1
4503.T,coarse,j-only,10,0.6,1.009334089955453,1.0093340899554533,0.1166143571768444,1,1
4506.T,coarse,j-only,7,0.42857142857142855,1.494627939285641,1.494627939285641,9.659475838405594,1,1
4507.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4519.T,coarse,j-only,4,0.75,1.375581452366264,1.375581452366264,5.363820016434291,0,1
4523.T,coarse,j-only,5,1.0,999.0,999.0,23.834738578364373,1,1
4528.T,coarse,j-only,4,0.0,0.0,0.0,-24.768531261060517,0,1
4543.T,coarse,j-only,5,0.6,1.159013251729023,1.1590132517290228,2.2451475631255646,1,1
4568.T,coarse,j-only,7,1.0,999.0,999.0,30.328333781378547,1,1
4571.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4578.T,coarse,j-only,8,0.5,0.7133535694978309,0.7133535694978309,-3.302459022340073,0,1
