code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1321.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,35,0.37142857142857144,0.28041472311872123,0.28041472311872123,-7.52083759423472,0,1
1357.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,30,0.3333333333333333,0.47843829500142243,0.47843829500142226,-10.594873826974561,0,1
1360.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,28,0.6428571428571429,0.9536633706936543,0.9536633706936545,-0.7177167688331597,0,1
1458.T,coarse,j-only,1,1.2,1.0,0.6,0.0,0.0,0,18,0.5,0.6156084552636057,0.6156084552636059,-5.763461186017905,0,1
1540.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,44,0.3181818181818182,0.37227932197783636,0.37227932197783636,-10.085207351080946,0,1
1541.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1542.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,2,1.0,999.0,999.0,82.15312022190065,0,1
1570.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,28,0.4642857142857143,0.5385082077861107,0.5385082077861107,-8.190363175156024,0,1
1579.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,31,0.5161290322580645,0.36147316432696114,0.36147316432696114,-14.47293192143344,0,1
1605.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,28,0.5,0.622712182784715,0.622712182784715,-8.352722760644392,0,1
1802.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,1,0.0,0.0,0.0,-32.43991853360489,0,1
1812.T,coarse,j-only,5,1.2,1.0,0.6,0.0,0.0,0,7,0.42857142857142855,0.6882700821930163,0.6882700821930163,-6.434372246627269,0,1
186A.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,4,0.0,0.0,0.0,-150.2922479221304,0,1
1911.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,3,1.0,999.0,999.0,16.64484606229828,0,1
1925.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,5,1.0,999.0,999.0,10.423141702957281,0,1
1928.T,coarse,j-only,3,1.2,1.5,0.4,0.0,0.0,0,4,1.0,999.0,999.0,16.58333590650631,0,1
1942.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2036.T,coarse,j-only,1,1.5,1.5,0.6,0.0,0.0,0,3,1.0,999.0,999.0,13.672080278186447,0,1
215A.T,coarse,j-only,5,1.2,2.0,0.4,0.0,0.0,0,21,0.47619047619047616,0.4208373695607498,0.42083736956074974,-32.648093955717506,0,1
2160.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
218A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
219A.T,coarse,j-only,1,1.5,1.0,1.0,0.0,0.0,0,5,0.2,0.5246147435818016,0.5246147435818016,-48.38325273845413,0,1
2267.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,11,0.0,0.0,0.0,-17.376187169909308,0,1
2269.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2413.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,17,0.7647058823529411,1.293966396726134,1.2939663967261334,5.757019071883522,0,1
2432.T,coarse,j-only,3,1.5,2.0,0.8,0.0,0.0,0,11,1.0,999.0,999.0,23.679858658685454,0,1
247A.T,coarse,j-only,3,1.5,1.0,0.4,0.0,0.0,0,6,0.6666666666666666,2.9536796198567465,2.9536796198567457,104.00250966441796,0,1
2502.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,32,0.5,0.5539225117211701,0.5539225117211701,-5.052553935164892,0,1
2503.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,4,1.0,999.0,999.0,12.092136361051852,0,1
2670.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2768.T,coarse,j-only,3,1.2,2.0,0.6,0.0,0.0,0,6,1.0,999.0,999.0,10.65246172567042,0,1
2802.T,coarse,j-only,1,1.5,1.0,1.0,0.0,0.0,0,11,0.2727272727272727,0.3012798986847776,0.30127989868477756,-10.368810064083265,0,1
285A.T,coarse,j-only,3,1.2,2.0,0.4,0.0,0.0,0,28,0.6071428571428571,0.8113725628909846,0.8113725628909844,-15.058232623417606,0,1
2897.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,9,0.1111111111111111,0.1630554172745998,0.16305541727459977,-21.43322471059257,0,1
290A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2914.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,34,0.5882352941176471,0.5317247784752791,0.5317247784752792,-6.108971386973911,0,1
3038.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,4,0.25,0.28761851197990734,0.2876185119799074,-22.779553478313062,0,1
3064.T,coarse,j-only,1,1.2,2.0,0.4,0.0,0.0,0,13,0.5384615384615384,0.6706695301290375,0.6706695301290375,-10.462830295441076,0,1
3086.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,3,0.6666666666666666,1.903546200842623,1.9035462008426225,3.60604798153798,0,1
3099.T,coarse,j-only,3,1.2,1.0,1.0,0.0,0.0,0,8,0.875,5.92247834359587,5.92247834359587,22.383159516155565,0,1
314A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3349.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
3350.T,coarse,j-only,5,1.2,1.5,0.4,0.0,0.0,0,10,0.6,0.9458321332339373,0.9458321332339372,-3.3706580041304925,0,1
3382.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,34,0.35294117647058826,0.1404196380173359,0.14041963801733592,-24.38183954325162,0,1
3402.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,3,1.0,999.0,999.0,12.469292204502255,0,1
3436.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,34,0.4411764705882353,0.5911999337308237,0.5911999337308237,-23.177525085084,0,1
3563.T,coarse,j-only,1,1.2,2.0,1.0,0.0,0.0,0,17,0.4117647058823529,0.24991540756756608,0.24991540756756606,-32.11295889837276,0,1
3635.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,2,1.0,999.0,999.0,66.74352711284784,0,1
3692.T,coarse,j-only,5,1.2,1.5,0.8,0.0,0.0,0,2,0.5,0.21741449935870957,0.21741449935870957,-130.40026865676106,0,1
3697.T,coarse,j-only,1,1.5,1.0,0.8,0.0,0.0,0,13,0.46153846153846156,0.9470664587421272,0.9470664587421274,-0.950175334921625,0,1
3905.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,33,0.3333333333333333,0.5539069487722331,0.553906948772233,-42.116849844709954,0,1
4004.T,coarse,j-only,3,1.5,1.5,0.8,0.0,0.0,0,16,0.0625,0.028208834354498905,0.028208834354498905,-59.295921747294116,0,1
4005.T,coarse,j-only,1,1.5,1.5,0.4,0.0,0.0,0,13,0.38461538461538464,0.5723628915338737,0.5723628915338737,-10.36448022973389,0,1
402A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4062.T,coarse,j-only,1,1.2,1.5,0.6,0.0,0.0,0,25,0.64,0.8813587700345358,0.8813587700345358,-3.0941905783809363,0,1
4063.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,28,0.6071428571428571,0.7436238763557498,0.7436238763557498,-5.1861484078522375,0,1
4088.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4188.T,coarse,j-only,3,1.2,1.0,1.0,0.0,0.0,0,2,1.0,999.0,999.0,8.350628840222738,0,1
4204.T,coarse,j-only,5,1.2,2.0,0.4,0.0,0.0,0,5,1.0,999.0,999.0,22.824968553139115,0,1
423A.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4307.T,coarse,j-only,5,1.5,1.0,0.4,0.0,0.0,0,6,0.5,1.0880101266747602,1.0880101266747602,1.3945119408657842,0,1
4385.T,coarse,j-only,5,1.5,1.5,0.8,0.0,0.0,0,8,0.125,0.12236748312720835,0.12236748312720835,-38.7706377552425,0,1
4446.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4452.T,coarse,j-only,3,1.5,1.0,0.4,0.0,0.0,0,28,0.5357142857142857,0.8329020433825473,0.8329020433825474,-1.652418463714676,0,1
4502.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,39,0.41025641025641024,0.628018884719056,0.628018884719056,-4.314943392488225,0,1
4503.T,coarse,j-only,1,1.5,1.5,0.4,0.0,0.0,0,38,0.631578947368421,1.212082395580612,1.2120823955806117,2.780219778687826,1,1
4506.T,coarse,j-only,1,1.5,1.0,0.6,0.0,0.0,0,19,0.631578947368421,2.059680056858936,2.059680056858936,26.807429293789195,0,1
4507.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
4519.T,coarse,j-only,5,1.5,2.0,0.4,0.0,0.0,0,35,0.6571428571428571,1.581505680691899,1.5815056806918988,12.47079784736156,1,1
