code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1321.T,coarse,j-cross,6,0.8333333333333334,69.95151401898818,69.9515140189882,8.994477102717514,1,1
1357.T,coarse,j-cross,5,0.8,3.1644164460817423,3.164416446081743,22.65644265979923,1,1
1360.T,coarse,j-cross,5,0.8,2.866092911111114,2.866092911111115,23.735792515425516,1,1
1458.T,coarse,j-cross,5,0.4,0.45696152811164725,0.45696152811164725,-24.152744463629553,0,1
1540.T,coarse,j-cross,5,0.0,0.0,0.0,-23.377443119983546,0,1
1541.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
1542.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
1570.T,coarse,j-cross,7,0.5714285714285714,1.6131201414468883,1.6131201414468883,11.070326352116426,1,1
1579.T,coarse,j-cross,5,1.0,999.0,999.0,26.127888620418275,1,1
1605.T,coarse,j-cross,4,0.25,0.11633786822304813,0.11633786822304813,-36.90984633763714,0,1
1802.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
1812.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
186A.T,coarse,j-cross,2,1.0,999.0,999.0,89.79238169068718,0,1
1911.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
1925.T,coarse,j-cross,3,0.0,0.0,0.0,-21.305875892873754,0,1
1928.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
1942.T,coarse,j-cross,4,0.0,0.0,0.0,-50.20100338716437,0,1
2036.T,coarse,j-cross,4,0.75,1.0925765878330882,1.0925765878330882,1.3763445116959208,0,1
215A.T,coarse,j-cross,2,0.0,0.0,0.0,-75.06209571444752,0,1
2160.T,coarse,j-cross,1,0.0,0.0,0.0,-28.798668885191347,0,1
218A.T,coarse,j-cross,1,1.0,999.0,999.0,173.21755545068473,0,1
219A.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2267.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2269.T,coarse,j-cross,3,1.0,999.0,999.0,1.3431500489075177,0,1
2413.T,coarse,j-cross,2,0.5,0.401348998342699,0.401348998342699,-42.86934274867168,0,1
2432.T,coarse,j-cross,3,0.6666666666666666,0.9367395696833107,0.9367395696833104,-0.550238077259707,0,1
247A.T,coarse,j-cross,2,0.5,1.3300005935179606,1.3300005935179606,15.15457169427701,0,1
2502.T,coarse,j-cross,4,0.5,0.8028136840847194,0.8028136840847194,-3.236487250634519,0,1
2503.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2670.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-cross,2,0.0,0.0,0.0,-54.004127530534156,0,1
2768.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2802.T,coarse,j-cross,3,0.0,0.0,0.0,-28.598319775634863,0,1
285A.T,coarse,j-cross,4,0.0,0.0,0.0,-108.9574373617694,0,1
2897.T,coarse,j-cross,3,0.3333333333333333,0.2403018350148042,0.24030183501480418,-9.224573597307847,0,1
290A.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
2914.T,coarse,j-cross,4,0.5,0.35889414716774015,0.35889414716774015,-8.432908447977471,0,1
3038.T,coarse,j-cross,5,0.6,1.5412808531657545,1.5412808531657545,6.035816711524545,1,1
3064.T,coarse,j-cross,2,0.0,0.0,0.0,-90.37724027540324,0,1
3086.T,coarse,j-cross,1,1.0,999.0,999.0,45.15334317654465,0,1
3099.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
314A.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
3349.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
3350.T,coarse,j-cross,3,0.3333333333333333,0.4875347619085275,0.4875347619085275,-37.986701590533166,0,1
3382.T,coarse,j-cross,4,0.0,0.0,0.0,-40.03412814366395,0,1
3402.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
3436.T,coarse,j-cross,5,0.8,2.08157427345258,2.0815742734525804,30.52880616377438,1,1
3563.T,coarse,j-cross,5,0.2,0.08247926606232729,0.08247926606232729,-49.25256201914644,0,1
3635.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
3692.T,coarse,j-cross,5,0.8,12.349447453445256,12.34944745344526,100.8279307098659,1,1
3697.T,coarse,j-cross,5,0.2,0.22303721807098034,0.22303721807098037,-59.15053193544692,0,1
3905.T,coarse,j-cross,3,1.0,999.0,999.0,159.51439721928466,0,1
4004.T,coarse,j-cross,6,0.6666666666666666,1.1768684542893775,1.176868454289377,4.267360080846283,1,1
4005.T,coarse,j-cross,1,1.0,999.0,999.0,75.96422785800036,0,1
402A.T,coarse,j-cross,1,0.0,0.0,0.0,-57.20049200492005,0,1
4062.T,coarse,j-cross,5,0.6,1.2593680053028335,1.2593680053028333,8.113210462705647,1,1
4063.T,coarse,j-cross,6,0.8333333333333334,2.466886166168403,2.466886166168404,9.256695156499157,1,1
4088.T,coarse,j-cross,2,0.5,3.342679468070798,3.342679468070798,46.82790443348827,0,1
4188.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4204.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
423A.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4307.T,coarse,j-cross,2,1.0,999.0,999.0,15.51700517120255,0,1
4385.T,coarse,j-cross,5,0.2,0.13677137334954395,0.13677137334954398,-53.625275391670336,0,1
4446.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4452.T,coarse,j-cross,5,0.4,0.3390263957016724,0.3390263957016725,-8.002164354043789,0,1
4502.T,coarse,j-cross,5,0.2,0.18831906001281978,0.18831906001281978,-14.747223258949552,0,1
4503.T,coarse,j-cross,6,0.3333333333333333,0.1360809900239554,0.13608099002395538,-22.449190071270863,0,1
4506.T,coarse,j-cross,5,0.4,0.7644740289576937,0.7644740289576938,-7.0213244342808565,0,1
4507.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4519.T,coarse,j-cross,3,0.6666666666666666,0.9056902045839959,0.9056902045839957,-1.4097468649888978,0,1
4523.T,coarse,j-cross,2,1.0,999.0,999.0,19.015370898024848,0,1
4528.T,coarse,j-cross,1,0.0,0.0,0.0,-16.761682242990652,0,1
4543.T,coarse,j-cross,3,1.0,999.0,999.0,18.146781372147586,0,1
4568.T,coarse,j-cross,5,1.0,999.0,999.0,28.07854705009708,1,1
4571.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4578.T,coarse,j-cross,4,0.5,0.5309752624946446,0.5309752624946446,-3.9741925360324633,0,1
4588.T,coarse,j-cross,2,1.0,999.0,999.0,124.65296011890004,0,1
4592.T,coarse,j-cross,6,0.8333333333333334,3.4644437656655884,3.4644437656655898,37.80194414785648,1,1
4612.T,coarse,j-cross,0,0.0,0.0,0.0,0.0,0,1
4661.T,coarse,j-cross,5,0.8,2.0647761228687607,2.0647761228687616,10.99624607836029,1,1
4680.T,coarse,j-cross,1,1.0,999.0,999.0,1.3896713615027032,0,1
