code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1321.T,coarse,j-cross,1,1.2,2.0,0.4,0.0,0.0,0,16,0.5625,0.5844116201338444,0.5844116201338444,-3.8163641384818163,0,1
1357.T,coarse,j-cross,5,1.2,1.0,0.4,0.0,0.0,0,13,0.3076923076923077,0.24040604398474782,0.24040604398474782,-16.531324743581578,0,1
1360.T,coarse,j-cross,3,1.5,1.0,0.4,0.0,0.0,0,11,0.2727272727272727,0.41301777950050894,0.4130177795005089,-14.825980449860277,0,1
1458.T,coarse,j-cross,1,1.5,2.0,0.4,0.0,0.0,0,13,0.6923076923076923,1.0793558903493878,1.0793558903493878,1.4207833518943869,0,1
1540.T,coarse,j-cross,1,1.5,1.0,0.4,0.0,0.0,0,15,0.4,0.5480021348026635,0.5480021348026636,-8.026264595317366,0,1
1541.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
1542.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,2,1.0,999.0,999.0,82.15312022190065,0,1
1570.T,coarse,j-cross,1,1.5,1.0,0.4,0.0,0.0,0,11,0.5454545454545454,1.0795748160632603,1.0795748160632601,1.2537628443371622,0,1
1579.T,coarse,j-cross,1,1.2,1.5,0.4,0.0,0.0,0,12,0.4166666666666667,0.26898956072187363,0.2689895607218737,-22.354770172978245,0,1
1605.T,coarse,j-cross,1,1.5,2.0,0.4,0.0,0.0,0,15,0.4666666666666667,0.3909635063863885,0.39096350638638855,-15.660180230367226,0,1
1802.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,1,0.0,0.0,0.0,-32.43991853360489,0,1
1812.T,coarse,j-cross,5,1.5,1.0,0.6,0.0,0.0,0,4,0.25,0.4601288851748348,0.4601288851748348,-14.06525721492785,0,1
186A.T,coarse,j-cross,1,1.2,1.5,0.4,0.0,0.0,0,3,1.0,999.0,999.0,173.35642520850013,0,1
1911.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,1,1.0,999.0,999.0,22.235162374020668,0,1
1925.T,coarse,j-cross,3,1.2,1.0,0.6,0.0,0.0,0,2,1.0,999.0,999.0,16.89133565932514,0,1
1928.T,coarse,j-cross,1,1.5,2.0,0.6,0.0,0.0,0,3,1.0,999.0,999.0,9.75608307412935,0,1
1942.T,coarse,j-cross,1,1.2,1.0,0.6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2036.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,2,1.0,999.0,999.0,10.179586074252917,0,1
215A.T,coarse,j-cross,3,1.5,1.0,0.8,0.0,0.0,0,5,0.6,2.4190858729564972,2.4190858729564972,31.4163518175464,0,1
2160.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
218A.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
219A.T,coarse,j-cross,1,1.5,1.0,0.6,0.0,0.0,0,6,0.3333333333333333,0.8237446568565071,0.8237446568565069,-12.82043812529765,0,1
2267.T,coarse,j-cross,1,1.2,1.0,1.0,0.0,0.0,0,4,0.0,0.0,0.0,-17.78506987744466,0,1
2269.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2413.T,coarse,j-cross,3,1.5,2.0,0.6,0.0,0.0,0,5,0.8,2.5915800479735567,2.591580047973557,29.888432039780405,0,1
2432.T,coarse,j-cross,3,1.2,2.0,0.8,0.0,0.0,0,3,1.0,999.0,999.0,21.429659296562324,0,1
247A.T,coarse,j-cross,5,1.5,1.0,0.4,0.0,0.0,0,2,0.5,1.013882763498746,1.013882763498746,0.838423453290595,0,1
2502.T,coarse,j-cross,5,1.5,1.0,0.4,0.0,0.0,0,10,0.6,1.4729733112412793,1.4729733112412793,6.3221961255665775,0,1
2503.T,coarse,j-cross,1,1.2,1.0,0.6,0.0,0.0,0,1,1.0,999.0,999.0,16.085637823372394,0,1
2670.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2726.T,coarse,j-cross,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
2768.T,coarse,j-cross,3,1.2,2.0,0.4,0.0,0.0,0,4,1.0,999.0,999.0,12.324937927037778,0,1
2802.T,coarse,j-cross,5,1.5,1.5,0.4,0.0,0.0,0,13,0.8461538461538461,3.6257435948359027,3.6257435948359027,18.077829339571757,0,1
285A.T,coarse,j-cross,5,1.2,1.5,0.4,0.0,0.0,0,11,0.6363636363636364,1.1500704868125138,1.1500704868125138,7.953901203134959,0,1
2897.T,coarse,j-cross,1,1.5,1.0,0.4,0.0,0.0,0,5,0.2,0.5942298286860623,0.5942298286860622,-5.253171349246936,0,1
