mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,j-only,1321.T,3,1.5,1.0,0.8,0.0,0.0,0,23,22,0,45,0.5111111111111111,0.7525776813910767,0.7525776813910767,-2.2281866546325886,0,1,3,2,0,5,0.6,1.2697561370294552,1.269756137029455,2.169885897616721,1,1
coarse,j-only,1357.T,1,1.5,1.0,0.6,0.0,0.0,0,18,32,0,50,0.36,0.5107481848678419,0.5107481848678418,-9.864047649498723,0,1,6,1,0,7,0.8571428571428571,6.607660986720913,6.60766098672091,28.515936396422067,1,1
coarse,j-only,1360.T,1,1.2,2.0,0.8,0.0,0.0,0,28,14,0,42,0.6666666666666666,0.8770931631650101,0.87709316316501,-2.075138031522998,0,1,7,1,0,8,0.875,2.344714953462564,2.344714953462564,9.296781104882909,1,1
coarse,j-only,1458.T,1,1.2,1.0,0.6,0.0,0.0,0,22,25,0,47,0.46808510638297873,0.5830161216702904,0.5830161216702904,-6.147575024514724,0,1,11,3,0,14,0.7857142857142857,2.131324201444621,2.1313242014446208,7.811326220435279,1,1
coarse,j-only,1540.T,5,1.5,2.0,0.6,0.0,0.0,0,18,45,0,63,0.2857142857142857,0.31632089878888825,0.31632089878888825,-21.93035165472403,0,1,9,0,0,9,1.0,999.0,999.0,19.14255436792506,1,1
coarse,j-only,1541.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,1542.T,3,1.5,1.0,0.4,0.0,0.0,0,2,3,0,5,0.4,0.7537286643286671,0.7537286643286673,-11.562590989185551,0,1,7,0,0,7,1.0,999.0,999.0,101.92759508794346,1,1
coarse,j-only,1570.T,5,1.5,1.0,0.8,0.0,0.0,0,17,20,0,37,0.4594594594594595,0.6658337654848745,0.6658337654848744,-5.956596123468601,0,1,3,2,0,5,0.6,1.8435319956311975,1.8435319956311975,14.002766897104973,1,1
coarse,j-only,1579.T,1,1.2,1.0,0.8,0.0,0.0,0,23,19,0,42,0.5476190476190477,0.8788715916536769,0.8788715916536772,-1.587820184002606,0,1,5,0,0,5,1.0,999.0,999.0,21.13181277984028,1,1
coarse,j-only,1605.T,1,1.5,2.0,0.4,0.0,0.0,0,37,36,0,73,0.5068493150684932,0.5586239231837798,0.55862392318378,-8.985573076049228,0,1,6,18,0,24,0.25,0.15555080592198867,0.15555080592198864,-34.73102600076589,0,1
coarse,j-only,1802.T,1,1.2,1.0,0.6,0.0,0.0,0,2,0,0,2,1.0,999.0,999.0,10.328467812321305,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,1812.T,5,1.2,1.5,1.0,0.0,0.0,0,6,6,0,12,0.5,0.44529427165360796,0.4452942716536079,-11.75704234363358,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,186A.T,1,1.2,1.5,0.4,0.0,0.0,0,10,3,0,13,0.7692307692307693,2.562116777623675,2.5621167776236753,54.826896921006636,0,1,6,13,0,19,0.3157894736842105,0.2542357831262422,0.2542357831262422,-81.43540158955031,0,1
coarse,j-only,1911.T,1,1.2,1.0,0.8,0.0,0.0,0,4,0,0,4,1.0,999.0,999.0,18.061518352505484,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,1925.T,1,1.2,1.0,0.4,0.0,0.0,0,5,0,0,5,1.0,999.0,999.0,10.423141702957281,0,1,5,12,0,17,0.29411764705882354,0.17854653664862893,0.17854653664862896,-11.142784523243288,0,1
coarse,j-only,1928.T,5,1.2,2.0,1.0,0.0,0.0,0,4,0,0,4,1.0,999.0,999.0,9.8905208330981,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,1942.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,11,16,0,27,0.4074074074074074,0.46591237701670046,0.46591237701670046,-15.316690614864935,0,1
coarse,j-only,2036.T,5,1.5,1.0,0.4,0.0,0.0,0,3,3,0,6,0.5,2.762364582259779,2.7623645822597793,51.655171967864625,0,1,9,6,0,15,0.6,1.482283233281306,1.482283233281306,5.8196695869992485,1,1
coarse,j-only,215A.T,5,1.2,2.0,0.4,0.0,0.0,0,24,27,0,51,0.47058823529411764,0.40716109304855935,0.4071610930485593,-32.34129702544499,0,1,9,0,0,9,1.0,999.0,999.0,67.05911733850571,1,1
coarse,j-only,2160.T,1,1.5,1.5,0.6,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,1,0,5,0.8,2.1411316337961575,2.141131633796158,13.189777091711935,1,1
coarse,j-only,218A.T,1,1.2,2.0,0.4,0.0,0.0,0,2,0,0,2,1.0,999.0,999.0,84.45324844058908,0,1,8,0,0,8,1.0,999.0,999.0,82.9166849434282,1,1
coarse,j-only,219A.T,1,1.5,1.0,1.0,0.0,0.0,0,2,20,0,22,0.09090909090909091,0.13664103218486645,0.13664103218486648,-86.79133878663481,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,2267.T,5,1.2,1.5,1.0,0.0,0.0,0,1,9,0,10,0.1,0.014193946548519068,0.014193946548519068,-22.10180592083941,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,2269.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5,9,0,14,0.35714285714285715,0.1468487584994328,0.1468487584994328,-7.475935812560539,0,1
coarse,j-only,2413.T,1,1.2,1.0,0.6,0.0,0.0,0,23,16,0,39,0.5897435897435898,1.0845867939857816,1.0845867939857816,1.503982307610831,1,1,5,1,0,6,0.8333333333333334,2.5590848614850565,2.5590848614850574,13.072104378594071,1,1
coarse,j-only,2432.T,3,1.5,2.0,0.8,0.0,0.0,0,18,3,0,21,0.8571428571428571,1.99576086413313,1.9957608641331293,8.943037574910552,0,1,9,1,0,10,0.9,4.320615554107909,4.32061555410791,8.664796186166551,1,1
coarse,j-only,247A.T,5,1.5,1.0,0.4,0.0,0.0,0,9,8,0,17,0.5294117647058824,1.8269452351099975,1.8269452351099975,36.40269229795524,0,1,3,1,0,4,0.75,3.6772674527389424,3.6772674527389424,61.47389179631653,0,1
coarse,j-only,2502.T,1,1.2,1.5,0.4,0.0,0.0,0,34,36,0,70,0.4857142857142857,0.4294832058825114,0.42948320588251143,-8.482923051971047,0,1,12,16,0,28,0.42857142857142855,0.21982118233152045,0.21982118233152048,-14.395773258301963,0,1
coarse,j-only,2503.T,1,1.2,2.0,0.4,0.0,0.0,0,8,0,0,8,1.0,999.0,999.0,9.414084905461182,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,2670.T,1,1.2,1.0,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0.0,0.0,0.0,-69.36110078095948,0,1
coarse,j-only,2726.T,1,1.2,1.0,0.4,0.0,0.0,0,2,0,0,2,1.0,999.0,999.0,101.40919582944157,0,1,2,10,0,12,0.16666666666666666,0.3176699756973093,0.31766997569730926,-24.414115363830202,0,1
coarse,j-only,2768.T,5,1.2,1.5,0.6,0.0,0.0,0,13,0,0,13,1.0,999.0,999.0,10.039618065482085,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
coarse,j-only,2802.T,3,1.5,2.0,0.8,0.0,0.0,0,21,14,0,35,0.6,0.5641684305015798,0.5641684305015797,-9.05787614472095,0,1,14,5,0,19,0.7368421052631579,1.1412565717006429,1.1412565717006427,1.3626881454304287,1,1
coarse,j-only,285A.T,1,1.5,2.0,0.8,0.0,0.0,0,25,14,0,39,0.6410256410256411,1.231946211639208,1.2319462116392081,12.390739004330058,1,1,5,1,0,6,0.8333333333333334,4.424960893964782,4.424960893964783,41.334847418091336,1,1
coarse,j-only,2897.T,1,1.2,2.0,1.0,0.0,0.0,0,4,13,0,17,0.23529411764705882,0.07663149201018313,0.07663149201018314,-17.369246539658196,0,1,4,2,0,6,0.6666666666666666,4.0404808834564,4.040480883456399,1.2920006058166913,1,1
