mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,j-only,1321.T,1,1.2,1.0,0.4,0.0,0.0,0,27,50,0,77,0.35064935064935066,0.3512717298455737,0.35127172984557364,-6.095539886985648,0,1,16,13,0,29,0.5517241379310345,0.5635276547265164,0.5635276547265164,-3.9058077482401616,0,1
coarse,j-only,1321.T,1,1.2,1.0,0.6,0.0,0.0,0,22,42,0,64,0.34375,0.3249844924342929,0.32498449243429284,-6.2150472722295635,0,1,9,8,0,17,0.5294117647058824,0.6403917756012943,0.6403917756012943,-2.9408963700842996,0,1
coarse,j-only,1321.T,1,1.2,1.0,0.8,0.0,0.0,0,18,34,0,52,0.34615384615384615,0.33296682394732124,0.33296682394732124,-5.989487259595222,0,1,5,5,0,10,0.5,0.6100726503314134,0.6100726503314134,-3.068238238577281,0,1
coarse,j-only,1321.T,1,1.2,1.0,1.0,0.0,0.0,0,11,27,0,38,0.2894736842105263,0.2295072252406903,0.2295072252406903,-7.611129196870599,0,1,4,2,0,6,0.6666666666666666,1.0522876675463635,1.0522876675463633,0.28194582031541443,1,1
coarse,j-only,1321.T,1,1.2,1.5,0.4,0.0,0.0,0,30,47,0,77,0.38961038961038963,0.3332881602677714,0.3332881602677714,-7.042672750991132,0,1,18,11,0,29,0.6206896551724138,0.6825243025401369,0.682524302540137,-2.7143489914564536,0,1
coarse,j-only,1321.T,1,1.2,1.5,0.6,0.0,0.0,0,25,39,0,64,0.390625,0.3255992746354184,0.3255992746354184,-6.745956973344083,0,1,9,8,0,17,0.5294117647058824,0.5953356673604935,0.5953356673604935,-3.559826862911837,0,1
coarse,j-only,1321.T,1,1.2,1.5,0.8,0.0,0.0,0,21,31,0,52,0.40384615384615385,0.34511110250734495,0.345111102507345,-6.291761251350648,0,1,5,5,0,10,0.5,0.550021734644751,0.550021734644751,-3.927341094948954,0,1
coarse,j-only,1321.T,1,1.2,1.5,1.0,0.0,0.0,0,13,25,0,38,0.34210526315789475,0.24163715458276028,0.24163715458276025,-8.118835144389864,0,1,4,2,0,6,0.6666666666666666,0.8399959334545375,0.8399959334545374,-1.0808233265910987,0,1
coarse,j-only,1321.T,1,1.2,2.0,0.4,0.0,0.0,0,34,43,0,77,0.44155844155844154,0.35117735068602357,0.35117735068602346,-7.025855584119148,0,1,19,10,0,29,0.6551724137931034,0.9636282557162624,0.9636282557162622,-0.27315326388969724,0,1
coarse,j-only,1321.T,1,1.2,2.0,0.6,0.0,0.0,0,28,36,0,64,0.4375,0.3523707161215391,0.3523707161215391,-6.544830290137422,0,1,9,8,0,17,0.5294117647058824,0.4890138540950699,0.48901385409507,-5.472475346126461,0,1
coarse,j-only,1321.T,1,1.2,2.0,0.8,0.0,0.0,0,23,29,0,52,0.4423076923076923,0.3719957553252809,0.37199575532528084,-6.075090742952887,0,1,5,5,0,10,0.5,0.4588035908358132,0.4588035908358132,-5.6625889134870935,0,1
coarse,j-only,1321.T,1,1.2,2.0,1.0,0.0,0.0,0,14,24,0,38,0.3684210526315789,0.25769997563658037,0.25769997563658037,-8.200163441818617,0,1,4,2,0,6,0.6666666666666666,0.6989813058936764,0.6989813058936762,-2.443592473497613,0,1
coarse,j-only,1321.T,1,1.5,1.0,0.4,0.0,0.0,0,33,44,0,77,0.42857142857142855,0.4070523396144744,0.40705233961447446,-6.048323400939876,0,1,12,17,0,29,0.41379310344827586,0.5028103484515044,0.5028103484515043,-5.840278473633142,0,1
coarse,j-only,1321.T,1,1.5,1.0,0.6,0.0,0.0,0,28,36,0,64,0.4375,0.3759467355363598,0.37594673553635977,-6.170456098857855,0,1,7,10,0,17,0.4117647058823529,0.6532388925469044,0.6532388925469043,-3.579198535496981,0,1
coarse,j-only,1321.T,1,1.5,1.0,0.8,0.0,0.0,0,23,29,0,52,0.4423076923076923,0.35776557001175807,0.35776557001175807,-6.323475604919467,0,1,3,7,0,10,0.3,0.4806771804488548,0.4806771804488548,-5.979018689679281,0,1
coarse,j-only,1321.T,1,1.5,1.0,1.0,0.0,0.0,0,15,23,0,38,0.39473684210526316,0.3652218287742207,0.3652218287742207,-6.200444543175871,0,1,2,4,0,6,0.3333333333333333,0.5216908478186695,0.5216908478186695,-5.484361031561917,0,1
coarse,j-only,1321.T,1,1.5,1.5,0.4,0.0,0.0,0,38,39,0,77,0.4935064935064935,0.38844516924520117,0.38844516924520117,-7.157674151096696,0,1,15,14,0,29,0.5172413793103449,0.5820311500423305,0.5820311500423306,-5.077326268633325,0,1
coarse,j-only,1321.T,1,1.5,1.5,0.6,0.0,0.0,0,33,31,0,64,0.515625,0.38090297188064204,0.38090297188064204,-6.8127989316544175,0,1,8,9,0,17,0.47058823529411764,0.5953859696921765,0.5953859696921764,-4.622996083225769,0,1
coarse,j-only,1321.T,1,1.5,1.5,0.8,0.0,0.0,0,27,25,0,52,0.5192307692307693,0.3747161939192855,0.37471619391928557,-6.7999436407261316,0,1,3,7,0,10,0.3,0.4168830431029845,0.41688304310298446,-7.740828578677386,0,1
coarse,j-only,1321.T,1,1.5,1.5,1.0,0.0,0.0,0,18,20,0,38,0.47368421052631576,0.3885562910843082,0.38855629108430817,-6.472680717550083,0,1,2,4,0,6,0.3333333333333333,0.4116127435194767,0.4116127435194766,-8.55076575455032,0,1
coarse,j-only,1321.T,1,1.5,2.0,0.4,0.0,0.0,0,41,36,0,77,0.5324675324675324,0.35949108186051654,0.3594910818605165,-8.433189812646162,0,1,16,13,0,29,0.5517241379310345,0.7424140357162965,0.7424140357162965,-3.0848221587280698,0,1
coarse,j-only,1321.T,1,1.5,2.0,0.6,0.0,0.0,0,35,29,0,64,0.546875,0.34828043944807346,0.34828043944807346,-8.122873294727741,0,1,8,9,0,17,0.47058823529411764,0.48801152048469476,0.48801152048469476,-7.136927710939883,0,1
coarse,j-only,1321.T,1,1.5,2.0,0.8,0.0,0.0,0,28,24,0,52,0.5384615384615384,0.3256109784795047,0.32561097847950465,-8.504496403682626,0,1,3,7,0,10,0.3,0.3451826490223306,0.3451826490223306,-10.49825774286466,0,1
coarse,j-only,1321.T,1,1.5,2.0,1.0,0.0,0.0,0,19,19,0,38,0.5,0.34981608098033656,0.34981608098033656,-7.724223086670743,0,1,2,4,0,6,0.3333333333333333,0.339894197743962,0.33989419774396196,-11.617170477538721,0,1
coarse,j-only,1321.T,3,1.2,1.0,0.4,0.0,0.0,0,33,40,0,73,0.4520547945205479,0.33662444468621183,0.33662444468621183,-6.868173644195839,0,1,11,11,0,22,0.5,0.3613502380364987,0.3613502380364987,-7.378376595597103,0,1
coarse,j-only,1321.T,3,1.2,1.0,0.6,0.0,0.0,0,30,30,0,60,0.5,0.41204950191548767,0.41204950191548767,-5.537127646287647,0,1,4,7,0,11,0.36363636363636365,0.247808739476843,0.247808739476843,-11.005462824616076,0,1
coarse,j-only,1321.T,3,1.2,1.0,0.8,0.0,0.0,0,25,20,0,45,0.5555555555555556,0.6013515256523427,0.6013515256523428,-3.2373969804004914,0,1,3,2,0,5,0.6,0.8964595137054219,0.8964595137054217,-0.8328672093137591,0,1
coarse,j-only,1321.T,3,1.2,1.0,1.0,0.0,0.0,0,17,17,0,34,0.5,0.39970129031738766,0.3997012903173877,-5.462198314033307,0,1,2,1,0,3,0.6666666666666666,1.2881662670283618,1.2881662670283618,1.707133113012367,0,1
coarse,j-only,1321.T,3,1.2,1.5,0.4,0.0,0.0,0,37,36,0,73,0.5068493150684932,0.3053889360596959,0.30538893605969597,-8.399497853149999,0,1,13,9,0,22,0.5909090909090909,0.4109927730760683,0.4109927730760684,-7.358658108289598,0,1
coarse,j-only,1321.T,3,1.2,1.5,0.6,0.0,0.0,0,34,26,0,60,0.5666666666666667,0.38953492070030643,0.3895349207003065,-6.477442667049194,0,1,4,7,0,11,0.36363636363636365,0.18688080931097972,0.18688080931097972,-15.77560964427255,0,1
coarse,j-only,1321.T,3,1.2,1.5,0.8,0.0,0.0,0,29,16,0,45,0.6444444444444445,0.6227787341282375,0.6227787341282375,-3.162053949989284,0,1,3,2,0,5,0.6,0.6890060026685922,0.6890060026685921,-3.2548070278314527,0,1
coarse,j-only,1321.T,3,1.2,1.5,1.0,0.0,0.0,0,20,14,0,34,0.5882352941176471,0.40994266229809395,0.409942662298094,-5.698618543507043,0,1,2,1,0,3,0.6666666666666666,1.0103806744512922,1.0103806744512922,0.07840372710971029,0,1
coarse,j-only,1321.T,3,1.2,2.0,0.4,0.0,0.0,0,41,32,0,73,0.5616438356164384,0.29297880636849705,0.29297880636849705,-9.403183200686916,0,1,13,9,0,22,0.5909090909090909,0.3298460393362752,0.32984603933627527,-10.432190341651902,0,1
coarse,j-only,1321.T,3,1.2,2.0,0.6,0.0,0.0,0,36,24,0,60,0.6,0.3535511665869563,0.35355116658695623,-7.797483927409349,0,1,4,7,0,11,0.36363636363636365,0.15000063918989576,0.15000063918989576,-20.545756463929294,0,1
coarse,j-only,1321.T,3,1.2,2.0,0.8,0.0,0.0,0,30,15,0,45,0.6666666666666666,0.5552121777794043,0.5552121777794042,-4.263440740591282,0,1,3,2,0,5,0.6,0.5595241402615075,0.5595241402615075,-5.6767468463494435,0,1
