mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,j-cross,1321.T,1,1.2,1.0,0.4,0.0,0.0,0,13,15,0,28,0.4642857142857143,0.5842923959955675,0.5842923959955675,-3.7730647546704,0,1,7,3,0,10,0.7,0.9572522162226302,0.95725221622263,-0.2675751043079385,0,1
coarse,j-cross,1321.T,1,1.2,1.0,0.6,0.0,0.0,0,10,15,0,25,0.4,0.38922853382737677,0.3892285338273768,-5.994628191366944,0,1,3,4,0,7,0.42857142857142855,0.47859381789437716,0.4785938178943771,-5.387019983550824,0,1
coarse,j-cross,1321.T,1,1.2,1.0,0.8,0.0,0.0,0,10,11,0,21,0.47619047619047616,0.5205992092728137,0.5205992092728136,-3.74835346431786,0,1,2,3,0,5,0.4,0.4115889897109747,0.4115889897109747,-5.211658668085638,0,1
coarse,j-cross,1321.T,1,1.2,1.0,1.0,0.0,0.0,0,6,9,0,15,0.4,0.3030341866146072,0.30303418661460724,-6.065589150106531,0,1,4,1,0,5,0.8,2.104575335092727,2.1045753350927274,3.5736579606663144,1,1
coarse,j-cross,1321.T,1,1.2,1.5,0.4,0.0,0.0,0,14,14,0,28,0.5,0.535456278848755,0.5354562788487551,-4.749290613981294,0,1,8,2,0,10,0.8,2.441378359002343,2.4413783590023437,4.359635143803154,1,1
coarse,j-cross,1321.T,1,1.2,1.5,0.6,0.0,0.0,0,11,14,0,25,0.44,0.3641431843950379,0.36414318439503784,-7.005358245280211,0,1,3,4,0,7,0.42857142857142855,0.5285105146133093,0.5285105146133093,-4.411211439648929,0,1
coarse,j-cross,1321.T,1,1.2,1.5,0.8,0.0,0.0,0,11,10,0,21,0.5238095238095238,0.4793800161710704,0.4793800161710704,-4.668391752247548,0,1,2,3,0,5,0.4,0.41733509928816737,0.4173350992881674,-5.089708005159513,0,1
coarse,j-cross,1321.T,1,1.2,1.5,1.0,0.0,0.0,0,6,9,0,15,0.4,0.2653925006032037,0.26539250060320374,-7.299949421403355,0,1,4,1,0,5,0.8,1.679991866909075,1.6799918669090754,2.7559964725224066,1,1
coarse,j-cross,1321.T,1,1.2,2.0,0.4,0.0,0.0,0,16,12,0,28,0.5714285714285714,0.5400367508740951,0.5400367508740951,-4.87587788730846,0,1,8,2,0,10,0.8,1.9743584010480173,1.974358401048018,3.6441813416772333,1,1
coarse,j-cross,1321.T,1,1.2,2.0,0.6,0.0,0.0,0,12,13,0,25,0.48,0.36409071469236787,0.3640907146923679,-7.338582417201767,0,1,3,4,0,7,0.42857142857142855,0.42915306263730646,0.42915306263730646,-6.57728944382996,0,1
coarse,j-cross,1321.T,1,1.2,2.0,0.8,0.0,0.0,0,12,9,0,21,0.5714285714285714,0.5249910373604395,0.5249910373604394,-4.097746529330387,0,1,2,3,0,5,0.4,0.35169488007072425,0.3516948800707243,-6.720047266566323,0,1
coarse,j-cross,1321.T,1,1.2,2.0,1.0,0.0,0.0,0,6,9,0,15,0.4,0.24561791368083732,0.24561791368083738,-8.099989742581464,0,1,4,1,0,5,0.8,1.3979626117873527,1.3979626117873534,1.938334984378498,1,1
