code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1321.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
1357.T,coarse,full,4,0.5,1.0,0.9989339019189767,-0.0007999999999999119,0,2
1360.T,coarse,full,6,0.16666666666666666,0.1875,0.14986005597760896,-1.4174666666666667,0,2
1458.T,coarse,full,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
1540.T,coarse,full,6,0.8333333333333334,7.5,7.4900079936051185,1.0825333333333336,1,2
1541.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1542.T,coarse,full,3,0.0,0.0,0.0,-1.5008,0,2
1570.T,coarse,full,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
1579.T,coarse,full,6,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
1605.T,coarse,full,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
1802.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
1803.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
1812.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
186A.T,coarse,full,5,0.6,2.25,2.2470023980815346,0.4992,0,2
1911.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1925.T,coarse,full,5,0.2,1.5,0.37450039968025584,-0.5007999999999999,0,2
1928.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
1942.T,coarse,full,10,0.0,0.0,0.0,-1.0008,0,2
2036.T,coarse,full,4,0.5,3.0,1.4980015987210233,0.2492000000000001,0,2
215A.T,coarse,full,11,1.0,999.0,999.0,1.1992,1,2
2160.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
218A.T,coarse,full,2,0.0,0.0,0.0,-2.0008,0,2
219A.T,coarse,full,6,0.0,0.0,0.0,-1.0008,0,2
2267.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
2269.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
2334.T,coarse,full,3,0.0,0.0,0.0,-1.0008,0,2
2413.T,coarse,full,5,0.6,1.125,1.1239504198320671,0.09919999999999995,0,2
2432.T,coarse,full,6,0.16666666666666666,0.3,0.2396482813749001,-0.6341333333333333,0,2
247A.T,coarse,full,5,0.6,4.5,2.2470023980815346,0.4992,0,2
2502.T,coarse,full,10,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
2503.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
2670.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
2726.T,coarse,full,3,0.6666666666666666,2.4,2.396482813749001,0.46586666666666665,0,2
2768.T,coarse,full,3,0.6666666666666666,999.0,2.9960031974420467,0.6658666666666667,0,2
2801.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
2802.T,coarse,full,5,0.6,999.0,2.2470023980815346,0.4992,0,2
285A.T,coarse,full,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
2897.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
290A.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
2914.T,coarse,full,10,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
3038.T,coarse,full,3,0.3333333333333333,999.0,0.7490007993605117,-0.16746666666666665,0,2
3064.T,coarse,full,6,0.0,0.0,0.0,-1.0008,0,2
3086.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
3088.T,coarse,full,4,0.25,1.2,0.3994138022915002,-0.4507999999999999,0,2
3092.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
3099.T,coarse,full,4,0.75,999.0,4.49400479616307,0.8742000000000001,0,2
314A.T,coarse,full,6,0.0,0.0,0.0,-1.0008,0,2
3231.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
3289.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
3349.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
3350.T,coarse,full,7,0.0,0.0,0.0,-1.5008,0,2
3382.T,coarse,full,11,0.0,0.0,0.0,-1.0008,0,2
3402.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
3405.T,coarse,full,3,0.3333333333333333,1.2,0.5991207034372502,-0.2674666666666667,0,2
3407.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
3436.T,coarse,full,10,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
3563.T,coarse,full,8,0.125,0.25,0.21400022838871763,-0.6882999999999999,0,2
3635.T,coarse,full,3,0.6666666666666666,2.4,2.396482813749001,0.46586666666666665,0,2
3647.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
