code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1321.T,coarse,full,1,1.5,1.0,0.6,0.01,0.01,60,15,0.3333333333333333,0.8333333333333334,0.7490007993605117,-0.16746666666666665,0,2
1357.T,coarse,full,5,1.5,1.5,0.4,0.03,0.01,60,16,0.625,2.0,1.6648898365316278,0.3742000000000001,0,2
1360.T,coarse,full,1,1.5,2.0,0.4,0.05,0.03,60,15,0.3333333333333333,0.4166666666666667,0.3746501399440224,-0.8341333333333334,0,2
1458.T,coarse,full,1,1.5,1.0,0.4,0.05,0.01,60,10,0.3,0.75,0.6420006851661529,-0.25079999999999986,0,2
1540.T,coarse,full,3,1.5,1.0,0.4,0.05,0.01,60,21,0.38095238095238093,1.0,0.9218471376744759,-0.048419047619047584,0,2
1541.T,coarse,full,3,1.5,1.0,0.4,0.01,0.01,60,4,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
1542.T,coarse,full,1,1.5,1.5,0.4,0.01,0.03,60,3,0.6666666666666666,999.0,1.997867803837953,0.4992,0,2
1570.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,24,0.125,0.225,0.21400022838871763,-0.6882999999999999,0,2
1579.T,coarse,full,3,1.5,1.0,0.4,0.01,0.03,60,11,0.36363636363636365,1.0,0.8560009135548705,-0.09170909090909085,0,2
1605.T,coarse,full,1,1.5,1.0,0.4,0.03,0.01,60,19,0.10526315789473684,0.17647058823529413,0.17623548220247334,-0.7376421052631578,0,2
1802.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,3,1.0,999.0,999.0,1.1992,0,2
1803.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,1,0.0,0.0,0.0,-1.0008,0,2
1812.T,coarse,full,1,1.5,1.0,0.4,0.01,0.03,60,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
186A.T,coarse,full,3,1.5,1.0,0.4,0.05,0.01,60,9,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
1911.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,9,0.0,0.0,0.0,-1.0008,0,2
