code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1321.T,coarse,full,27,0.18518518518518517,0.2777777777777778,0.22703043225431285,-0.9452444444444443,0,2
1357.T,coarse,full,29,0.2413793103448276,0.4375,0.31784260515603807,-0.776662068965517,0,2
1360.T,coarse,full,26,0.23076923076923078,0.35294117647058826,0.2996801705756931,-0.8084923076923074,0,2
1458.T,coarse,full,8,0.625,3.75,2.496669331201706,0.5617000000000001,1,2
1540.T,coarse,full,17,0.058823529411764705,0.08,0.07489008792965628,-0.8713882352941176,0,2
1541.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1542.T,coarse,full,7,0.2857142857142857,0.375,0.2997201119552179,-1.0008,0,2
1570.T,coarse,full,8,0.5,1.5999999999999999,1.1982414068745006,0.09920000000000007,1,2
1579.T,coarse,full,11,0.45454545454545453,1.25,1.248334665600853,0.13556363636363644,1,2
1605.T,coarse,full,8,0.75,9.0,4.49400479616307,0.8742000000000001,1,2
168A.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
1802.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
1803.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1812.T,coarse,full,13,0.15384615384615385,0.21818181818181817,0.21786207397718194,-0.6623384615384614,0,2
186A.T,coarse,full,8,0.625,2.0,1.997069011457501,0.3742000000000001,1,2
1911.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1925.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
1928.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
1942.T,coarse,full,12,0.4166666666666667,1.25,1.0700011419435882,0.04086666666666683,0,2
2036.T,coarse,full,10,0.5,1.2,1.1982414068745006,0.09920000000000007,1,2
215A.T,coarse,full,8,0.625,2.5,2.496669331201706,0.5617000000000001,1,2
2160.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
218A.T,coarse,full,8,0.0,0.0,0.0,-1.0008,0,2
219A.T,coarse,full,13,0.0,0.0,0.0,-1.0008,0,2
2267.T,coarse,full,6,0.0,0.0,0.0,-2.0008,0,2
2269.T,coarse,full,12,0.16666666666666666,0.3,0.14986005597760896,-1.4174666666666667,0,2
2334.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
2413.T,coarse,full,6,0.6666666666666666,4.0,1.997867803837953,0.4992,0,2
2432.T,coarse,full,8,0.75,3.0,2.99680170575693,0.7492000000000001,1,2
247A.T,coarse,full,5,0.6,1.7999999999999998,1.7973621103117507,0.31920000000000004,0,2
2502.T,coarse,full,25,0.2,0.4166666666666667,0.37450039968025584,-0.5007999999999999,0,2
