code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1321.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,71,0.323943661971831,0.5348837209302325,0.47865582800284295,-0.5289690140845069,0,2
1357.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,73,0.3287671232876712,0.5454545454545454,0.4892737478786824,-0.5144986301369863,0,2
1360.T,coarse,full,1,1.5,1.5,0.6,0.01,0.01,60,64,0.34375,0.5789473684210527,0.5232510914813687,-0.4695499999999999,0,2
1458.T,coarse,full,3,1.5,1.0,0.6,0.05,0.05,60,25,0.24,0.5294117647058824,0.4730531364382179,-0.40079999999999993,0,2
1540.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,80,0.1375,0.1941176470588235,0.19102399240028267,-0.6983,0,2
1541.T,coarse,full,1,1.5,1.5,0.6,0.01,0.05,60,4,0.5,999.0,0.9989339019189767,-0.0007999999999999119,0,2
1542.T,coarse,full,1,1.5,2.0,0.4,0.01,0.01,60,13,0.38461538461538464,0.75,0.46831267493002804,-0.6546461538461538,0,2
1570.T,coarse,full,3,1.2,1.0,0.6,0.05,0.03,60,28,0.32142857142857145,0.6,0.5675880348352897,-0.2936571428571428,0,2
1579.T,coarse,full,5,1.5,1.0,0.4,0.03,0.05,60,38,0.34210526315789475,0.8125,0.7789608313349322,-0.14553684210526308,0,2
1605.T,coarse,full,5,1.5,1.0,1.0,0.01,0.05,60,24,0.4166666666666667,1.0714285714285714,1.0700011419435882,0.04086666666666683,0,2
168A.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
1802.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
1803.T,coarse,full,1,1.2,1.0,1.0,0.01,0.01,60,1,1.0,999.0,999.0,1.1992,0,2
1812.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,18,0.1111111111111111,0.15,0.14978017585931258,-0.7563555555555554,0,2
186A.T,coarse,full,5,1.2,1.0,1.0,0.03,0.05,60,11,0.36363636363636365,0.7999999999999999,0.6847093753568574,-0.20079999999999998,0,2
1911.T,coarse,full,3,1.5,1.0,1.0,0.01,0.05,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
1925.T,coarse,full,5,1.5,1.0,0.6,0.03,0.01,60,8,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
1928.T,coarse,full,1,1.5,1.0,0.4,0.01,0.05,60,12,0.16666666666666666,0.3,0.29960031974420465,-0.5841333333333333,0,2
1942.T,coarse,full,1,1.5,1.0,0.4,0.03,0.03,60,7,0.2857142857142857,1.5,0.5992006394884093,-0.2865142857142857,0,2
2036.T,coarse,full,3,1.2,1.0,0.4,0.03,0.01,60,16,0.125,0.1846153846153846,0.17117734383921437,-0.7257999999999999,0,2
215A.T,coarse,full,1,1.5,1.0,1.0,0.05,0.03,60,29,0.27586206896551724,0.5714285714285714,0.5706672757032469,-0.3111448275862068,0,2
2160.T,coarse,full,3,1.5,1.0,0.4,0.01,0.01,60,6,0.3333333333333333,1.5,0.7490007993605117,-0.16746666666666665,0,2
218A.T,coarse,full,3,1.5,1.0,0.4,0.01,0.03,60,14,0.21428571428571427,0.45,0.4085458905602791,-0.46508571428571416,0,2
219A.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,31,0.0,0.0,0.0,-1.0008,0,2
2267.T,coarse,full,1,1.5,2.0,0.4,0.05,0.03,60,32,0.21875,0.328125,0.20980407836865256,-1.235175,0,2
2269.T,coarse,full,3,1.5,2.0,0.4,0.01,0.01,60,5,0.4,1.5,0.49953351992536327,-0.6007999999999999,0,2
2334.T,coarse,full,5,1.2,1.0,0.6,0.01,0.05,60,13,0.3076923076923077,0.5333333333333333,0.5325517363886669,-0.323876923076923,0,2
2413.T,coarse,full,3,1.5,1.5,1.0,0.01,0.05,60,23,0.08695652173913043,0.10526315789473684,0.09513656208752158,-1.2399304347826088,0,2
2432.T,coarse,full,1,1.5,1.5,0.4,0.03,0.01,60,36,0.2222222222222222,0.2857142857142857,0.28540968626256474,-0.8341333333333333,0,2
247A.T,coarse,full,3,1.2,1.0,0.8,0.03,0.01,60,20,0.25,0.42857142857142855,0.3994138022915002,-0.4507999999999999,0,2
2502.T,coarse,full,5,1.5,1.0,0.4,0.01,0.01,60,51,0.17647058823529413,0.32926829268292684,0.32100034258307647,-0.5596235294117646,0,2
2503.T,coarse,full,3,1.2,1.0,0.4,0.03,0.05,60,5,0.4,2.4,0.7988276045830005,-0.12079999999999985,0,2
2670.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,3,1.0,999.0,999.0,1.1992,0,2
2726.T,coarse,full,1,1.5,2.0,0.4,0.01,0.01,60,6,0.5,2.25,0.7493002798880448,-0.2507999999999999,0,2
2768.T,coarse,full,3,1.5,1.0,0.6,0.01,0.01,60,11,0.5454545454545454,3.0,1.7976019184652277,0.3628363636363636,0,2
276A.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
2801.T,coarse,full,5,1.5,1.0,0.6,0.01,0.01,60,3,0.3333333333333333,999.0,0.7490007993605117,-0.16746666666666665,0,2
2802.T,coarse,full,5,1.5,1.0,0.4,0.05,0.01,60,41,0.1951219512195122,0.4,0.36315190272024805,-0.5129951219512194,0,2
285A.T,coarse,full,5,1.5,2.0,0.4,0.01,0.01,60,49,0.2857142857142857,0.3088235294117647,0.2997201119552179,-1.0008,0,2
2897.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,23,0.17391304347826086,0.26666666666666666,0.25226134881568435,-0.618191304347826,0,2
290A.T,coarse,full,3,1.5,1.0,0.6,0.01,0.01,60,7,0.42857142857142855,4.5,1.1235011990407675,0.07062857142857148,0,2
2914.T,coarse,full,1,1.5,1.5,0.4,0.01,0.05,60,50,0.14,0.16279069767441862,0.16261714682401948,-1.0807999999999998,0,2
3038.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,9,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
3064.T,coarse,full,5,1.5,1.5,0.8,0.01,0.01,60,4,0.25,0.3333333333333333,0.33297796730632556,-0.7507999999999999,0,2
3086.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,6,0.0,0.0,0.0,-1.0008,0,2
3092.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,5,0.0,0.0,0.0,-1.0008,0,2
3099.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,24,0.0,0.0,0.0,-1.0008,0,2
314A.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
3349.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
3350.T,coarse,full,3,1.5,1.0,1.0,0.01,0.05,60,19,0.5263157894736842,2.142857142857143,1.6644462208011368,0.3149894736842105,0,2
3382.T,coarse,full,3,1.5,1.0,0.4,0.01,0.01,60,58,0.1724137931034483,0.3125,0.3120836664002133,-0.5697655172413791,0,2
3405.T,coarse,full,1,1.2,2.0,0.4,0.01,0.03,60,1,1.0,999.0,999.0,1.1992,0,2
3436.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,66,0.09090909090909091,0.15,0.14980015987210235,-0.7735272727272726,0,2
3563.T,coarse,full,1,1.5,2.0,0.6,0.03,0.03,60,56,0.19642857142857142,0.19186046511627908,0.18316229063929984,-1.3133000000000001,0,2
