mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,full,1321.T,1,1.5,1.5,0.4,0.01,0.01,60,23,43,5,71,0.323943661971831,0.5348837209302325,0.47865582800284295,-0.5289690140845069,0,2,5,18,4,27,0.18518518518518517,0.2777777777777778,0.22703043225431285,-0.9452444444444443,0,2
coarse,full,1357.T,1,1.5,1.5,0.4,0.01,0.01,60,24,44,5,73,0.3287671232876712,0.5454545454545454,0.4892737478786824,-0.5144986301369863,0,2,7,16,6,29,0.2413793103448276,0.4375,0.31784260515603807,-0.776662068965517,0,2
coarse,full,1360.T,1,1.5,1.5,0.6,0.01,0.01,60,22,38,4,64,0.34375,0.5789473684210527,0.5232510914813687,-0.4695499999999999,0,2,6,17,3,26,0.23076923076923078,0.35294117647058826,0.2996801705756931,-0.8084923076923074,0,2
coarse,full,1458.T,3,1.5,1.0,0.6,0.05,0.05,60,6,17,2,25,0.24,0.5294117647058824,0.4730531364382179,-0.40079999999999993,0,2,5,2,1,8,0.625,3.75,2.496669331201706,0.5617000000000001,1,2
coarse,full,1540.T,1,1.2,1.0,0.4,0.01,0.01,60,11,68,1,80,0.1375,0.1941176470588235,0.19102399240028267,-0.6983,0,2,1,15,1,17,0.058823529411764705,0.08,0.07489008792965628,-0.8713882352941176,0,2
coarse,full,1541.T,1,1.5,1.5,0.6,0.01,0.05,60,2,0,2,4,0.5,999.0,0.9989339019189767,-0.0007999999999999119,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
coarse,full,1542.T,1,1.5,2.0,0.4,0.01,0.01,60,5,5,3,13,0.38461538461538464,0.75,0.46831267493002804,-0.6546461538461538,0,2,2,4,1,7,0.2857142857142857,0.375,0.2997201119552179,-1.0008,0,2
coarse,full,1570.T,3,1.2,1.0,0.6,0.05,0.03,60,9,18,1,28,0.32142857142857145,0.6,0.5675880348352897,-0.2936571428571428,0,2,4,3,1,8,0.5,1.5999999999999999,1.1982414068745006,0.09920000000000007,1,2
coarse,full,1579.T,5,1.5,1.0,0.4,0.03,0.05,60,13,24,1,38,0.34210526315789475,0.8125,0.7789608313349322,-0.14553684210526308,0,2,5,6,0,11,0.45454545454545453,1.25,1.248334665600853,0.13556363636363644,1,2
coarse,full,1605.T,5,1.5,1.0,1.0,0.01,0.05,60,10,14,0,24,0.4166666666666667,1.0714285714285714,1.0700011419435882,0.04086666666666683,0,2,6,1,1,8,0.75,9.0,4.49400479616307,0.8742000000000001,1,2
coarse,full,168A.T,1,1.2,1.0,0.4,0.01,0.01,60,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,1,1,2,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1802.T,1,1.2,1.0,0.4,0.01,0.01,60,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0,1,1,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1803.T,1,1.2,1.0,1.0,0.01,0.01,60,1,0,0,1,1.0,999.0,999.0,1.1992,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
coarse,full,1812.T,1,1.2,1.0,0.4,0.01,0.01,60,2,16,0,18,0.1111111111111111,0.15,0.14978017585931258,-0.7563555555555554,0,2,2,11,0,13,0.15384615384615385,0.21818181818181817,0.21786207397718194,-0.6623384615384614,0,2
coarse,full,186A.T,5,1.2,1.0,1.0,0.03,0.05,60,4,6,1,11,0.36363636363636365,0.7999999999999999,0.6847093753568574,-0.20079999999999998,0,2,5,3,0,8,0.625,2.0,1.997069011457501,0.3742000000000001,1,2
