mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-cross,1579.T,1,1.0,0.8,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-31.542132465234207,0,1,1,2,0,3,0.3333333333333333,0.2982338338552284,0.2982338338552283,-21.831605997669556,0,1
refine,j-cross,1579.T,1,1.0,0.8,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,2,1,0,3,0.6666666666666666,1.0146349979321119,1.0146349979321116,0.18869802792235882,0,1
refine,j-cross,1579.T,1,1.0,0.8,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,3,0,0,3,1.0,999.0,999.0,23.217743273130566,0,1
refine,j-cross,1579.T,1,1.0,0.8,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,2,0,0,2,1.0,999.0,999.0,19.62346944553016,0,1
refine,j-cross,1579.T,1,1.0,0.8,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,0.8,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.0,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-37.427665581542755,0,1,2,1,0,3,0.6666666666666666,0.8774711427127394,0.8774711427127393,-2.7082810712943726,0,1
refine,j-cross,1579.T,1,1.0,1.0,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-37.44737336787,0,1,3,0,0,3,1.0,999.0,999.0,23.199331633392518,0,1
refine,j-cross,1579.T,1,1.0,1.0,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-37.44737336787,0,1,3,0,0,3,1.0,999.0,999.0,23.217743273130566,0,1
refine,j-cross,1579.T,1,1.0,1.0,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,2,0,0,2,1.0,999.0,999.0,19.62346944553016,0,1
refine,j-cross,1579.T,1,1.0,1.0,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.0,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.2,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-43.31319869785131,0,1,2,1,0,3,0.6666666666666666,0.746230930746102,0.7462309307461019,-6.595589750389354,0,1
refine,j-cross,1579.T,1,1.0,1.2,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-43.336848041444,0,1,3,0,0,3,1.0,999.0,999.0,23.199331633392518,0,1
refine,j-cross,1579.T,1,1.0,1.2,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-43.336848041444,0,1,3,0,0,3,1.0,999.0,999.0,23.217743273130566,0,1
refine,j-cross,1579.T,1,1.0,1.2,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,2,0,0,2,1.0,999.0,999.0,19.62346944553016,0,1
refine,j-cross,1579.T,1,1.0,1.2,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.2,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.5,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-52.14149837231414,0,1,2,1,0,3,0.6666666666666666,0.6094916992614882,0.609491699261488,-12.426552769031359,0,1
refine,j-cross,1579.T,1,1.0,1.5,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-52.171060051805,0,1,3,0,0,3,1.0,999.0,999.0,23.199331633392518,0,1
refine,j-cross,1579.T,1,1.0,1.5,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-52.171060051805,0,1,3,0,0,3,1.0,999.0,999.0,23.217743273130566,0,1
refine,j-cross,1579.T,1,1.0,1.5,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,2,0,0,2,1.0,999.0,999.0,19.62346944553016,0,1
refine,j-cross,1579.T,1,1.0,1.5,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,1.5,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,2.0,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-66.85533116308551,0,1,2,1,0,3,0.6666666666666666,0.46690043576296186,0.4669004357629618,-22.144824466768352,0,1
refine,j-cross,1579.T,1,1.0,2.0,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-66.89474673574,0,1,3,0,0,3,1.0,999.0,999.0,23.199331633392518,0,1
refine,j-cross,1579.T,1,1.0,2.0,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-66.89474673574,0,1,3,0,0,3,1.0,999.0,999.0,23.217743273130566,0,1
refine,j-cross,1579.T,1,1.0,2.0,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,2,0,0,2,1.0,999.0,999.0,19.62346944553016,0,1
refine,j-cross,1579.T,1,1.0,2.0,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.0,2.0,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,8.072210167610425,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,0.8,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-31.542132465234207,0,1,1,2,0,3,0.3333333333333333,0.37502433657728745,0.37502433657728734,-19.44269060010803,0,1
refine,j-cross,1579.T,1,1.2,0.8,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,2,1,0,3,0.6666666666666666,1.3002902837269292,1.300290283726929,3.871827287326468,0,1
refine,j-cross,1579.T,1,1.2,0.8,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,3,0,0,3,1.0,999.0,999.0,29.46129192775695,0,1
refine,j-cross,1579.T,1,1.2,0.8,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,2,0,0,2,1.0,999.0,999.0,25.148163334636322,0,1
refine,j-cross,1579.T,1,1.2,0.8,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,0.8,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.0,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-37.427665581542755,0,1,2,1,0,3,0.6666666666666666,1.1012238216644417,1.1012238216644414,2.237371393541816,0,1
refine,j-cross,1579.T,1,1.2,1.0,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-37.44737336787,0,1,3,0,0,3,1.0,999.0,999.0,29.439197960071294,0,1
refine,j-cross,1579.T,1,1.2,1.0,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-37.44737336787,0,1,3,0,0,3,1.0,999.0,999.0,29.46129192775695,0,1
refine,j-cross,1579.T,1,1.2,1.0,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,2,0,0,2,1.0,999.0,999.0,25.148163334636322,0,1
refine,j-cross,1579.T,1,1.2,1.0,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.0,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.2,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-43.31319869785131,0,1,2,1,0,3,0.6666666666666666,0.9365177239446386,0.9365177239446384,-1.6499372855531647,0,1
refine,j-cross,1579.T,1,1.2,1.2,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-43.336848041444,0,1,3,0,0,3,1.0,999.0,999.0,29.439197960071294,0,1
refine,j-cross,1579.T,1,1.2,1.2,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-43.336848041444,0,1,3,0,0,3,1.0,999.0,999.0,29.46129192775695,0,1
refine,j-cross,1579.T,1,1.2,1.2,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,2,0,0,2,1.0,999.0,999.0,25.148163334636322,0,1
refine,j-cross,1579.T,1,1.2,1.2,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.2,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.5,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-52.14149837231414,0,1,2,1,0,3,0.6666666666666666,0.7649103721616282,0.764910372161628,-7.48090030419517,0,1
refine,j-cross,1579.T,1,1.2,1.5,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-52.171060051805,0,1,3,0,0,3,1.0,999.0,999.0,29.439197960071294,0,1
refine,j-cross,1579.T,1,1.2,1.5,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-52.171060051805,0,1,3,0,0,3,1.0,999.0,999.0,29.46129192775695,0,1
refine,j-cross,1579.T,1,1.2,1.5,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,2,0,0,2,1.0,999.0,999.0,25.148163334636322,0,1
refine,j-cross,1579.T,1,1.2,1.5,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,1.5,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,2.0,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-66.85533116308551,0,1,2,1,0,3,0.6666666666666666,0.5859587366236668,0.5859587366236668,-17.19917200193216,0,1
refine,j-cross,1579.T,1,1.2,2.0,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-66.89474673574,0,1,3,0,0,3,1.0,999.0,999.0,29.439197960071294,0,1
refine,j-cross,1579.T,1,1.2,2.0,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-66.89474673574,0,1,3,0,0,3,1.0,999.0,999.0,29.46129192775695,0,1
refine,j-cross,1579.T,1,1.2,2.0,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,2,0,0,2,1.0,999.0,999.0,25.148163334636322,0,1
refine,j-cross,1579.T,1,1.2,2.0,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.2,2.0,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,11.286652201132508,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.5,0.8,0.3,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,-31.542132465234207,0,1,1,2,0,3,0.3333333333333333,0.4902100906603688,0.49021009066036875,-15.859317503765965,0,1
refine,j-cross,1579.T,1,1.5,0.8,0.4,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,1,2,0,3,0.3333333333333333,0.735405219072425,0.7354052190724248,-5.486938234757306,0,1
refine,j-cross,1579.T,1,1.5,0.8,0.6,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-31.557898694296,0,1,2,1,0,3,0.6666666666666666,4.052602536258136,4.052602536258135,23.943155498506133,0,1
refine,j-cross,1579.T,1,1.5,0.8,0.8,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,16.10831525141564,0,1,1,1,0,2,0.5,1.9443049427695112,1.9443049427695112,11.110015051510661,0,1
refine,j-cross,1579.T,1,1.5,0.8,1.0,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,16.10831525141564,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,1579.T,1,1.5,0.8,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,16.10831525141564,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
