code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
3350.T,refine,j-cross,5,1.0,999.0,999.0,112.41274480031996,1,1
3692.T,refine,j-cross,5,0.8,13.181014382793874,13.181014382793878,96.24755829499331,1,1
3905.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
4004.T,refine,j-cross,2,0.0,0.0,0.0,-63.62430786722865,0,1
4506.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
4519.T,refine,j-cross,2,0.5,1.0595507574853589,1.0595507574853589,1.1387675203408598,0,1
4755.T,refine,j-cross,5,0.8,4.39973729135439,4.399737291354392,35.50475392074356,1,1
5706.T,refine,j-cross,9,1.0,999.0,999.0,52.39868355230843,1,1
6525.T,refine,j-cross,6,1.0,999.0,999.0,50.49949052404612,1,1
6526.T,refine,j-cross,7,1.0,999.0,999.0,27.706721692492163,1,1
6762.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
7012.T,refine,j-cross,8,1.0,999.0,999.0,90.17811386227044,1,1
8306.T,refine,j-cross,8,1.0,999.0,999.0,10.866533393012894,1,1
8308.T,refine,j-cross,3,1.0,999.0,999.0,103.11343204845718,0,1
8729.T,refine,j-cross,6,0.8333333333333334,4.732499815442885,4.7324998154428854,21.699837463259048,1,1
9983.T,refine,j-cross,5,1.0,999.0,999.0,48.23316074360048,1,1
