mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-cross,3350.T,8,2.0,1.5,0.8,0.0,0.0,0,6,3,0,9,0.6666666666666666,2.2538811311562865,2.253881131156286,66.67722056669908,0,1,5,0,0,5,1.0,999.0,999.0,112.41274480031996,1,1
refine,j-cross,3692.T,8,1.5,2.0,0.8,0.0,0.0,0,0,2,0,2,0.0,0.0,0.0,-350.11063269052954,0,1,4,1,0,5,0.8,13.181014382793874,13.181014382793878,96.24755829499331,1,1
refine,j-cross,3905.T,1,1.0,1.2,1.2,0.0,0.0,0,5,2,0,7,0.7142857142857143,1.8858964092547004,1.8858964092547006,32.626309006023725,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,4004.T,1,2.5,0.8,0.3,0.0,0.0,0,1,2,0,3,0.3333333333333333,0.264293628972194,0.26429362897219394,-27.93180948825993,0,1,0,2,0,2,0.0,0.0,0.0,-63.62430786722865,0,1
refine,j-cross,4506.T,1,1.0,2.0,0.6,0.0,0.0,0,4,0,0,4,1.0,999.0,999.0,32.85242900976303,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,4519.T,8,1.0,1.0,1.0,0.0,0.0,0,5,0,0,5,1.0,999.0,999.0,24.75782850124778,0,1,1,1,0,2,0.5,1.0595507574853589,1.0595507574853589,1.1387675203408598,0,1
refine,j-cross,4755.T,1,2.5,2.0,0.8,0.0,0.0,0,0,3,0,3,0.0,0.0,0.0,-65.74219307725154,0,1,4,1,0,5,0.8,4.39973729135439,4.399737291354392,35.50475392074356,1,1
refine,j-cross,5706.T,8,1.0,2.0,0.3,0.0,0.0,0,7,6,0,13,0.5384615384615384,0.2815045607104368,0.2815045607104367,-53.61358624847607,0,1,9,0,0,9,1.0,999.0,999.0,52.39868355230843,1,1
refine,j-cross,6525.T,3,1.2,2.0,0.8,0.0,0.0,0,6,6,0,12,0.5,0.6954765432676959,0.6954765432676959,-19.21734670453399,0,1,6,0,0,6,1.0,999.0,999.0,50.49949052404612,1,1
refine,j-cross,6526.T,1,1.0,2.0,0.6,0.0,0.0,0,12,11,0,23,0.5217391304347826,0.4947996112773655,0.4947996112773653,-23.417775322653966,0,1,7,0,0,7,1.0,999.0,999.0,27.706721692492163,1,1
refine,j-cross,6762.T,8,2.5,1.2,0.6,0.0,0.0,0,2,1,0,3,0.6666666666666666,4.382282947627879,4.382282947627878,32.60313229437546,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-cross,7012.T,8,2.5,2.0,1.0,0.0,0.0,0,4,9,0,13,0.3076923076923077,0.5191300996343693,0.5191300996343694,-22.773506557597408,0,1,8,0,0,8,1.0,999.0,999.0,90.17811386227044,1,1
refine,j-cross,8306.T,8,1.0,2.0,0.8,0.0,0.0,0,12,6,0,18,0.6666666666666666,0.48336153054322967,0.4833615305432296,-8.899888981573758,0,1,8,0,0,8,1.0,999.0,999.0,10.866533393012894,1,1
refine,j-cross,8308.T,3,2.5,1.2,0.3,0.0,0.0,0,4,7,0,11,0.36363636363636365,1.3334413082024854,1.3334413082024856,10.145557271980463,1,1,3,0,0,3,1.0,999.0,999.0,103.11343204845718,0,1
refine,j-cross,8729.T,5,1.2,1.0,0.4,0.0,0.0,0,8,5,0,13,0.6153846153846154,2.3406039742185474,2.340603974218548,34.446376707447754,1,1,5,1,0,6,0.8333333333333334,4.732499815442885,4.7324998154428854,21.699837463259048,1,1
refine,j-cross,9983.T,8,1.2,2.0,0.8,0.0,0.0,0,8,4,0,12,0.6666666666666666,0.6111391358990543,0.6111391358990542,-5.67527054834764,0,1,5,0,0,5,1.0,999.0,999.0,48.23316074360048,1,1
