mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-only,1360.T,1,1.0,0.8,0.3,0.0,0.0,0,39,38,0,77,0.5064935064935064,0.8205920759217704,0.8205920759217702,-2.1744667100695563,0,1,10,6,0,16,0.625,0.9358584821786414,0.9358584821786414,-0.868168205380117,0,1
refine,j-only,1360.T,1,1.0,0.8,0.4,0.0,0.0,0,37,34,0,71,0.5211267605633803,0.8790037959108828,0.8790037959108828,-1.39104212911352,0,1,10,5,0,15,0.6666666666666666,0.9951760737080766,0.9951760737080766,-0.06549441779405261,0,1
refine,j-only,1360.T,1,1.0,0.8,0.6,0.0,0.0,0,30,25,0,55,0.5454545454545454,0.9639378511436735,0.9639378511436735,-0.3742900275540326,0,1,7,0,0,7,1.0,999.0,999.0,19.51924919807455,1,1
refine,j-only,1360.T,1,1.0,0.8,0.8,0.0,0.0,0,21,20,0,41,0.5121951219512195,0.8262175946984548,0.8262175946984549,-2.0379068464927377,0,1,2,0,0,2,1.0,999.0,999.0,16.098843458334148,0,1
refine,j-only,1360.T,1,1.0,0.8,1.0,0.0,0.0,0,13,16,0,29,0.4482758620689655,0.5517932180979436,0.5517932180979437,-6.077297352178665,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,0.8,1.2,0.0,0.0,0,11,14,0,25,0.44,0.5221499120170784,0.5221499120170783,-6.390973729008359,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.0,0.3,0.0,0.0,0,39,38,0,77,0.5064935064935064,0.7013539147108073,0.7013539147108071,-4.235045318209914,0,1,11,5,0,16,0.6875,1.0171065761069995,1.0171065761069995,0.23607040007977664,1,1
refine,j-only,1360.T,1,1.0,1.0,0.4,0.0,0.0,0,37,34,0,71,0.5211267605633803,0.752348384662631,0.7523483846626308,-3.326453525510446,0,1,11,4,0,15,0.7333333333333333,1.086674223313901,1.086674223313901,1.19416467834941,1,1
refine,j-only,1360.T,1,1.0,1.0,0.6,0.0,0.0,0,30,25,0,55,0.5454545454545454,0.8275738390121778,0.8275738390121777,-2.0845009334871873,0,1,7,0,0,7,1.0,999.0,999.0,19.51924919807455,1,1
refine,j-only,1360.T,1,1.0,1.0,0.8,0.0,0.0,0,21,20,0,41,0.5121951219512195,0.7081025936665721,0.7081025936665722,-3.993990380858873,0,1,2,0,0,2,1.0,999.0,999.0,16.098843458334148,0,1
refine,j-only,1360.T,1,1.0,1.0,1.0,0.0,0.0,0,13,16,0,29,0.4482758620689655,0.4721752285721188,0.47217522857211885,-8.36363343343206,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.0,1.2,0.0,0.0,0,11,14,0,25,0.44,0.44771384576086504,0.4477138457608649,-8.614581844675783,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.2,0.3,0.0,0.0,0,43,34,0,77,0.5584415584415584,0.6906369896969019,0.6906369896969019,-4.611783331753371,0,1,12,4,0,16,0.75,1.2261585758642024,1.2261585758642024,2.9103353041361095,1,1
refine,j-only,1360.T,1,1.0,1.2,0.4,0.0,0.0,0,41,30,0,71,0.5774647887323944,0.7531914651011,0.7531914651010999,-3.4357279390346767,0,1,12,3,0,15,0.8,1.3250212409865836,1.3250212409865838,4.128518492995741,1,1
refine,j-only,1360.T,1,1.0,1.2,0.6,0.0,0.0,0,33,22,0,55,0.6,0.832902315069603,0.8329023150696029,-2.076319132400538,0,1,7,0,0,7,1.0,999.0,999.0,19.51924919807455,1,1
refine,j-only,1360.T,1,1.0,1.2,0.8,0.0,0.0,0,24,17,0,41,0.5853658536585366,0.7358033875179226,0.7358033875179224,-3.6449129667838087,0,1,2,0,0,2,1.0,999.0,999.0,16.098843458334148,0,1
refine,j-only,1360.T,1,1.0,1.2,1.0,0.0,0.0,0,15,14,0,29,0.5172413793103449,0.49461736821675645,0.49461736821675656,-8.212843867709536,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.2,1.2,0.0,0.0,0,13,12,0,25,0.52,0.4877671015977424,0.48776710159774234,-8.011124209851138,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.5,0.3,0.0,0.0,0,47,30,0,77,0.6103896103896104,0.7386285365762271,0.7386285365762271,-3.98924650219649,0,1,13,3,0,16,0.8125,1.3964448863678025,1.3964448863678025,4.868539126917776,1,1
refine,j-only,1360.T,1,1.0,1.5,0.4,0.0,0.0,0,45,26,0,71,0.6338028169014085,0.8331806925733211,0.8331806925733213,-2.3116314404456717,0,1,13,2,0,15,0.8666666666666667,1.5304386827642649,1.5304386827642653,6.3399761127754335,1,1
refine,j-only,1360.T,1,1.0,1.5,0.6,0.0,0.0,0,34,21,0,55,0.6181818181818182,0.7707601232178152,0.7707601232178151,-3.180796943617025,0,1,7,0,0,7,1.0,999.0,999.0,19.51924919807455,1,1
refine,j-only,1360.T,1,1.0,1.5,0.8,0.0,0.0,0,25,16,0,41,0.6097560975609756,0.6967656203500724,0.6967656203500724,-4.619376801928585,0,1,2,0,0,2,1.0,999.0,999.0,16.098843458334148,0,1
refine,j-only,1360.T,1,1.0,1.5,1.0,0.0,0.0,0,16,13,0,29,0.5517241379310345,0.4917581221010087,0.49175812210100867,-8.983868714784894,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,1.5,1.2,0.0,0.0,0,14,11,0,25,0.56,0.503757209804155,0.5037572098041551,-8.26270042457872,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,2.0,0.3,0.0,0.0,0,52,25,0,77,0.6753246753246753,0.7716521768863945,0.7716521768863945,-3.583131468481295,0,1,14,2,0,16,0.875,4.8299723513274495,4.8299723513274495,17.073890443090935,1,1
refine,j-only,1360.T,1,1.0,2.0,0.4,0.0,0.0,0,50,21,0,71,0.704225352112676,0.9172716488582557,0.9172716488582555,-1.122945288295878,0,1,14,1,0,15,0.9333333333333333,4.959627878063666,4.9596278780636665,18.33646022103268,1,1
refine,j-only,1360.T,1,1.0,2.0,0.6,0.0,0.0,0,38,17,0,55,0.6909090909090909,0.8456567236118336,0.8456567236118336,-2.131011505454903,0,1,7,0,0,7,1.0,999.0,999.0,19.51924919807455,1,1
refine,j-only,1360.T,1,1.0,2.0,0.8,0.0,0.0,0,29,12,0,41,0.7073170731707317,0.8345150609724734,0.8345150609724733,-2.36587347528957,0,1,2,0,0,2,1.0,999.0,999.0,16.098843458334148,0,1
refine,j-only,1360.T,1,1.0,2.0,1.0,0.0,0.0,0,19,10,0,29,0.6551724137931034,0.6145914962309521,0.614591496230952,-6.444614073612092,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.0,2.0,1.2,0.0,0.0,0,16,9,0,25,0.64,0.6161612645202441,0.6161612645202441,-6.169934961404043,0,1,1,0,0,1,1.0,999.0,999.0,21.81514663678358,0,1
refine,j-only,1360.T,1,1.2,0.8,0.3,0.0,0.0,0,36,41,0,77,0.4675324675324675,0.9526266190853657,0.9526266190853656,-0.611985236526158,0,1,9,7,0,16,0.5625,0.8405973184639192,0.8405973184639192,-2.571124432105475,0,1
refine,j-only,1360.T,1,1.2,0.8,0.4,0.0,0.0,0,34,37,0,71,0.4788732394366197,1.009890273306385,1.009890273306385,0.12226473875127157,1,1,9,6,0,15,0.6,0.8848554510499531,0.884855451049953,-1.8819810596344348,0,1
refine,j-only,1360.T,1,1.2,0.8,0.6,0.0,0.0,0,28,27,0,55,0.509090909090909,1.1397420532880471,1.139742053288047,1.542859172261816,1,1,7,0,0,7,1.0,999.0,999.0,25.023099037689263,1,1
refine,j-only,1360.T,1,1.2,0.8,0.8,0.0,0.0,0,19,22,0,41,0.4634146341463415,0.9533173661860312,0.9533173661860314,-0.5901063533738472,0,1,2,0,0,2,1.0,999.0,999.0,20.918612150000463,0,1
refine,j-only,1360.T,1,1.2,0.8,1.0,0.0,0.0,0,12,17,0,29,0.41379310344827586,0.6512861801754902,0.6512861801754902,-4.980191625580288,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,0.8,1.2,0.0,0.0,0,10,15,0,25,0.4,0.6070057975463826,0.6070057975463826,-5.585426237119676,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.0,0.3,0.0,0.0,0,36,41,0,77,0.4675324675324675,0.8147730153889586,0.8147730153889585,-2.7976726517620234,0,1,10,6,0,16,0.625,0.9044388892587969,0.904438889258797,-1.616718229858948,0,1
refine,j-only,1360.T,1,1.2,1.0,0.4,0.0,0.0,0,34,37,0,71,0.4788732394366197,0.8649761379350395,0.8649761379350395,-1.9488280399886693,0,1,10,5,0,15,0.6666666666666666,0.9542704781005343,0.9542704781005342,-0.7821431935852297,0,1
refine,j-only,1360.T,1,1.2,1.0,0.6,0.0,0.0,0,28,27,0,55,0.509090909090909,0.9793776715589309,0.9793776715589305,-0.2649678856133356,0,1,7,0,0,7,1.0,999.0,999.0,25.023099037689263,1,1
refine,j-only,1360.T,1,1.2,1.0,0.8,0.0,0.0,0,19,22,0,41,0.4634146341463415,0.8182260382944124,0.8182260382944124,-2.6771383842475394,0,1,2,0,0,2,1.0,999.0,999.0,20.918612150000463,0,1
refine,j-only,1360.T,1,1.2,1.0,1.0,0.0,0.0,0,12,17,0,29,0.41379310344827586,0.5576522433625595,0.5576522433625596,-7.3781780736305524,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.0,1.2,0.0,0.0,0,10,15,0,25,0.4,0.5207814573914512,0.5207814573914512,-7.938548778271468,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.2,0.3,0.0,0.0,0,40,37,0,77,0.5194805194805194,0.8028009145351138,0.8028009145351137,-3.1464430547103532,0,1,12,4,0,16,0.75,1.5646408146627313,1.5646408146627313,7.266114454381077,1,1
refine,j-only,1360.T,1,1.2,1.2,0.4,0.0,0.0,0,38,33,0,71,0.5352112676056338,0.8653317024778151,0.8653317024778149,-2.0277713828674804,0,1,12,3,0,15,0.8,1.6907946123375457,1.690794612337546,8.774682919923707,1,1
refine,j-only,1360.T,1,1.2,1.2,0.6,0.0,0.0,0,31,24,0,55,0.5636363636363636,0.9850795421096546,0.9850795421096545,-0.19818471764868129,0,1,7,0,0,7,1.0,999.0,999.0,25.023099037689263,1,1
refine,j-only,1360.T,1,1.2,1.2,0.8,0.0,0.0,0,22,19,0,41,0.5365853658536586,0.8497577455742256,0.8497577455742256,-2.249449380458078,0,1,2,0,0,2,1.0,999.0,999.0,20.918612150000463,0,1
refine,j-only,1360.T,1,1.2,1.2,1.0,0.0,0.0,0,14,15,0,29,0.4827586206896552,0.586108888677455,0.5861088886774551,-7.117481997707055,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.2,1.2,0.0,0.0,0,12,13,0,25,0.48,0.5693535847974833,0.5693535847974831,-7.207599591613696,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.5,0.3,0.0,0.0,0,44,33,0,77,0.5714285714285714,0.8525421728419389,0.8525421728419388,-2.4328662265782084,0,1,13,3,0,16,0.8125,1.7815927956213087,1.7815927956213087,9.598345791927038,1,1
refine,j-only,1360.T,1,1.2,1.5,0.4,0.0,0.0,0,42,29,0,71,0.5915492957746479,0.9470347078663963,0.9470347078663962,-0.8049413646968515,0,1,13,2,0,15,0.8666666666666667,1.952542887993955,1.9525428879939555,11.385103222118648,1,1
refine,j-only,1360.T,1,1.2,1.5,0.6,0.0,0.0,0,32,23,0,55,0.5818181818181818,0.9092019838252329,0.9092019838252328,-1.3509657752218867,0,1,7,0,0,7,1.0,999.0,999.0,25.023099037689263,1,1
refine,j-only,1360.T,1,1.2,1.5,0.8,0.0,0.0,0,23,18,0,41,0.5609756097560976,0.8019570062334878,0.8019570062334879,-3.2887102533984525,0,1,2,0,0,2,1.0,999.0,999.0,20.918612150000463,0,1
refine,j-only,1360.T,1,1.2,1.5,1.0,0.0,0.0,0,15,14,0,29,0.5172413793103449,0.5811571802110571,0.5811571802110571,-7.86989087823308,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,1.5,1.2,0.0,0.0,0,13,12,0,25,0.52,0.5854624988849253,0.5854624988849254,-7.4375812851440495,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,2.0,0.3,0.0,0.0,0,50,27,0,77,0.6493506493506493,0.9035666510339139,0.9035666510339139,-1.6258323703918836,0,1,14,2,0,16,0.875,6.216963681327774,6.216963681327774,22.856953733581342,1,1
refine,j-only,1360.T,1,1.2,2.0,0.4,0.0,0.0,0,48,23,0,71,0.676056338028169,1.0551553652467809,1.0551553652467809,0.8185440737948707,1,1,14,1,0,15,0.9333333333333333,6.274028142173007,6.274028142173009,24.423256480569542,1,1
refine,j-only,1360.T,1,1.2,2.0,0.6,0.0,0.0,0,37,18,0,55,0.6727272727272727,1.0266739817693376,1.0266739817693376,0.38734571652897165,1,1,7,0,0,7,1.0,999.0,999.0,25.023099037689263,1,1
refine,j-only,1360.T,1,1.2,2.0,0.8,0.0,0.0,0,28,13,0,41,0.6829268292682927,0.9926987037729194,0.9926987037729196,-0.11157441584771832,0,1,2,0,0,2,1.0,999.0,999.0,20.918612150000463,0,1
refine,j-only,1360.T,1,1.2,2.0,1.0,0.0,0.0,0,18,11,0,29,0.6206896551724138,0.7169373049539958,0.7169373049539959,-5.127363896722458,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.2,2.0,1.2,0.0,0.0,0,15,10,0,25,0.6,0.7039308930812412,0.7039308930812413,-5.237294858314285,0,1,1,0,0,1,1.0,999.0,999.0,27.77817596413996,0,1
refine,j-only,1360.T,1,1.5,0.8,0.3,0.0,0.0,0,31,46,0,77,0.4025974025974026,0.7909706683336801,0.7909706683336802,-3.3163088562932606,0,1,9,7,0,16,0.5625,1.1204935706670962,1.1204935706670962,1.943530437934789,1,1
refine,j-only,1360.T,1,1.5,0.8,0.4,0.0,0.0,0,30,41,0,71,0.4225352112676056,0.8761675351450776,0.8761675351450776,-1.8599926280600927,0,1,9,6,0,15,0.6,1.1794884686082459,1.1794884686082459,2.9336508017418472,1,1
refine,j-only,1360.T,1,1.5,0.8,0.6,0.0,0.0,0,24,31,0,55,0.43636363636363634,0.8536926498376031,0.853692649837603,-2.117381875833614,0,1,7,0,0,7,1.0,999.0,999.0,33.27887379711182,1,1
refine,j-only,1360.T,1,1.5,0.8,0.8,0.0,0.0,0,16,25,0,41,0.3902439024390244,0.7170228440975027,0.7170228440975027,-4.5169675050052485,0,1,2,0,0,2,1.0,999.0,999.0,28.148265187501224,0,1
refine,j-only,1360.T,1,1.5,0.8,1.0,0.0,0.0,0,10,19,0,29,0.3448275862068966,0.6962716448181334,0.6962716448181334,-4.821642659855412,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,0.8,1.2,0.0,0.0,0,8,17,0,25,0.32,0.6200559825417293,0.6200559825417292,-6.102152163327033,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.0,0.3,0.0,0.0,0,31,46,0,77,0.4025974025974026,0.6733438480508077,0.6733438480508077,-6.087823638996206,0,1,10,6,0,16,0.625,1.2044337117847683,1.2044337117847683,3.4586423920422114,1,1
refine,j-only,1360.T,1,1.5,1.0,0.4,0.0,0.0,0,30,41,0,71,0.4225352112676056,0.7468768631738137,0.7468768631738137,-4.460121609429523,0,1,10,5,0,15,0.6666666666666666,1.2707940222773575,1.2707940222773573,4.63157480310934,1,1
refine,j-only,1360.T,1,1.5,1.0,0.6,0.0,0.0,0,24,31,0,55,0.43636363636363634,0.7283399264863917,0.7283399264863917,-4.608146577103196,0,1,7,0,0,7,1.0,999.0,999.0,33.27887379711182,1,1
refine,j-only,1360.T,1,1.5,1.0,0.8,0.0,0.0,0,16,25,0,41,0.3902439024390244,0.6109599038608479,0.610959903860848,-7.2880314136321225,0,1,2,0,0,2,1.0,999.0,999.0,28.148265187501224,0,1
refine,j-only,1360.T,1,1.5,1.0,1.0,0.0,0.0,0,10,19,0,29,0.3448275862068966,0.5963998277045413,0.5963998277045413,-7.480010810160507,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.0,1.2,0.0,0.0,0,8,17,0,25,0.32,0.5320902637024393,0.5320902637024394,-8.757317479094429,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.2,0.3,0.0,0.0,0,36,41,0,77,0.4675324675324675,0.6926153107093328,0.6926153107093327,-6.035067207289107,0,1,12,4,0,16,0.75,2.072364172860545,2.072364172860545,13.799783179748792,1,1
refine,j-only,1360.T,1,1.5,1.2,0.4,0.0,0.0,0,35,36,0,71,0.49295774647887325,0.7815177462129076,0.7815177462129077,-3.997308569537353,0,1,12,3,0,15,0.8,2.2394546693640107,2.239454669364011,15.743929560315935,1,1
refine,j-only,1360.T,1,1.5,1.2,0.6,0.0,0.0,0,28,27,0,55,0.509090909090909,0.7750029863517244,0.7750029863517242,-3.929139368481815,0,1,7,0,0,7,1.0,999.0,999.0,33.27887379711182,1,1
refine,j-only,1360.T,1,1.5,1.2,0.8,0.0,0.0,0,20,21,0,41,0.4878048780487805,0.691678394244487,0.6916783942444868,-5.806962272405266,0,1,2,0,0,2,1.0,999.0,999.0,28.148265187501224,0,1
refine,j-only,1360.T,1,1.5,1.2,1.0,0.0,0.0,0,13,16,0,29,0.4482758620689655,0.7169074500943526,0.7169074500943527,-5.135431903058379,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.2,1.2,0.0,0.0,0,11,14,0,25,0.44,0.6854441325696294,0.6854441325696295,-5.6090642082694435,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.5,0.3,0.0,0.0,0,39,38,0,77,0.5064935064935064,0.6881125882735301,0.6881125882735298,-6.734732671135896,0,1,13,3,0,16,0.8125,2.3593146595015937,2.359314659501594,16.69305578944125,1,1
refine,j-only,1360.T,1,1.5,1.5,0.4,0.0,0.0,0,38,33,0,71,0.5352112676056338,0.790656501954197,0.7906565019541968,-4.14770321502828,0,1,13,2,0,15,0.8666666666666667,2.585699195838519,2.58569919583852,18.952793886133804,1,1
refine,j-only,1360.T,1,1.5,1.5,0.6,0.0,0.0,0,29,26,0,55,0.5272727272727272,0.7074339478330053,0.707433947833005,-5.841274818165485,0,1,7,0,0,7,1.0,999.0,999.0,33.27887379711182,1,1
refine,j-only,1360.T,1,1.5,1.5,0.8,0.0,0.0,0,21,20,0,41,0.5121951219512195,0.6476969358649889,0.647696935864989,-7.5167133030982,0,1,2,0,0,2,1.0,999.0,999.0,28.148265187501224,0,1
refine,j-only,1360.T,1,1.5,1.5,1.0,0.0,0.0,0,14,15,0,29,0.4827586206896552,0.7097710091987219,0.7097710091987219,-5.7757283709677685,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,1.5,1.2,0.0,0.0,0,12,13,0,25,0.48,0.7031299646351776,0.7031299646351775,-5.708995503164501,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,2.0,0.3,0.0,0.0,0,44,33,0,77,0.5714285714285714,0.6537684717713206,0.6537684717713205,-8.446316558124613,0,1,15,1,0,16,0.9375,8.262947382110315,8.262947382110315,31.53154866931711,1,1
refine,j-only,1360.T,1,1.5,2.0,0.4,0.0,0.0,0,43,28,0,71,0.6056338028169014,0.7714937555305846,0.7714937555305846,-4.989932198421054,0,1,14,1,0,15,0.9333333333333333,8.24562853833708,8.245628538337082,33.55345086987511,1,1
refine,j-only,1360.T,1,1.5,2.0,0.6,0.0,0.0,0,33,22,0,55,0.6,0.6816443849404036,0.6816443849404035,-7.143969423970309,0,1,7,0,0,7,1.0,999.0,999.0,33.27887379711182,1,1
refine,j-only,1360.T,1,1.5,2.0,0.8,0.0,0.0,0,25,16,0,41,0.6097560975609756,0.6625598108951242,0.6625598108951242,-7.83871592575548,0,1,2,0,0,2,1.0,999.0,999.0,28.148265187501224,0,1
refine,j-only,1360.T,1,1.5,2.0,1.0,0.0,0.0,0,16,13,0,29,0.5517241379310345,0.705136330209512,0.705136330209512,-6.48952434408803,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,1.5,2.0,1.2,0.0,0.0,0,13,12,0,25,0.52,0.6527957023564764,0.6527957023564765,-7.7104561304117984,0,1,1,0,0,1,1.0,999.0,999.0,36.72271995517537,0,1
refine,j-only,1360.T,1,2.0,0.8,0.3,0.0,0.0,0,29,48,0,77,0.37662337662337664,1.0004104168162633,1.0004104168162633,0.006823379338018195,1,1,8,8,0,16,0.5,1.1730433652135832,1.1730433652135832,3.188146624230108,1,1
refine,j-only,1360.T,1,2.0,0.8,0.4,0.0,0.0,0,28,43,0,71,0.39436619718309857,1.09824580389612,1.0982458038961198,1.5566737071960046,1,1,8,7,0,15,0.5333333333333333,1.2267620311527951,1.2267620311527951,4.261241400456854,1,1
refine,j-only,1360.T,1,2.0,0.8,0.6,0.0,0.0,0,22,33,0,55,0.4,1.0294584081173441,1.0294584081173443,0.45767876902301663,1,1,7,0,0,7,1.0,999.0,999.0,47.0384983961491,1,1
refine,j-only,1360.T,1,2.0,0.8,0.8,0.0,0.0,0,15,26,0,41,0.36585365853658536,0.8905673350134851,0.890567335013485,-1.8361531979863357,0,1,2,0,0,2,1.0,999.0,999.0,40.197686916668296,0,1
refine,j-only,1360.T,1,2.0,0.8,1.0,0.0,0.0,0,9,20,0,29,0.3103448275862069,0.8066489374576419,0.8066489374576418,-3.292626398323026,0,1,1,0,0,1,1.0,999.0,999.0,51.63029327356716,0,1
refine,j-only,1360.T,1,2.0,0.8,1.2,0.0,0.0,0,7,18,0,25,0.28,0.6841206500719765,0.6841206500719766,-5.496231177363113,0,1,1,0,0,1,1.0,999.0,999.0,51.63029327356716,0,1
refine,j-only,1360.T,1,2.0,1.0,0.3,0.0,0.0,0,29,48,0,77,0.37662337662337664,0.8514062231743716,0.8514062231743718,-2.902795059736956,0,1,9,7,0,16,0.5625,1.2639348830670978,1.2639348830670978,5.189210407836299,1,1
refine,j-only,1360.T,1,2.0,1.0,0.4,0.0,0.0,0,28,43,0,71,0.39436619718309857,0.9358291934735319,0.9358291934735318,-1.1932296620698495,0,1,9,6,0,15,0.6,1.3234015423119079,1.3234015423119079,6.477514019956367,1,1
refine,j-only,1360.T,1,2.0,1.0,0.6,0.0,0.0,0,22,33,0,55,0.4,0.8778065886581295,0.8778065886581298,-2.2264310511674044,0,1,7,0,0,7,1.0,999.0,999.0,47.0384983961491,1,1
