code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1360.T,refine,j-only,1,2.5,0.8,0.6,0.0,0.0,0,55,0.38181818181818183,1.270055556306483,1.270055556306483,4.297732093345407,1,1
1579.T,refine,j-only,1,1.0,1.5,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
285A.T,refine,j-only,1,1.0,2.0,0.6,0.0,0.0,0,47,0.7659574468085106,1.4243848249306748,1.4243848249306748,15.64552545913622,1,1
4062.T,refine,j-only,3,2.0,2.0,1.0,0.0,0.0,0,17,0.7647058823529411,3.147194977812571,3.1471949778125703,31.829200610900177,0,1
4519.T,refine,j-only,2,2.5,2.0,1.2,0.0,0.0,0,1,1.0,999.0,999.0,46.01951672862454,0,1
4568.T,refine,j-only,3,1.0,2.0,0.3,0.0,0.0,0,77,0.7922077922077922,1.0880044682305514,1.0880044682305516,1.4842200873528346,1,1
4755.T,refine,j-only,3,2.5,2.0,0.6,0.0,0.0,0,16,0.3125,0.4335126202054452,0.43351262020544507,-26.538543536055034,0,1
5706.T,refine,j-only,8,1.0,2.0,0.3,0.0,0.0,0,40,0.675,0.5873057833965865,0.5873057833965866,-18.676591725538465,0,1
5802.T,refine,j-only,1,1.0,2.0,0.8,0.0,0.0,0,7,1.0,999.0,999.0,21.087720499312038,0,1
6301.T,refine,j-only,5,1.0,2.0,1.2,0.0,0.0,0,2,1.0,999.0,999.0,11.458684258932697,0,1
6752.T,refine,j-only,5,2.5,2.0,0.8,0.0,0.0,0,20,0.7,3.064771640726951,3.06477164072695,57.592416051492265,0,1
6758.T,refine,j-only,8,2.0,1.2,0.3,0.0,0.0,0,74,0.4594594594594595,1.070795504207366,1.070795504207366,1.8118576159610298,1,1
6762.T,refine,j-only,8,2.5,1.5,1.2,0.0,0.0,0,4,0.75,3.623093755945445,3.623093755945445,39.31685492750534,0,1
6861.T,refine,j-only,1,1.5,0.8,1.0,0.0,0.0,0,41,0.5121951219512195,1.1004515008527873,1.100451500852787,0.8918001797053516,1,1
6871.T,refine,j-only,3,1.0,2.0,0.3,0.0,0.0,0,1,1.0,999.0,999.0,97.8201058201061,0,1
7735.T,refine,j-only,1,2.5,1.5,1.2,0.0,0.0,0,24,0.4166666666666667,0.6724901673771483,0.6724901673771484,-11.09474939310806,0,1
8308.T,refine,j-only,2,2.5,0.8,1.0,0.0,0.0,0,6,0.6666666666666666,8.132329358425045,8.132329358425043,63.506984027800684,0,1
8316.T,refine,j-only,1,1.0,2.0,0.6,0.0,0.0,0,65,0.6153846153846154,0.5886324478776757,0.5886324478776758,-7.220431098319028,0,1
8411.T,refine,j-only,8,1.5,2.0,1.0,0.0,0.0,0,41,0.7560975609756098,1.7197869968643356,1.7197869968643353,10.750771004583164,1,1
