mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-only,1360.T,1,2.5,0.8,0.6,0.0,0.0,0,21,34,0,55,0.38181818181818183,1.270055556306483,1.270055556306483,4.297732093345407,1,1,7,0,0,7,1.0,999.0,999.0,60.79812299518637,1,1
refine,j-only,1579.T,1,1.0,1.5,0.4,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0,0,7,1.0,999.0,999.0,13.496534064984328,1,1
refine,j-only,285A.T,1,1.0,2.0,0.6,0.0,0.0,0,36,11,0,47,0.7659574468085106,1.4243848249306748,1.4243848249306748,15.64552545913622,1,1,12,0,0,12,1.0,999.0,999.0,45.68344888054926,1,1
refine,j-only,4062.T,3,2.0,2.0,1.0,0.0,0.0,0,13,4,0,17,0.7647058823529411,3.147194977812571,3.1471949778125703,31.829200610900177,0,1,5,3,0,8,0.625,1.678612089107613,1.678612089107613,22.91493527777329,1,1
refine,j-only,4519.T,2,2.5,2.0,1.2,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,46.01951672862454,0,1,3,4,0,7,0.42857142857142855,1.2322203019789162,1.2322203019789162,6.545475476150796,1,1
refine,j-only,4568.T,3,1.0,2.0,0.3,0.0,0.0,0,61,16,0,77,0.7922077922077922,1.0880044682305514,1.0880044682305516,1.4842200873528346,1,1,13,0,0,13,1.0,999.0,999.0,24.48928118626672,1,1
refine,j-only,4755.T,3,2.5,2.0,0.6,0.0,0.0,0,5,11,0,16,0.3125,0.4335126202054452,0.43351262020544507,-26.538543536055034,0,1,6,0,0,6,1.0,999.0,999.0,68.8312713259132,1,1
refine,j-only,5706.T,8,1.0,2.0,0.3,0.0,0.0,0,27,13,0,40,0.675,0.5873057833965865,0.5873057833965866,-18.676591725538465,0,1,23,0,0,23,1.0,999.0,999.0,52.37299757266038,1,1
refine,j-only,5802.T,1,1.0,2.0,0.8,0.0,0.0,0,7,0,0,7,1.0,999.0,999.0,21.087720499312038,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-only,6301.T,5,1.0,2.0,1.2,0.0,0.0,0,2,0,0,2,1.0,999.0,999.0,11.458684258932697,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-only,6752.T,5,2.5,2.0,0.8,0.0,0.0,0,14,6,0,20,0.7,3.064771640726951,3.06477164072695,57.592416051492265,0,1,5,0,0,5,1.0,999.0,999.0,50.26154289393331,1,1
refine,j-only,6758.T,8,2.0,1.2,0.3,0.0,0.0,0,34,40,0,74,0.4594594594594595,1.070795504207366,1.070795504207366,1.8118576159610298,1,1,17,11,0,28,0.6071428571428571,1.5516202726803678,1.5516202726803676,8.184517649603093,1,1
refine,j-only,6762.T,8,2.5,1.5,1.2,0.0,0.0,0,3,1,0,4,0.75,3.623093755945445,3.623093755945445,39.31685492750534,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-only,6861.T,1,1.5,0.8,1.0,0.0,0.0,0,21,20,0,41,0.5121951219512195,1.1004515008527873,1.100451500852787,0.8918001797053516,1,1,4,2,0,6,0.6666666666666666,1.6759106436329243,1.6759106436329243,4.524318170109613,1,1
refine,j-only,6871.T,3,1.0,2.0,0.3,0.0,0.0,0,1,0,0,1,1.0,999.0,999.0,97.8201058201061,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-only,7735.T,1,2.5,1.5,1.2,0.0,0.0,0,10,14,0,24,0.4166666666666667,0.6724901673771483,0.6724901673771484,-11.09474939310806,0,1,5,2,0,7,0.7142857142857143,3.8044745535366413,3.8044745535366418,41.89610339495099,1,1
refine,j-only,8308.T,2,2.5,0.8,1.0,0.0,0.0,0,4,2,0,6,0.6666666666666666,8.132329358425045,8.132329358425043,63.506984027800684,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1
refine,j-only,8316.T,1,1.0,2.0,0.6,0.0,0.0,0,40,25,0,65,0.6153846153846154,0.5886324478776757,0.5886324478776758,-7.220431098319028,0,1,17,0,0,17,1.0,999.0,999.0,10.615879791428519,1,1
refine,j-only,8411.T,8,1.5,2.0,1.0,0.0,0.0,0,31,10,0,41,0.7560975609756098,1.7197869968643356,1.7197869968643353,10.750771004583164,1,1,8,0,0,8,1.0,999.0,999.0,29.90133502692083,1,1
