mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-cross,4568.T,1,1.0,0.8,0.3,0.0,0.0,60,3,20,1,24,0.125,0.1875,0.17825032110746394,-0.5758000000000001,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.3,0.0,0.0,90,3,20,1,24,0.125,0.1875,0.17825032110746394,-0.5758000000000001,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.3,0.0,0.0,120,3,20,1,24,0.125,0.1875,0.17825032110746394,-0.5758000000000001,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.4,0.0,0.0,60,3,21,1,25,0.12,0.17857142857142858,0.17014803378439738,-0.5848000000000001,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.4,0.0,0.0,90,2,22,1,25,0.08,0.11363636363636363,0.10850019545671717,-0.6568,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.4,0.0,0.0,120,2,22,1,25,0.08,0.11363636363636363,0.10850019545671717,-0.6568,0,1,2,8,1,11,0.18181818181818182,0.3125,0.27727827727827725,-0.47352727272727274,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.6,0.0,0.0,60,3,19,1,23,0.13043478260869565,0.19736842105263155,0.18716283716283716,-0.5660173913043478,0,1,2,2,0,4,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.6,0.0,0.0,90,2,20,1,23,0.08695652173913043,0.125,0.11883354740497595,-0.6442782608695653,0,1,2,2,0,4,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.6,0.0,0.0,120,2,20,1,23,0.08695652173913043,0.125,0.11883354740497595,-0.6442782608695653,0,1,2,2,0,4,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.8,0.0,0.0,60,3,13,0,16,0.1875,0.28846153846153844,0.2879428264043648,-0.46330000000000005,0,1,1,1,0,2,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.8,0.0,0.0,90,2,14,0,16,0.125,0.17857142857142855,0.17825032110746394,-0.5758000000000001,0,1,1,1,0,2,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,0.8,0.0,0.0,120,2,14,0,16,0.125,0.17857142857142855,0.17825032110746394,-0.5758000000000001,0,1,1,1,0,2,0.5,1.25,1.2477522477522476,0.09919999999999995,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.0,0.0,0.0,60,2,10,0,12,0.16666666666666666,0.25,0.24955044955044947,-0.5008000000000001,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.0,0.0,0.0,90,2,10,0,12,0.16666666666666666,0.25,0.24955044955044947,-0.5008000000000001,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.0,0.0,0.0,120,2,10,0,12,0.16666666666666666,0.25,0.24955044955044947,-0.5008000000000001,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.2,0.0,0.0,60,2,11,0,13,0.15384615384615385,0.22727272727272727,0.22686404504586322,-0.5238769230769231,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.2,0.0,0.0,90,2,11,0,13,0.15384615384615385,0.22727272727272727,0.22686404504586322,-0.5238769230769231,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,0.8,1.2,0.0,0.0,120,2,11,0,13,0.15384615384615385,0.22727272727272727,0.22686404504586322,-0.5238769230769231,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.3,0.0,0.0,60,3,20,1,24,0.125,0.15,0.1426287541395455,-0.7507999999999999,0,1,3,7,1,11,0.2727272727272727,0.42857142857142855,0.3744004796163069,-0.45534545454545455,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.3,0.0,0.0,90,3,20,1,24,0.125,0.15,0.1426287541395455,-0.7507999999999999,0,1,3,7,1,11,0.2727272727272727,0.42857142857142855,0.3744004796163069,-0.45534545454545455,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.3,0.0,0.0,120,3,20,1,24,0.125,0.15,0.1426287541395455,-0.7507999999999999,0,1,3,7,1,11,0.2727272727272727,0.42857142857142855,0.3744004796163069,-0.45534545454545455,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.4,0.0,0.0,60,3,21,1,25,0.12,0.14285714285714285,0.13614562895138435,-0.7607999999999999,0,1,4,6,1,11,0.36363636363636365,0.6666666666666666,0.570515016558182,-0.27352727272727273,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.4,0.0,0.0,90,2,22,1,25,0.08,0.09090909090909091,0.08681750251972334,-0.8408,0,1,4,6,1,11,0.36363636363636365,0.6666666666666666,0.570515016558182,-0.27352727272727273,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.4,0.0,0.0,120,2,22,1,25,0.08,0.09090909090909091,0.08681750251972334,-0.8408,0,1,4,6,1,11,0.36363636363636365,0.6666666666666666,0.570515016558182,-0.27352727272727273,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.6,0.0,0.0,60,3,18,2,23,0.13043478260869565,0.16666666666666666,0.14976019184652278,-0.7399304347826086,0,1,2,2,0,4,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.6,0.0,0.0,90,2,19,2,23,0.08695652173913043,0.10526315789473684,0.09508583609303034,-0.826886956521739,0,1,2,2,0,4,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.6,0.0,0.0,120,2,19,2,23,0.08695652173913043,0.10526315789473684,0.09508583609303034,-0.826886956521739,0,1,2,2,0,4,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.8,0.0,0.0,60,3,12,1,16,0.1875,0.25,0.23040029514849658,-0.6257999999999999,0,1,1,1,0,2,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.8,0.0,0.0,90,2,13,1,16,0.125,0.15384615384615385,0.1426287541395455,-0.7507999999999999,0,1,1,1,0,2,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,0.8,0.0,0.0,120,2,13,1,16,0.125,0.15384615384615385,0.1426287541395455,-0.7507999999999999,0,1,1,1,0,2,0.5,1.0,0.9984012789768186,-0.0007999999999999674,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.0,0.0,0.0,60,2,9,1,12,0.16666666666666666,0.2222222222222222,0.1996802557953637,-0.6674666666666667,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.0,0.0,0.0,90,2,9,1,12,0.16666666666666666,0.2222222222222222,0.1996802557953637,-0.6674666666666667,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.0,0.0,0.0,120,2,9,1,12,0.16666666666666666,0.2222222222222222,0.1996802557953637,-0.6674666666666667,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.2,0.0,0.0,60,2,10,1,13,0.15384615384615385,0.2,0.1815275052685125,-0.6931076923076922,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.2,0.0,0.0,90,2,10,1,13,0.15384615384615385,0.2,0.1815275052685125,-0.6931076923076922,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.0,1.2,0.0,0.0,120,2,10,1,13,0.15384615384615385,0.2,0.1815275052685125,-0.6931076923076922,0,1,0,1,0,1,0.0,0.0,0.0,-1.0008,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.3,0.0,0.0,60,3,20,1,24,0.125,0.125,0.11887313219758257,-0.9258,0,1,4,6,1,11,0.36363636363636365,0.5555555555555556,0.47549252879033027,-0.40079999999999993,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.3,0.0,0.0,90,3,20,1,24,0.125,0.125,0.11887313219758257,-0.9258,0,1,4,6,1,11,0.36363636363636365,0.5555555555555556,0.47549252879033027,-0.40079999999999993,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.3,0.0,0.0,120,3,20,1,24,0.125,0.125,0.11887313219758257,-0.9258,0,1,4,6,1,11,0.36363636363636365,0.5555555555555556,0.47549252879033027,-0.40079999999999993,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.4,0.0,0.0,60,3,21,1,25,0.12,0.11904761904761905,0.11346980800678337,-0.9367999999999999,0,1,5,5,1,11,0.45454545454545453,0.8333333333333334,0.6934266044858983,-0.20079999999999998,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.4,0.0,0.0,90,2,22,1,25,0.08,0.07575757575757576,0.0723575587289633,-1.0248,0,1,5,5,1,11,0.45454545454545453,0.8333333333333334,0.6934266044858983,-0.20079999999999998,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.4,0.0,0.0,120,2,22,1,25,0.08,0.07575757575757576,0.0723575587289633,-1.0248,0,1,5,5,1,11,0.45454545454545453,0.8333333333333334,0.6934266044858983,-0.20079999999999998,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.6,0.0,0.0,60,3,18,2,23,0.13043478260869565,0.1388888888888889,0.1248167888074617,-0.9138434782608695,0,1,2,2,0,4,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.6,0.0,0.0,90,2,19,2,23,0.08695652173913043,0.08771929824561403,0.07924875479838837,-1.009495652173913,0,1,2,2,0,4,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.6,0.0,0.0,120,2,19,2,23,0.08695652173913043,0.08771929824561403,0.07924875479838837,-1.009495652173913,0,1,2,2,0,4,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.8,0.0,0.0,60,3,12,1,16,0.1875,0.20833333333333334,0.19202582893455647,-0.7882999999999999,0,1,1,1,0,2,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.8,0.0,0.0,90,2,13,1,16,0.125,0.12820512820512822,0.11887313219758257,-0.9258,0,1,1,1,0,2,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,0.8,0.0,0.0,120,2,13,1,16,0.125,0.12820512820512822,0.11887313219758257,-0.9258,0,1,1,1,0,2,0.5,0.8333333333333334,0.832111925383078,-0.10079999999999995,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.0,0.0,0.0,60,2,9,1,12,0.16666666666666666,0.1851851851851852,0.16642238507661558,-0.8341333333333333,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.0,0.0,0.0,90,2,9,1,12,0.16666666666666666,0.1851851851851852,0.16642238507661558,-0.8341333333333333,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.0,0.0,0.0,120,2,9,1,12,0.16666666666666666,0.1851851851851852,0.16642238507661558,-0.8341333333333333,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.2,0.0,0.0,60,2,10,1,13,0.15384615384615385,0.16666666666666666,0.15129307734237785,-0.8623384615384614,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.2,0.0,0.0,90,2,10,1,13,0.15384615384615385,0.16666666666666666,0.15129307734237785,-0.8623384615384614,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.2,1.2,0.0,0.0,120,2,10,1,13,0.15384615384615385,0.16666666666666666,0.15129307734237785,-0.8623384615384614,0,1,0,1,0,1,0.0,0.0,0.0,-1.2007999999999999,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.3,0.0,0.0,60,4,19,1,24,0.16666666666666666,0.14035087719298245,0.13315565031982943,-1.0841333333333334,0,1,4,6,1,11,0.36363636363636365,0.4444444444444444,0.3804447151995127,-0.5917090909090909,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.3,0.0,0.0,90,4,19,1,24,0.16666666666666666,0.14035087719298245,0.13315565031982943,-1.0841333333333334,0,1,4,6,1,11,0.36363636363636365,0.4444444444444444,0.3804447151995127,-0.5917090909090909,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.3,0.0,0.0,120,4,19,1,24,0.16666666666666666,0.14035087719298245,0.13315565031982943,-1.0841333333333334,0,1,4,6,1,11,0.36363636363636365,0.4444444444444444,0.3804447151995127,-0.5917090909090909,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.4,0.0,0.0,60,4,20,1,25,0.16,0.13333333333333333,0.12681490506650422,-1.1007999999999998,0,1,5,5,1,11,0.45454545454545453,0.6666666666666666,0.554815209665956,-0.36443636363636356,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.4,0.0,0.0,90,3,21,1,25,0.12,0.09523809523809523,0.0907879433998837,-1.2007999999999999,0,1,5,5,1,11,0.45454545454545453,0.6666666666666666,0.554815209665956,-0.36443636363636356,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.4,0.0,0.0,120,3,21,1,25,0.12,0.09523809523809523,0.0907879433998837,-1.2007999999999999,0,1,5,5,1,11,0.45454545454545453,0.6666666666666666,0.554815209665956,-0.36443636363636356,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.6,0.0,0.0,60,4,17,2,23,0.17391304347826086,0.1568627450980392,0.14016384244192573,-1.0660173913043476,0,1,3,1,0,4,0.75,2.0,1.9973347547974414,0.3742,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.6,0.0,0.0,90,3,18,2,23,0.13043478260869565,0.1111111111111111,0.09986673773987208,-1.1747130434782609,0,1,3,1,0,4,0.75,2.0,1.9973347547974414,0.3742,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.6,0.0,0.0,120,3,18,2,23,0.13043478260869565,0.1111111111111111,0.09986673773987208,-1.1747130434782609,0,1,3,1,0,4,0.75,2.0,1.9973347547974414,0.3742,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.8,0.0,0.0,60,3,12,1,16,0.1875,0.16666666666666666,0.1536411349844186,-1.03205,0,1,1,1,0,2,0.5,0.6666666666666666,0.6657782515991472,-0.25079999999999997,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.8,0.0,0.0,90,2,13,1,16,0.125,0.10256410256410256,0.09511117879987817,-1.1883,0,1,1,1,0,2,0.5,0.6666666666666666,0.6657782515991472,-0.25079999999999997,0,1
refine,j-cross,4568.T,1,1.0,1.5,0.8,0.0,0.0,120,2,13,1,16,0.125,0.10256410256410256,0.09511117879987817,-1.1883,0,1,1,1,0,2,0.5,0.6666666666666666,0.6657782515991472,-0.25079999999999997,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.0,0.0,0.0,60,2,9,1,12,0.16666666666666666,0.14814814814814814,0.13315565031982943,-1.0841333333333334,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.0,0.0,0.0,90,2,9,1,12,0.16666666666666666,0.14814814814814814,0.13315565031982943,-1.0841333333333334,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.0,0.0,0.0,120,2,9,1,12,0.16666666666666666,0.14814814814814814,0.13315565031982943,-1.0841333333333334,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.2,0.0,0.0,60,2,10,1,13,0.15384615384615385,0.13333333333333333,0.12105059119984496,-1.1161846153846153,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.2,0.0,0.0,90,2,10,1,13,0.15384615384615385,0.13333333333333333,0.12105059119984496,-1.1161846153846153,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,1.5,1.2,0.0,0.0,120,2,10,1,13,0.15384615384615385,0.13333333333333333,0.12105059119984496,-1.1161846153846153,0,1,0,1,0,1,0.0,0.0,0.0,-1.5008,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.3,0.0,0.0,60,5,18,1,24,0.20833333333333334,0.1388888888888889,0.13142111576422064,-1.3758,0,1,4,6,1,11,0.36363636363636365,0.3333333333333333,0.28537156565945054,-0.909890909090909,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.3,0.0,0.0,90,5,18,1,24,0.20833333333333334,0.1388888888888889,0.13142111576422064,-1.3758,0,1,4,6,1,11,0.36363636363636365,0.3333333333333333,0.28537156565945054,-0.909890909090909,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.3,0.0,0.0,120,5,18,1,24,0.20833333333333334,0.1388888888888889,0.13142111576422064,-1.3758,0,1,4,6,1,11,0.36363636363636365,0.3333333333333333,0.28537156565945054,-0.909890909090909,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.4,0.0,0.0,60,5,19,1,25,0.2,0.13157894736842105,0.1248500599760096,-1.4008,0,1,5,5,1,11,0.45454545454545453,0.5,0.41616686658669866,-0.6371636363636363,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.4,0.0,0.0,90,4,20,1,25,0.16,0.1,0.09512385521981682,-1.5208,0,1,5,5,1,11,0.45454545454545453,0.5,0.41616686658669866,-0.6371636363636363,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.4,0.0,0.0,120,4,20,1,25,0.16,0.1,0.09512385521981682,-1.5208,0,1,5,5,1,11,0.45454545454545453,0.5,0.41616686658669866,-0.6371636363636363,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.6,0.0,0.0,60,6,15,2,23,0.2608695652173913,0.2,0.1762589082014253,-1.218191304347826,0,1,3,1,0,4,0.75,1.5,1.4982007197121152,0.24919999999999998,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.6,0.0,0.0,90,4,17,2,23,0.17391304347826086,0.11764705882352941,0.1051368926113765,-1.4790608695652172,0,1,3,1,0,4,0.75,1.5,1.4982007197121152,0.24919999999999998,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.6,0.0,0.0,120,4,17,2,23,0.17391304347826086,0.11764705882352941,0.1051368926113765,-1.4790608695652172,0,1,3,1,0,4,0.75,1.5,1.4982007197121152,0.24919999999999998,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.8,0.0,0.0,60,4,11,1,16,0.25,0.18181818181818182,0.16646674663467947,-1.2508,0,1,2,0,0,2,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.8,0.0,0.0,90,2,13,1,16,0.125,0.07692307692307693,0.07134289141486262,-1.6258,0,1,2,0,0,2,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,0.8,0.0,0.0,120,2,13,1,16,0.125,0.07692307692307693,0.07134289141486262,-1.6258,0,1,2,0,0,2,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.0,0.0,0.0,60,3,8,1,12,0.25,0.1875,0.16646674663467947,-1.2508,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.0,0.0,0.0,90,2,9,1,12,0.16666666666666666,0.1111111111111111,0.09988004798080766,-1.5008,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.0,0.0,0.0,120,2,9,1,12,0.16666666666666666,0.1111111111111111,0.09988004798080766,-1.5008,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.2,0.0,0.0,60,2,10,1,13,0.15384615384615385,0.1,0.09080004361891608,-1.5392615384615385,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.2,0.0,0.0,90,2,10,1,13,0.15384615384615385,0.1,0.09080004361891608,-1.5392615384615385,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.0,2.0,1.2,0.0,0.0,120,2,10,1,13,0.15384615384615385,0.1,0.09080004361891608,-1.5392615384615385,0,1,1,0,0,1,1.0,999.0,999.0,0.9992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.3,0.0,0.0,60,3,20,1,24,0.125,0.22499999999999998,0.2139289282146425,-0.5508000000000001,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.3,0.0,0.0,90,3,20,1,24,0.125,0.22499999999999998,0.2139289282146425,-0.5508000000000001,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.3,0.0,0.0,120,3,20,1,24,0.125,0.22499999999999998,0.2139289282146425,-0.5508000000000001,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.4,0.0,0.0,60,3,21,1,25,0.12,0.21428571428571425,0.20420488602306783,-0.5608000000000001,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.4,0.0,0.0,90,2,22,1,25,0.08,0.13636363636363635,0.13021760847847805,-0.6408,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.4,0.0,0.0,120,2,22,1,25,0.08,0.13636363636363635,0.13021760847847805,-0.6408,0,1,2,8,1,11,0.18181818181818182,0.37499999999999994,0.3327783327783328,-0.43716363636363637,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.6,0.0,0.0,60,3,19,1,23,0.13043478260869565,0.23684210526315785,0.2246253746253746,-0.5399304347826087,0,1,2,2,0,4,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.6,0.0,0.0,90,2,20,1,23,0.08695652173913043,0.15,0.14261928547642833,-0.6268869565217392,0,1,2,2,0,4,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.6,0.0,0.0,120,2,20,1,23,0.08695652173913043,0.15,0.14261928547642833,-0.6268869565217392,0,1,2,2,0,4,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.8,0.0,0.0,60,3,13,0,16,0.1875,0.3461538461538461,0.34557749942365323,-0.42580000000000007,0,1,1,1,0,2,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.8,0.0,0.0,90,2,14,0,16,0.125,0.21428571428571425,0.2139289282146425,-0.5508000000000001,0,1,1,1,0,2,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,0.8,0.0,0.0,120,2,14,0,16,0.125,0.21428571428571425,0.2139289282146425,-0.5508000000000001,0,1,1,1,0,2,0.5,1.4999999999999998,1.4975024975024975,0.1992,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.0,0.0,0.0,60,2,10,0,12,0.16666666666666666,0.3,0.29950049950049945,-0.4674666666666668,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.0,0.0,0.0,90,2,10,0,12,0.16666666666666666,0.3,0.29950049950049945,-0.4674666666666668,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.0,0.0,0.0,120,2,10,0,12,0.16666666666666666,0.3,0.29950049950049945,-0.4674666666666668,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.2,0.0,0.0,60,2,11,0,13,0.15384615384615385,0.2727272727272727,0.27227318136409046,-0.49310769230769236,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.2,0.0,0.0,90,2,11,0,13,0.15384615384615385,0.2727272727272727,0.27227318136409046,-0.49310769230769236,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,0.8,1.2,0.0,0.0,120,2,11,0,13,0.15384615384615385,0.2727272727272727,0.27227318136409046,-0.49310769230769236,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-cross,4568.T,1,1.2,1.0,0.3,0.0,0.0,60,3,20,1,24,0.125,0.18,0.17117734383921437,-0.7257999999999999,0,1,2,7,2,11,0.18181818181818182,0.34285714285714286,0.26627586819433346,-0.6007999999999998,0,1
