mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,j-only,6323.T,1,1.0,0.8,0.3,0.0,0.0,60,3,14,1,18,0.16666666666666666,0.26785714285714285,0.24955044955044947,-0.5008000000000001,0,1,3,3,0,6,0.5,1.2499999999999998,1.2477522477522476,0.09919999999999995,1,1
refine,j-only,6323.T,1,1.0,0.8,0.3,0.0,0.0,90,3,14,1,18,0.16666666666666666,0.26785714285714285,0.24955044955044947,-0.5008000000000001,0,1,3,3,0,6,0.5,1.2499999999999998,1.2477522477522476,0.09919999999999995,1,1
refine,j-only,6323.T,1,1.0,0.8,0.3,0.0,0.0,120,3,14,1,18,0.16666666666666666,0.26785714285714285,0.24955044955044947,-0.5008000000000001,0,1,3,3,0,6,0.5,1.2499999999999998,1.2477522477522476,0.09919999999999995,1,1
refine,j-only,6323.T,1,1.0,0.8,0.4,0.0,0.0,60,3,13,1,17,0.17647058823529413,0.28846153846153844,0.26737548166119596,-0.4831529411764706,0,1,1,3,0,4,0.25,0.41666666666666663,0.4159174159174159,-0.3508,0,1
refine,j-only,6323.T,1,1.0,0.8,0.4,0.0,0.0,90,3,13,1,17,0.17647058823529413,0.28846153846153844,0.26737548166119596,-0.4831529411764706,0,1,1,3,0,4,0.25,0.41666666666666663,0.4159174159174159,-0.3508,0,1
refine,j-only,6323.T,1,1.0,0.8,0.4,0.0,0.0,120,3,13,1,17,0.17647058823529413,0.28846153846153844,0.26737548166119596,-0.4831529411764706,0,1,1,3,0,4,0.25,0.41666666666666663,0.4159174159174159,-0.3508,0,1
refine,j-only,6323.T,1,1.0,0.8,0.6,0.0,0.0,60,3,12,1,16,0.1875,0.31249999999999994,0.2879428264043648,-0.46330000000000005,0,1,0,2,0,2,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-only,6323.T,1,1.0,0.8,0.6,0.0,0.0,90,3,12,1,16,0.1875,0.31249999999999994,0.2879428264043648,-0.46330000000000005,0,1,0,2,0,2,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-only,6323.T,1,1.0,0.8,0.6,0.0,0.0,120,3,12,1,16,0.1875,0.31249999999999994,0.2879428264043648,-0.46330000000000005,0,1,0,2,0,2,0.0,0.0,0.0,-0.8008000000000001,0,1
refine,j-only,6323.T,1,1.0,0.8,0.8,0.0,0.0,60,2,12,0,14,0.14285714285714285,0.20833333333333331,0.2079587079587079,-0.543657142857143,0,1,0,1,0,1,0.0,0.0,0.0,-0.8008000000000001,0,1
