winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.0,0.0,0,1321.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1357.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,1360.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1407.T,3,1.2,1.5,1.0,0.05,0.05,0.0
0.0,0.0,0,1458.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1540.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1541.T,2,1.2,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,1542.T,5,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,1570.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,1579.T,2,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1605.T,5,1.2,1.5,0.6,0.05,0.02,0.0
0.0,0.0,0,168A.T,3,1.2,1.5,1.0,0.05,0.05,0.0
0.0,0.0,0,1802.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,1803.T,3,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,1812.T,5,1.2,2.0,0.6,0.02,0.05,0.0
0.0,0.0,0,186A.T,2,1.2,2.5,1.0,0.02,0.05,0.0
0.0,0.0,0,1893.T,5,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,1911.T,5,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,1925.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,1928.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,1942.T,3,1.2,1.5,0.8,0.05,0.05,0.0
0.0,0.0,0,2036.T,5,1.2,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,2127.T,5,1.2,1.5,1.0,0.02,0.02,0.0
0.0,0.0,0,215A.T,5,1.2,2.5,0.8,0.02,0.02,0.0
0.0,0.0,0,2160.T,3,1.2,1.5,0.6,0.05,0.02,0.0
0.0,0.0,0,2181.T,3,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,218A.T,5,1.2,2.5,0.8,0.02,0.02,0.0
0.0,0.0,0,219A.T,2,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,2267.T,1,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,2269.T,2,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,2334.T,3,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,2413.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,2432.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,2433.T,1,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,247A.T,5,1.2,2.0,0.6,0.05,0.05,0.0
0.0,0.0,0,2502.T,5,1.2,2.5,0.8,0.05,0.05,0.0
0.0,0.0,0,2503.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,2670.T,3,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,2726.T,5,1.2,2.0,0.8,0.05,0.02,0.0
0.0,0.0,0,2768.T,5,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,276A.T,2,1.2,1.5,1.0,0.05,0.02,0.0
0.0,0.0,0,2801.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,2802.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,285A.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,2897.T,2,1.2,2.5,0.8,0.02,0.05,0.0
0.0,0.0,0,290A.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,2914.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,3003.T,2,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3038.T,2,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,3064.T,1,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3086.T,2,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3088.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3092.T,5,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,3099.T,3,1.2,2.0,1.0,0.02,0.02,0.0
0.0,0.0,0,3141.T,5,1.2,2.5,0.8,0.05,0.05,0.0
0.0,0.0,0,314A.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,3231.T,3,1.2,2.5,0.8,0.05,0.02,0.0
0.0,0.0,0,3289.T,3,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3349.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,3350.T,3,1.2,2.5,1.0,0.02,0.05,0.0
0.0,0.0,0,3370.T,1,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3382.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3391.T,3,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,3402.T,5,1.2,2.5,0.8,0.02,0.02,0.0
0.0,0.0,0,3405.T,5,1.2,2.5,0.8,0.05,0.05,0.0
0.0,0.0,0,3407.T,3,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3436.T,2,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,3563.T,2,1.2,2.0,0.8,0.05,0.05,0.0
0.0,0.0,0,3635.T,2,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3647.T,1,1.2,1.5,0.6,0.02,0.02,0.0
0.0,0.0,0,3687.T,1,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3692.T,1,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3697.T,2,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,3774.T,3,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,3861.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,3905.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,3923.T,5,1.2,1.5,0.6,0.02,0.05,0.0
0.0,0.0,0,3935.T,1,1.2,1.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4004.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4005.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,402A.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4042.T,2,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4043.T,2,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4062.T,3,1.2,2.0,0.6,0.02,0.05,0.0
0.0,0.0,0,4063.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4088.T,5,1.2,1.5,1.0,0.02,0.05,0.0
0.0,0.0,0,4176.T,1,1.2,1.5,0.8,0.02,0.02,0.0
0.0,0.0,0,4182.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4188.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4204.T,2,1.2,1.5,0.6,0.05,0.02,0.0
0.0,0.0,0,423A.T,2,1.2,1.5,1.0,0.05,0.05,0.0
0.0,0.0,0,4307.T,3,1.2,2.5,0.8,0.05,0.05,0.0
0.0,0.0,0,4385.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4443.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4446.T,5,1.2,1.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4452.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4502.T,2,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4503.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4506.T,2,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4507.T,3,1.2,2.5,0.6,0.05,0.02,0.0
