mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total,source
refine,full,1540.T,3,2.5,0.8,0.3,0.05,0.0,60,2,2,0,4,0.5,3.125,3.120879120879121,0.8492,0,1,0,0,1,1,0.0,0.0,0.0,-0.8008000000000001,0,1,RUN_refine_full_20251017_092118_chunk1
refine,full,7741.T,5,2.5,1.0,0.3,0.0,0.0,60,5,5,1,11,0.4545454545454545,2.5,2.0810018651745272,0.5901090909090909,0,1,2,2,1,5,0.4,2.5,1.664801492139622,0.3992000000000002,1,1,RUN_refine_full_20251017_092118_chunk1
refine,full,9983.T,2,2.5,0.8,0.4,0.0,0.0,60,1,10,0,11,0.0909090909090909,0.3125,0.3120879120879121,-0.5008000000000001,0,1,2,2,1,5,0.4,3.125,2.0805860805860807,0.5192000000000001,1,1,RUN_refine_full_20251017_092118_chunk1
refine,full,4568.T,1,2.5,0.8,0.3,0.0,0.01,60,2,17,1,20,0.1,0.3676470588235294,0.3467643467643468,-0.4708,0,1,0,4,1,5,0.0,0.0,0.0,-0.8008000000000001,0,1,RUN_refine_full_20251017_092118_chunk2
refine,full,9432.T,3,2.5,1.5,0.3,0.01,0.0,60,8,9,0,17,0.4705882352941176,1.4814814814814814,1.4802179578298984,0.3815529411764707,0,1,0,3,2,5,0.0,0.0,0.0,-1.5008,0,1,RUN_refine_full_20251017_092118_chunk2
refine,full,6323.T,1,1.0,0.8,0.3,0.0,0.0,60,0,2,0,2,0.0,0.0,0.0,-0.8008000000000001,0,1,1,1,0,2,0.5,1.25,1.2477522477522476,0.0991999999999999,0,1,RUN_refine_full_20251017_092118_chunk3
refine,full,8002.T,3,1.0,0.8,0.3,0.0,0.0,60,0,10,0,10,0.0,0.0,0.0,-0.8008000000000001,0,1,1,4,0,5,0.2,0.3125,0.3119380619380619,-0.4408000000000001,0,1,RUN_refine_full_20251017_092118_chunk3
refine,full,9433.T,5,2.0,1.0,0.6,0.0,0.0,60,2,2,0,4,0.5,2.0,1.997601918465228,0.4992000000000001,0,1,2,1,1,4,0.5,4.0,1.997601918465228,0.4992000000000001,0,1,RUN_refine_full_20251017_092118_chunk3
refine,j-only,1540.T,1,2.0,0.8,0.6,0.0,0.0,60,10,15,2,27,0.3703703703703703,1.6666666666666667,1.4685314685314683,0.236237037037037,1,1,2,1,2,5,0.4,5.0,1.6643356643356644,0.3192,1,1,RUN_refine_jonly_20251017_093823_chunk1
refine,j-only,7741.T,8,2.5,0.8,0.8,0.0,0.0,60,2,10,0,12,0.1666666666666666,0.625,0.6241758241758241,-0.2508000000000001,0,1,6,7,5,18,0.3333333333333333,2.6785714285714284,1.56043956043956,0.2991999999999998,1,1,RUN_refine_jonly_20251017_093823_chunk1
