code,session,count,ratio_mu,ratio_sigma
285A.T,AM15,44,1.1454719764532129,0.12536353895094052
5016.T,AM15,95,1.2376681021722193,0.24850949002493666
5706.T,AM15,16,1.6372151670628485,0.23113771169085393
5801.T,AM15,128,1.2338031984976898,0.15690185851295496
6525.T,AM15,17,1.1786103755372281,0.1508352644724522
6526.T,AM15,41,1.1108132331056637,0.09408849607911607
6857.T,AM15,274,1.18193256130702,0.16839726099619395
8035.T,AM15,324,1.394046624232161,0.33836296407743427
8136.T,AM15,18,1.1735729359856464,0.11266837290728714
8411.T,AM15,62,1.206297959211317,0.15939998480320114
9107.T,AM15,14,1.1784530505547193,0.14826125229424988
